I,NAME,COMPOSER,FITNESS,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD
0,Das Hildebrandslied,,4.171351484556993,0.5295454545454545,-0.1590909090909091,-1.0,0.0,0.03488372093023256,0.0,-0.0,-0.36363636363636365,-0.1212121212121212,0.7857376449715159,0.2529872879691391
4,Der Graf von Rom oder der Graf im Pfluge,,4.103323767715225,0.5423076923076923,0.11538461538461539,-1.0,0.23076923076923078,0.058823529411764705,0.0,-0.0,-0.3076923076923077,-0.12179487179487179,0.7476840833897285,0.17271627344222626
8,Halewyn,,4.102610283436371,0.513888888888889,-0.041666666666666664,-1.0,0.25,0.08695652173913043,0.0,-0.0,0.0,-0.041666666666666664,0.8841567852437417,0.958187797709537
11,Es taget minnecliche,,3.9740910385035804,0.5520833333333333,-0.03125,1.0,0.38636363636363635,0.06451612903225806,0.0,-0.0,0.0,-0.0625,0.7901803591291913,0.28377016129032256
14,Tageweis von der Koenigstochter und dem jungen Grafen,,3.6757037826328745,0.5479166666666666,0.09375,-1.0,0.2894736842105263,0.0,0.0,-0.0,0.0,-0.05208333333333333,0.7815761751509114,0.40159607672856373
15,Tageweis von der Koenigstochter und dem jungen Grafen,,3.4921675375013126,0.37999999999999995,-0.12,-1.0,0.05319148936170213,0.05102040816326531,0.0,-0.015384615384615385,-0.2,-0.01,0.7516310919308671,0.5129807489873933
16,Tageweis von der Koenigstochter und dem jungen Grafen,,4.131267809760935,0.7385057471264368,0.29310344827586204,-1.0,0.6326530612244898,0.05263157894736842,0.0,-0.0,-0.10344827586206896,-0.11781609195402298,0.859083048906555,0.47450338808940773
17,Tageweis von der Koenigstochter und dem jungen Grafen,,4.039549785505697,0.6590909090909091,0.25,-1.0,0.4305555555555556,0.046511627906976744,0.0,-0.0,-0.09090909090909091,-0.13636363636363635,0.9166566655689852,0.3975144440755025
18,Tanhaeuser,,4.322267416256527,0.6666666666666667,0.0,-1.0,-0.5,0.10526315789473684,0.0,-0.06666666666666667,0.0,-0.15,0.6476455166799995,0.10344827586206896
19,Tanhuser,,3.894825953251917,0.6407407407407407,0.16666666666666666,-1.0,0.5,0.14705882352941177,0.0,-0.0,0.0,0.0,0.6049498266739647,0.9628608760332898
20,Der Bremberger,,3.471747767229266,0.6205882352941177,0.029411764705882353,-1.0,0.20833333333333334,0.12121212121212122,0.0,-0.02702702702702703,-0.11764705882352941,-0.053921568627450976,0.45523300229182584,0.3603785722500144
24,Zwei Wasser. (Schwimmersage),,4.062567226371454,0.5520833333333333,0.0,-1.0,0.5,0.03225806451612903,0.0,-0.25,0.0,-0.03125,0.5804574747956284,0.31896551724137934
28,Das Schloss in Oesterreich,,3.6039934592728122,0.47987012987012984,0.13636363636363635,-1.0,0.18571428571428572,0.19047619047619047,0.0,-0.022727272727272728,-0.2727272727272727,-0.09393939393939393,0.5389959567753102,0.16314102564102564
29,Das Schloss in Oesterreich,,3.6859761206535397,0.7254901960784313,0.47058823529411764,1.0,0.3888888888888889,0.21212121212121213,-0.027777777777777776,-0.0,0.0,-0.058823529411764705,0.7685455120464607,0.10084033613445378
30,Das Schloss im Oberland (Falkenstein),,3.871975946905483,0.6638888888888889,0.4166666666666667,-1.0,0.4358974358974359,0.15217391304347827,0.0,-0.023809523809523808,-0.16666666666666666,-0.0625,0.7162591395582409,0.1282051282051282
33,Peter Unverdorben,,3.799785018112817,0.48472222222222217,0.125,-1.0,0.2647058823529412,0.06666666666666667,0.0,-0.0,-0.25,-0.06666666666666667,0.4566681521093286,0.968688761428325
38,Treue Liebe,,3.845998004938147,0.7239583333333333,0.25,1.0,0.5909090909090909,0.06451612903225806,0.0,-0.0,0.0,-0.05208333333333333,0.5733425186233863,0.279779142228739
41,Der Todwunde,,4.216330891330891,0.8166666666666667,0.3,0.5,0.625,0.05555555555555555,0.0,-0.0,0.0,-0.35,1.0,0.21978021978021978
45,Der Bettler,,3.498935794180255,0.7268518518518517,0.5,-1.0,0.391304347826087,0.14285714285714285,0.0,-0.024390243902439025,-0.05555555555555555,-0.05092592592592592,0.5659787115050273,0.17321369952948898
46,Der Koenigssohn,,3.8383718868262258,0.6476190476190476,0.14285714285714285,-1.0,0.32051282051282054,0.1111111111111111,0.0,-0.022222222222222223,-0.14285714285714285,-0.10119047619047618,0.4531765266308658,0.09523809523809523
48,Schwabentoechterlein,,3.252251916835481,0.5897435897435896,0.15384615384615385,0.5,0.2777777777777778,0.08,0.0,-0.030303030303030304,-0.15384615384615385,-0.19230769230769232,0.4908335650723025,0.24871373836891078
49,Gretlein,,3.914811895463561,0.5694444444444444,0.16666666666666666,-1.0,0.4117647058823529,0.08571428571428572,0.0,-0.0,-0.05555555555555555,-0.125,0.7599205330399168,0.25449239107775695
50,Gretlein,,3.6956868151605002,0.4954545454545455,-0.09090909090909091,-1.0,0.125,0.047619047619047616,-0.025,-0.0,0.0,-0.15757575757575756,0.6541317604475501,0.30476529160739685
51,Die schoene Magdalene,,3.2876119620646476,0.4722222222222222,-0.05555555555555555,0.5,-0.15384615384615385,0.17647058823529413,0.0,-0.03571428571428571,0.0,-0.2777777777777778,0.7560102811841942,0.28704372600024775
55,Laemmerweide,,4.247627882294122,0.5845238095238096,0.17857142857142858,-1.0,0.75,0.018518518518518517,-0.024390243902439025,-0.0975609756097561,0.0,-0.05357142857142857,0.6305282610545768,0.19585688927794193
57,Malers Toechterlein,,3.3596264793005157,0.6396825396825397,0.11904761904761904,1.0,0.27586206896551724,0.08536585365853659,0.0,-0.023255813953488372,0.0,-0.047619047619047616,0.34990673212110956,0.27228625033503084
59,Winterrosen,,3.2087369576812796,0.5208333333333334,-0.08333333333333333,0.5,0.21052631578947367,0.13043478260869565,0.0,-0.0,-0.25,-0.19444444444444445,0.4575984159534926,0.37756410256410255
61,Das Maedchen und die Hasel,,4.1798338732897555,0.5705128205128205,0.19230769230769232,-1.0,0.28125,0.1,0.0,-0.0,-0.3076923076923077,-0.16666666666666666,0.9428112145759204,0.29679144385026734
62,Der verlorene Rosenkranz,,4.820505155156859,0.6403508771929824,0.13157894736842105,-1.0,0.7,0.04054054054054054,0.0,-0.2564102564102564,0.0,-0.25438596491228066,0.7430973034069009,0.10161975885660096
63,Der verlorene Rosenkranz,,3.903400291201524,0.6015151515151516,0.18181818181818182,-1.0,0.48484848484848486,0.16666666666666666,-0.02857142857142857,-0.0,-0.09090909090909091,-0.19545454545454544,0.6536167414179749,0.30303030303030304
70,Die plappernden Junggesellen,,3.9561289308996055,0.7205882352941178,0.35294117647058826,-1.0,0.532608695652174,0.015151515151515152,0.0,-0.0,0.0,-0.07352941176470588,0.7823418366469983,0.28484655683628723
71,Der Rheinschiffer,,3.7934127037997762,0.6458333333333333,0.14583333333333334,1.0,0.515625,0.05319148936170213,-0.024390243902439025,-0.024390243902439025,-0.041666666666666664,0.0,0.5598209748209748,0.3192889361310414
72,Der Reuter,,3.367732201316052,0.5867346938775511,0.2857142857142857,-1.0,0.26785714285714285,0.23076923076923078,0.0,-0.0,-0.14285714285714285,-0.17551020408163268,0.617923200792766,0.4066666666666666
73,Der Ackermann,,3.9570973376532077,0.5499999999999999,0.175,-1.0,0.125,0.02564102564102564,0.0,-0.041666666666666664,-0.25,-0.09166666666666665,0.8993469579516091,0.2999419279907085
78,Graserin und Ritter,,3.6993933626020716,0.5847222222222223,0.20833333333333334,-1.0,0.2638888888888889,0.06521739130434782,0.0,-0.0,-0.16666666666666666,0.0,0.8946371993740415,0.5630291100879337
79,Des Markgrafen junge Braut,,3.80054060309516,0.738095238095238,0.21428571428571427,-1.0,0.36486486486486486,0.18518518518518517,0.0,-0.0,-0.14285714285714285,-0.042857142857142864,0.5876191651737223,0.17628205128205127
80,Wassermanns Braut,,3.4624390434452677,0.5454545454545454,0.22727272727272727,-1.0,0.25,0.047619047619047616,-0.02857142857142857,-0.0,0.0,0.0,0.5903916537289402,0.17708680941787172
84,Die Stiefmutter,,3.6410342685487396,0.5925925925925926,-0.16666666666666666,1.0,0.2222222222222222,0.17647058823529413,0.0,-0.0,0.0,-0.05555555555555555,0.6894814605684172,0.5909863591785789
85,Waechterlied,,3.736159763799254,0.5806666666666667,-0.04,1.0,0.26,0.10204081632653061,0.0,-0.014705882352941176,-0.2,0.0,0.7394801436126064,0.50334788749357
86,Waechterlied,,3.5610484761051127,0.4884057971014493,-0.13043478260869565,-1.0,0.21153846153846154,0.14444444444444443,0.0,-0.0,-0.17391304347826086,0.0,0.6856674912944744,0.4844666554717845
88,Haett ich den Schluessel zum Tage,,3.8109361253934937,0.6509740259740259,0.36363636363636365,-1.0,0.4148936170212766,0.11627906976744186,-0.016666666666666666,-0.016666666666666666,-0.045454545454545456,-0.022727272727272728,0.6413373079902348,0.9821314562966107
89,Tagelied,,4.197110434504824,0.4673913043478261,0.043478260869565216,-1.0,0.1702127659574468,0.15555555555555556,0.0,-0.045454545454545456,-0.2608695652173913,-0.043478260869565216,0.9262924795913294,0.9824453294918397
90,Melodie eines Waechterliedes,,3.4689215739232875,0.47058823529411764,0.08823529411764706,-1.0,0.0,0.029850746268656716,0.0,-0.0,0.0,-0.07352941176470588,0.9756785300480892,0.43278856279732203
92,Der Morgenstern ist aufgegangen,,3.6011802158749564,0.6708333333333333,0.125,1.0,0.4,0.0967741935483871,0.0,-0.0,0.0,-0.09583333333333333,0.4601441257354006,0.3038563829787234
93,Der Morgenstern,,4.012457015716029,0.6481481481481481,0.19444444444444445,-1.0,0.3181818181818182,0.05714285714285714,0.0,-0.0,0.0,-0.17592592592592593,0.8527954114196998,0.23100698637226152
94,Waechterlied,,4.068909865026088,0.5757142857142858,0.2571428571428571,-1.0,0.25862068965517243,0.13768115942028986,0.0,-0.04424778761061947,-0.2571428571428571,-0.09952380952380953,0.7383873838690352,0.9900970680734549
96,Der Maibaum,,3.9341777830835056,0.5637254901960784,0.11764705882352941,-1.0,0.3090909090909091,0.07575757575757576,0.0,-0.0,0.0,-0.04901960784313725,0.9030343682707723,0.197287957736286
98,Waldvoegeleins Bitte,,3.930460471062476,0.6236842105263157,0.13157894736842105,-1.0,0.4117647058823529,0.0945945945945946,0.0,-0.0,-0.15789473684210525,-0.11842105263157894,0.7541045163783482,0.40923520923520923
102,Harter Entschluss,,3.5742099652210877,0.5583333333333333,0.19444444444444445,-1.0,0.375,0.08571428571428572,0.0,-0.0,0.0,-0.1148148148148148,0.8061933797019742,0.5000271675296953
103,Meins Herzens Schoene,,3.4581683441271425,0.560919540229885,0.06896551724137931,0.5,0.36363636363636365,0.03508771929824561,0.0,-0.013333333333333334,-0.13793103448275862,-0.1954022988505747,0.7612519768742034,0.4702529667403509
104,Um Frauen willen,,3.983960328962422,0.5419191919191919,0.09090909090909091,1.0,0.21176470588235294,0.06153846153846154,0.0,-0.0,-0.15151515151515152,-0.101010101010101,0.8673455866176922,0.2371468555345153
105,Parodie einer unbekannten Tageweise,,3.978599932845898,0.3729323308270677,-0.18421052631578946,-1.0,0.04838709677419355,0.0945945945945946,0.0,-0.014925373134328358,-0.3684210526315789,-0.02631578947368421,0.8043495236842011,0.24634716540035068
106,Minnelied,,3.95015838781685,0.6388888888888888,0.36666666666666664,-1.0,0.5609756097560976,0.05172413793103448,-0.02127659574468085,-0.0,0.0,-0.20555555555555557,0.793173114942579,0.35132057247325194
107,Liebeshoffnung,,3.736855559438413,0.568452380952381,0.23214285714285715,1.0,0.2948717948717949,0.13636363636363635,0.0,-0.0,-0.14285714285714285,-0.09821428571428571,0.9116151357497134,0.5893513127995885
109,Liebeshoffnung,,3.8973113949532747,0.5061728395061729,0.16666666666666666,-1.0,0.48148148148148145,0.1320754716981132,0.0,-0.03571428571428571,-0.037037037037037035,-0.12037037037037036,0.8732308916881614,0.6420466275205453
111,Lieblich gesellet,,3.651682891101232,0.5977011494252873,0.2413793103448276,1.0,0.41935483870967744,0.11403508771929824,-0.01818181818181818,-0.0,0.0,-0.0632183908045977,0.8344709297361905,0.5741701623077871
114,Jungbrunnen,,3.9818957895831786,0.39705882352941174,-0.23529411764705882,-1.0,0.08695652173913043,0.0,0.0,-0.0,-0.17647058823529413,-0.014705882352941176,1.0,0.42859014392065803
