I,NAME,COMPOSER,FITNESS,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,,,,,,,,,,,,,,
1,Das Hildebrandslied,,-0.519685509,0.274242424,-0.204545455,-1,-0.086538462,0,0,0,-0.363636364,-0.121212121,0.785737645,0.196266823,,,,,,,,,,,,,,
2,Herzog Ernst,,0.707216666,0.498324515,-0.222222222,-1,0.235632184,0.037735849,0,-0.018181818,-0.259259259,-0.214285714,0.926827793,0.722645339,,,,,,,,,,,,,,
3,Herzog Ernst,,0.458178116,0.598214286,0.0625,-1,0.291666667,0.066666667,0,0,0,-0.275297619,0.619190021,0.095238095,,,,,,,,,,,,,,
4,Herzog Ernst,,1.08499127,0.510869565,0.152173913,-1,0,0.022222222,0,-0.025316456,0,-0.152173913,0.96051264,0.616703299,,,,,,,,,,,,,,
5,Der Graf von Rom oder der Graf im Pfluge,,-1.002322897,0.226923077,-0.538461538,-1,-0.173076923,0,0,0,-0.307692308,-0.121794872,0.747684083,0.164095584,,,,,,,,,,,,,,
6,Roland und Godelinde,,0.495821617,0.373333333,-0.066666667,-1,0.055555556,0.034482759,0,0,0,-0.097777778,0.885998892,0.310895523,,,,,,,,,,,,,,
7,Ritter Ulrich,,0.863779529,0.561666667,0.15,-1,0.297297297,0.052631579,0,-0.05,0,-0.045,0.658919405,0.23826458,,,,,,,,,,,,,,
8,Der Brautmoerder,,-0.478411038,0.198148148,-0.444444444,-1,-0.1,0,0,-0.108108108,0,-0.190740741,0.914717978,0.252016129,,,,,,,,,,,,,,
9,Halewyn,,1.60985666,0.513888889,-0.041666667,-1,0.25,0.086956522,0,0,0,-0.041666667,0.884156785,0.958187798,,,,,,,,,,,,,,
10,Halewyn,,0.810961071,0.425925926,-0.166666667,-1,-0.066666667,0.029411765,0,0,0,-0.027777778,0.666986637,0.949747854,,,,,,,,,,,,,,
11,Es taget in dem Osten,,0.437627318,0.434375,0.0625,-1,0.185714286,0.048387097,0,0,-0.125,-0.026041667,0.629650633,0.228041969,,,,,,,,,,,,,,
12,Es taget minnecliche,,0.081938668,0.322916667,-0.15625,-1,0.045454545,0.016129032,0,0,0,-0.0625,0.790180359,0.126008065,,,,,,,,,,,,,,
13,Todtenamt,,-0.104082244,0.392857143,-0.166666667,-1,0.125,0,0,0,-0.222222222,-0.055555556,0.470485452,0.352019605,,,,,,,,,,,,,,
14,Ritter und Herzogstochter,,0.118853593,0.477777778,-0.066666667,-1,-0.022727273,0,0,0,-0.2,-0.205555556,0.888124096,0.247901214,,,,,,,,,,,,,,
15,Tageweis von der Koenigstochter und dem jungen Grafen,,1.062229269,0.547916667,0.09375,-1,0.289473684,0,0,0,0,-0.052083333,0.781576175,0.401596077,,,,,,,,,,,,,,
16,Tageweis von der Koenigstochter und dem jungen Grafen,,0.403439123,0.38,-0.12,-1,0.053191489,0.051020408,0,-0.015384615,-0.2,-0.01,0.751631092,0.512980749,,,,,,,,,,,,,,
17,Tageweis von der Koenigstochter und dem jungen Grafen,,1.829215905,0.738505747,0.293103448,-1,0.632653061,0.052631579,0,0,-0.103448276,-0.117816092,0.859083049,0.474503388,,,,,,,,,,,,,,
18,Tageweis von der Koenigstochter und dem jungen Grafen,,1.473056475,0.659090909,0.25,-1,0.430555556,0.046511628,0,0,-0.090909091,-0.136363636,0.916656666,0.397514444,,,,,,,,,,,,,,
19,Tanhaeuser,,-0.19364305,0.666666667,0,-1,-0.5,0.105263158,0,-0.066666667,0,-0.15,0.647645517,0.103448276,,,,,,,,,,,,,,
20,Tanhuser,,0.636024293,0.431481481,-0.166666667,-1,0.25,0.058823529,0,0,0,0,0.604949827,0.457436122,,,,,,,,,,,,,,
21,Der Bremberger,,-0.079637162,0.389215686,-0.205882353,-1,0.145833333,0.075757576,0,-0.027027027,-0.117647059,-0.053921569,0.455233002,0.258801248,,,,,,,,,,,,,,
22,Der Bremberger,,0.233459297,0.516233766,-0.181818182,-1,0.176470588,0,0,-0.090909091,0,-0.072727273,0.724241199,0.161968288,,,FITNESS,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD
23,Zwei Wasser. (Schwimmersage),,0.434897227,0.5625,0,-1,0.25,0.032258065,0,-0.333333333,0,-0.03125,0.66900821,0.285714286,,Median,0.677918903,0.467977335,-0.038461538,-1,0.142857143,0.033333333,0,0,0,-0.123046398,0.783720125,0.355923177
24,Zwei Wasser. (Schwimmersage),,0.764224287,0.541666667,-0.0625,-1,0.5,0.064516129,0,-0.166666667,0,-0.03125,0.580631361,0.337826797,,Variance,1.126517454,0.023566505,0.073033377,0.30782839,0.105841413,0.00344977,0.000426975,0.00093531,0.00288011,0.008265217,0.027088742,0.063847267
25,Zwei Wasser. (Schwimmersage),,0.70251439,0.552083333,0,-1,0.5,0.032258065,0,-0.25,0,-0.03125,0.580457475,0.318965517,,Mean,0.797910335,0.457269398,-0.051499092,-0.802305665,0.144064001,0.050035273,-0.010929531,-0.014620872,-0.015364875,-0.136533823,0.761863381,0.415932141
