,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.11243717537106453,0.24492174905131575,0.00975609756097561,0.31152505280301296,0.05618790709915126,0.11451135241855874,0.0019524894240156199,0.09054910242872229,0.11912021412777843,0.012998522895125554,0.016713091922005572,0.06210573440234423,0.0,0.0,0.01597676107480029,0.0,0.006153846153846154,0.00625,0.0,0.0,0.0,0.0
REST,0.06093358659293002,0.03998115032614896,0.02229965156794425,0.029951395780848412,0.02190933614053556,0.09273561349515128,0.013992840872111943,0.030359028511087644,0.04149889444897009,0.08242245199409158,0.019498607242339833,0.1303162264458101,0.052434456928838954,0.0,0.010893246187363835,0.0,0.009230769230769232,0.00625,0.0196078431372549,0.13953488372093023,0.0,0.4
D4,0.2517355566388193,0.22044197524740197,0.08734030197444832,0.04608494287095707,0.02421211921836963,0.19807212124731433,0.006182883176049463,0.014255543822597676,0.33159548469684624,0.3719350073855244,0.013927576601671309,0.278051361360954,0.04119850187265917,0.02631578947368421,0.010167029774872912,0.0,0.003076923076923077,0.0125,0.0,0.0,0.0,0.0
C#4,0.019986216402481046,9.920880974230511e-05,0.007665505226480836,0.001094231111789704,0.005921442200144746,0.012891237442657221,0.0009762447120078099,0.0,0.015198417316420342,0.21477104874446085,0.005571030640668524,0.007162915632249399,0.10861423220973783,0.0,0.0,0.0,0.0,0.009375,0.0,0.0,0.0,0.0
E4,0.1707653258476072,0.1922666732805873,0.3637630662020906,0.13275822581876479,0.036910323047568916,0.09639393763428372,0.01464367068011715,0.023495248152059132,0.2143139764924939,0.19763663220088626,0.12952646239554316,0.08605673354767816,0.5318352059925093,0.0,0.005083514887436456,0.0,0.003076923076923077,0.0,0.0,0.0,0.0,0.0
C4,0.2970365265334252,0.0663954959200377,0.003948896631823461,0.027661144616637403,0.006118823606816238,0.29824052029498865,0.0048812235600390495,0.014783526927138331,0.07890143139764925,0.04254062038404727,0.004178272980501393,0.3828903992511497,0.052434456928838954,0.0,0.002904865649963689,0.0,0.0015384615384615385,0.0,0.00980392156862745,0.0,0.0,0.0
D#4,0.0007732262022826982,4.9604404871152556e-05,0.0011614401858304297,0.0,0.00013158760444766102,0.0012775100168399048,0.0,0.0,0.0026067729547305948,0.008862629246676515,0.0,0.0002034919213707216,0.12359550561797752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F#4,0.013396984417811097,0.007415858528237307,0.1564459930313589,0.04888413873832608,0.06658332785051649,0.01782707159862958,0.028636511552229092,0.004487856388595565,0.051902711509368094,0.037518463810930575,0.3064066852367688,0.0013226974889096904,0.03745318352059925,0.0,0.02832244008714597,0.0,0.19076923076923077,0.021875,0.0,0.0,0.0,0.0
A4,0.012741423072397505,0.028423323991170417,0.10220673635307782,0.11278214621981322,0.21922494900980327,0.02833749491899425,0.47966156849983727,0.1863780359028511,0.02320493424880717,0.01742983751846381,0.28690807799442897,0.010785071832648244,0.003745318352059925,0.0,0.0784313725490196,0.0,0.04,0.165625,0.0196078431372549,0.023255813953488372,0.0,0.0
G4,0.05610932746129667,0.18785188124705474,0.19221835075493612,0.2569407333893173,0.4383841042173827,0.120724696591371,0.08948909860071591,0.18453009503695883,0.11514023042010939,0.007976366322008863,0.027855153203342618,0.03764600545358349,0.04119850187265917,0.21052631578947367,0.025417574437182282,0.0,0.013846153846153847,0.021875,0.029411764705882353,0.0,0.0,0.0
G#4,0.0001512833874031366,2.4802202435576278e-05,0.0156794425087108,0.002951879278316411,0.012435028620303967,0.0015678532024853377,0.016270745200130166,0.0,0.0016059583381822413,0.0008862629246676514,0.13649025069637882,0.00018314272923364942,0.0,0.2631578947368421,0.0,0.0,0.0015384615384615385,0.003125,0.0,0.0,0.0,0.0
D5,0.000655561345413592,0.001860165182668221,0.00743321718931475,0.0009669949360002036,0.008158431475754985,0.0021485395737762033,0.06150341685649203,0.06335797254487856,0.000302571860816944,0.0005908419497784342,0.0,0.00022384111350779373,0.0,0.0,0.15831517792302105,0.017857142857142856,0.37384615384615383,0.21875,0.12745098039215685,0.0,0.0,0.0
C5,0.0012102670992250929,0.00959845234256802,0.0004645760743321719,0.020892180064635977,0.034936508980854,0.008768364206492074,0.10120403514480963,0.235480464625132,0.002304201093913651,0.0,0.0,0.0023808554800374424,0.0,0.0,0.2607116920842411,0.10714285714285714,0.047692307692307694,0.015625,0.0196078431372549,0.0,0.0,0.0
B4,0.0019330655057067457,0.000446439643840373,0.014285714285714285,0.006667175611369825,0.06414895716823475,0.005110040067359619,0.1373250894890986,0.1351636747624076,0.0019318049575235657,0.0029542097488921715,0.036211699164345405,0.0005494281877009482,0.00749063670411985,0.42105263157894735,0.15976761074800291,0.10714285714285714,0.06615384615384616,0.390625,0.0,0.0,0.0,0.0
E5,3.361853053403036e-05,0.00019841761948461022,0.013821138211382113,0.0006616281141054025,0.0010527008355812881,0.0002903431856454329,0.012040351448096323,0.004751847940865892,0.00011637379262190155,0.0002954209748892171,0.006963788300835654,6.104757641121647e-05,0.0,0.0,0.18082788671023964,0.2857142857142857,0.14461538461538462,0.0375,0.2647058823529412,0.16279069767441862,0.0,0.0
F#5,3.361853053403036e-05,0.0,0.00011614401858304297,0.0,6.579380222383051e-05,0.00011613727425817315,0.0003254149040026033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002904865649963689,0.0,0.003076923076923077,0.003125,0.0,0.6744186046511628,0.0,0.0
C#5,5.0427795801045535e-05,0.0,0.0008130081300813008,7.634170547370028e-05,0.00256595828672939,0.0003484118227745195,0.02570777741620566,0.011087645195353749,0.0002560223437681834,0.0011816838995568684,0.002785515320334262,4.0698384274144313e-05,0.0,0.0,0.04357298474945534,0.19642857142857142,0.04461538461538461,0.06875,0.0,0.0,0.0,0.0
D#5,1.680926526701518e-05,0.0,0.0,0.0,0.0,0.00011613727425817315,0.0013016596160104132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005083514887436456,0.2857142857142857,0.03076923076923077,0.01875,0.0,0.0,0.0,0.0
F5,0.0,2.4802202435576278e-05,0.0,5.089447031580019e-05,0.00032896901111915256,0.0005226177341617792,0.0,0.0013199577613516368,0.0,0.0,0.0,2.0349192137072157e-05,0.0,0.0,0.010167029774872912,0.0,0.02,0.0,0.4215686274509804,0.0,0.9,0.0
