i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,4.226,-1.208,0.386,0.76,0.75,1.0,1.0,0.214,0.0,-0.0,0.0,-0.119,0.621,0.0,0.002,4,0.4,1000,50,NONE
1,4.226,-1.021,0.403,0.76,0.75,1.0,1.0,0.214,0.0,-0.0,0.0,-0.119,0.621,0.0,0.004,4,0.4,1000,50,NONE
2,3.04,-1.049,0.331,0.584,0.125,1.0,0.812,0.143,0.0,-0.0,0.0,-0.134,0.51,0.0,0.008,4,0.4,1000,50,NONE
3,2.815,-1.197,0.223,0.6,0.75,0.5,0.455,0.143,-0.118,-0.0,0.0,-0.188,0.673,0.0,0.001,4,0.4,1000,50,NONE
4,2.874,-1.22,0.186,0.6,0.75,0.5,0.455,0.143,-0.059,-0.0,0.0,-0.188,0.673,0.0,0.002,4,0.4,1000,50,NONE
5,3.102,-1.329,0.084,0.667,0.875,0.5,0.625,0.286,0.0,-0.059,0.0,-0.042,0.25,0.0,0.001,4,0.4,1000,50,NONE
6,3.087,-1.608,-0.081,0.708,0.625,0.5,0.812,0.143,0.0,-0.0,0.0,-0.208,0.364,0.143,0.001,4,0.4,1000,50,NONE
7,2.878,-1.375,-0.041,0.729,0.375,0.5,0.786,0.143,0.0,-0.056,0.0,-0.271,0.466,0.205,0.002,4,0.4,1000,50,NONE
8,2.628,-1.609,-0.163,0.513,0.5,0.5,0.7,0.143,0.0,-0.042,0.0,-0.113,0.326,0.1,0.004,4,0.4,1000,50,NONE
9,3.114,-1.68,-0.146,0.667,0.625,1.0,0.444,0.143,0.0,-0.143,0.0,-0.083,0.462,0.0,0.002,4,0.4,1000,50,NONE
10,2.476,-1.647,-0.162,0.417,0.25,1.0,0.357,0.143,0.0,-0.1,0.0,-0.125,0.534,0.0,0.016,4,0.4,1000,50,NONE
11,3.19,-1.871,-0.365,0.604,0.5,1.0,0.417,0.286,0.0,-0.0,0.0,-0.083,0.467,0.0,0.001,4,0.4,1000,50,NONE
12,3.01,-2.035,-0.414,0.475,0.5,1.0,0.278,0.286,0.0,-0.0,0.0,0.0,0.471,0.0,0.001,4,0.4,1000,50,NONE
13,2.714,-1.836,-0.446,0.562,0.5,1.0,0.083,0.143,0.0,-0.0,0.0,-0.042,0.467,0.0,0.004,4,0.4,1000,50,NONE
14,2.813,-1.776,-0.344,0.526,0.375,0.5,1.0,0.143,-0.043,-0.0,0.0,-0.202,0.424,0.091,0.002,4,0.4,1000,50,NONE
15,2.813,-1.729,-0.562,0.526,0.375,0.5,1.0,0.143,-0.043,-0.0,0.0,-0.202,0.424,0.091,0.004,4,0.4,1000,50,NONE
16,2.657,-1.957,-0.559,0.675,0.375,0.5,0.7,0.214,0.0,-0.062,0.0,-0.15,0.405,0.0,0.002,4,0.4,1000,50,NONE
17,3.04,-1.911,-0.51,0.583,0.375,1.0,0.625,0.286,-0.062,-0.125,0.0,-0.042,0.4,0.0,0.008,4,0.4,1000,50,NONE
18,2.346,-1.727,-0.544,0.427,0.125,0.5,1.0,0.0,-0.032,-0.0,0.0,-0.184,0.434,0.077,0.001,4,0.4,1000,50,NONE
19,2.327,-2.156,-0.628,0.418,0.0,0.5,1.0,0.0,0.0,-0.042,0.0,-0.067,0.517,0.0,0.004,4,0.4,1000,50,NONE
20,1.907,-2.043,-0.674,0.531,0.625,0.5,0.0,0.071,0.0,-0.042,0.0,-0.211,0.336,0.095,0.002,4,0.4,1000,50,NONE
21,1.82,-2.002,-0.709,0.412,-0.25,0.5,0.286,0.286,0.0,-0.0,0.0,-0.062,0.484,0.165,0.002,4,0.4,1000,50,NONE
22,1.732,-2.016,-0.834,0.525,-0.25,0.5,0.667,0.0,0.0,-0.062,0.0,-0.042,0.394,0.0,0.001,4,0.4,1000,50,NONE
23,1.82,-1.979,-0.693,0.489,-0.25,1.0,0.0,0.286,0.0,-0.0,0.0,-0.05,0.345,0.0,0.001,4,0.4,1000,50,NONE
24,1.861,-3.32,-1.0,0.515,0.125,0.5,0.571,0.0,0.0,-0.05,0.0,-0.217,0.416,0.0,0.001,4,0.4,1000,50,NONE
25,2.449,-2.515,-0.976,0.523,0.625,0.5,0.5,0.0,0.0,-0.091,0.0,-0.073,0.465,0.0,0.001,4,0.4,1000,50,NONE
26,2.449,-2.482,-0.931,0.523,0.625,0.5,0.5,0.0,0.0,-0.091,0.0,-0.073,0.465,0.0,0.002,4,0.4,1000,50,NONE
27,2.401,-2.428,-0.927,0.357,0.125,1.0,0.357,0.143,0.0,-0.053,0.0,-0.167,0.638,0.0,0.008,4,0.4,1000,50,NONE
28,2.085,-2.65,-0.898,0.441,0.125,1.0,0.062,0.143,-0.05,-0.0,0.0,-0.121,0.485,0.0,0.032,4,0.4,1000,50,NONE
