i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,2.631,-0.164,0.836,0.484,0.25,0.5,0.625,0.143,0.0,-0.0,0.0,-0.129,0.668,0.091,0.01,4,0.4,100,5,1X+2X
1,2.631,0.224,1.34,0.484,0.25,0.5,0.625,0.143,0.0,-0.0,0.0,-0.129,0.668,0.091,0.02,4,0.4,100,5,1X+2X
2,3.253,0.752,1.874,0.701,0.625,0.5,1.0,0.0,0.0,-0.0,0.0,-0.134,0.561,0.0,0.01,4,0.4,100,5,1X+2X
3,3.253,1.633,2.282,0.701,0.625,0.5,1.0,0.0,0.0,-0.0,0.0,-0.134,0.561,0.0,0.02,4,0.4,100,5,1X+2X
4,3.264,1.993,2.543,0.592,0.375,0.5,1.0,0.143,0.0,-0.0,0.0,-0.129,0.7,0.083,0.01,4,0.4,100,5,1X+2X
5,3.469,2.201,2.735,0.771,0.625,0.5,1.0,0.143,0.0,-0.05,0.0,-0.036,0.516,0.0,0.01,4,0.4,100,5,1X+2X
6,3.924,2.477,2.926,0.82,0.625,0.5,1.0,0.286,0.0,-0.0,0.0,-0.224,0.687,0.231,0.01,4,0.4,100,5,1X+2X
7,3.996,2.603,3.096,0.86,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.286,0.501,0.261,0.01,4,0.4,100,5,1X+2X
8,3.996,2.809,3.291,0.86,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.286,0.501,0.261,0.02,4,0.4,100,5,1X+2X
9,3.996,2.966,3.424,0.86,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.286,0.501,0.261,0.04,4,0.4,100,5,1X+2X
10,3.996,3.193,3.554,0.86,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.286,0.501,0.261,0.08,4,0.4,100,5,1X+2X
11,3.996,3.269,3.658,0.86,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.286,0.501,0.261,0.15,4,0.4,100,5,1X+2X
12,3.996,3.379,3.738,0.86,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.286,0.501,0.261,0.22,4,0.4,100,5,1X+2X
