i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.557,-1.651,0.766,0.719,0.375,0.5,1.0,0.143,0.0,-0.0,0.0,-0.219,0.875,0.165,0.001,4,0.4,1000,50,1X+2X
1,3.557,-0.873,1.204,0.719,0.375,0.5,1.0,0.143,0.0,-0.0,0.0,-0.219,0.875,0.165,0.001,4,0.4,1000,50,1X+2X
2,3.557,-0.277,1.593,0.719,0.375,0.5,1.0,0.143,0.0,-0.0,0.0,-0.219,0.875,0.165,0.001,4,0.4,1000,50,1X+2X
3,3.749,0.148,1.971,0.66,0.375,1.0,1.0,0.214,0.0,-0.042,0.0,-0.372,0.248,0.665,0.001,4,0.4,1000,50,1X+2X
4,4.161,0.619,2.297,0.75,0.5,1.0,0.625,0.286,0.0,-0.0,0.0,0.0,1.0,0.0,0.001,4,0.4,1000,50,1X+2X
5,4.161,1.027,2.532,0.75,0.5,1.0,0.625,0.286,0.0,-0.0,0.0,0.0,1.0,0.0,0.001,4,0.4,1000,50,1X+2X
6,4.161,1.264,2.754,0.75,0.5,1.0,0.625,0.286,0.0,-0.0,0.0,0.0,1.0,0.0,0.001,4,0.4,1000,50,1X+2X
7,4.527,1.465,2.937,0.917,0.875,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.575,0.0,0.001,4,0.4,1000,50,1X+2X
8,4.527,2.042,3.1,0.917,0.875,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.575,0.0,0.001,4,0.4,1000,50,1X+2X
9,4.527,2.11,3.25,0.917,0.875,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.575,0.0,0.001,4,0.4,1000,50,1X+2X
10,4.713,2.531,3.397,0.875,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.167,0.459,0.118,0.001,4,0.4,1000,50,1X+2X
11,4.713,2.63,3.533,0.875,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.167,0.459,0.118,0.001,4,0.4,1000,50,1X+2X
12,4.715,2.854,3.667,0.838,1.0,1.0,1.0,0.357,-0.053,-0.0,0.0,-0.113,0.685,0.0,0.001,4,0.4,1000,50,1X+2X
13,4.715,2.912,3.786,0.838,1.0,1.0,1.0,0.357,-0.053,-0.0,0.0,-0.113,0.685,0.0,0.001,4,0.4,1000,50,1X+2X
