i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.562,-1.269,0.712,0.75,0.5,1.0,0.562,0.0,0.0,-0.0,-0.25,0.0,1.0,0.0,0.001,4,0.4,1000,50,UX
1,3.562,-0.675,1.133,0.75,0.5,1.0,0.562,0.0,0.0,-0.0,-0.25,0.0,1.0,0.0,0.001,4,0.4,1000,50,UX
2,3.573,-0.241,1.542,0.896,0.75,0.5,1.0,0.143,-0.062,-0.0,0.0,-0.225,0.439,0.133,0.001,4,0.4,1000,50,UX
3,3.573,0.252,1.916,0.896,0.75,0.5,1.0,0.143,-0.062,-0.0,0.0,-0.225,0.439,0.133,0.001,4,0.4,1000,50,UX
4,3.632,0.473,2.249,0.643,0.5,1.0,0.357,0.429,0.0,-0.0,0.0,-0.042,0.612,0.133,0.001,4,0.4,1000,50,UX
5,3.937,1.044,2.497,1.0,0.875,1.0,1.0,0.143,0.0,-0.0,0.0,-0.525,0.222,0.222,0.001,4,0.4,1000,50,UX
6,3.937,1.351,2.701,1.0,0.875,1.0,1.0,0.143,0.0,-0.0,0.0,-0.525,0.222,0.222,0.001,4,0.4,1000,50,UX
7,3.937,1.736,2.869,1.0,0.875,1.0,1.0,0.143,0.0,-0.0,0.0,-0.525,0.222,0.222,0.001,4,0.4,1000,50,UX
8,4.168,1.909,3.03,0.775,0.75,1.0,0.812,0.286,0.0,-0.0,0.0,-0.237,0.545,0.236,0.001,4,0.4,1000,50,UX
9,4.358,2.104,3.184,0.917,1.0,1.0,0.778,0.214,0.0,-0.0,0.0,-0.375,0.49,0.333,0.001,4,0.4,1000,50,UX
10,4.851,2.207,3.326,0.793,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.211,0.844,0.211,0.001,4,0.4,1000,50,UX
11,4.851,2.395,3.457,0.793,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.211,0.844,0.211,0.001,4,0.4,1000,50,UX
12,4.851,2.395,3.579,0.793,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.211,0.844,0.211,0.001,4,0.4,1000,50,UX
13,4.851,2.821,3.696,0.793,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.211,0.844,0.211,0.001,4,0.4,1000,50,UX
