i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.698,-0.611,0.913,0.605,0.75,0.5,1.0,0.143,0.0,-0.0,0.0,-0.085,0.621,0.164,0.001,4,0.4,1000,50,1X+2X
1,3.698,0.172,1.511,0.605,0.75,0.5,1.0,0.143,0.0,-0.0,0.0,-0.085,0.621,0.164,0.002,4,0.4,1000,50,1X+2X
2,3.804,0.739,2.053,0.688,0.875,0.5,1.0,0.214,-0.077,-0.0,0.0,-0.098,0.516,0.186,0.001,4,0.4,1000,50,1X+2X
3,4.186,1.331,2.51,0.64,1.0,0.5,1.0,0.143,-0.087,-0.0,0.0,-0.036,0.844,0.182,0.001,4,0.4,1000,50,1X+2X
4,4.636,1.843,2.869,0.718,0.875,1.0,1.0,0.214,0.0,-0.0,0.0,-0.1,0.776,0.153,0.001,4,0.4,1000,50,1X+2X
5,4.636,2.325,3.181,0.718,0.875,1.0,1.0,0.214,0.0,-0.0,0.0,-0.1,0.776,0.153,0.003,4,0.4,1000,50,1X+2X
0,3.477,-0.513,0.933,0.83,0.625,0.5,0.75,0.214,-0.053,-0.0,0.0,-0.129,0.622,0.118,0.001,4,0.4,1000,50,1X+2X
6,4.73,2.669,3.427,0.747,1.0,1.0,1.0,0.214,-0.056,-0.0,0.0,0.0,0.589,0.235,0.001,4,0.4,1000,50,1X+2X
1,3.477,0.128,1.56,0.83,0.625,0.5,0.75,0.214,-0.053,-0.0,0.0,-0.129,0.622,0.118,0.002,4,0.4,1000,50,1X+2X
7,4.972,2.958,3.658,0.718,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,0.832,0.207,0.001,4,0.4,1000,50,1X+2X
2,4.034,0.726,2.087,0.789,0.625,1.0,1.0,0.143,0.0,-0.0,0.0,-0.107,0.584,0.0,0.001,4,0.4,1000,50,1X+2X
8,4.972,3.232,3.861,0.718,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,0.832,0.207,0.002,4,0.4,1000,50,1X+2X
3,4.209,1.292,2.526,0.643,1.0,1.0,0.625,0.5,0.0,-0.0,0.0,-0.083,0.525,0.0,0.001,4,0.4,1000,50,1X+2X
4,4.209,1.952,2.846,0.643,1.0,1.0,0.625,0.5,0.0,-0.0,0.0,-0.083,0.525,0.0,0.002,4,0.4,1000,50,1X+2X
9,5.04,3.465,4.057,0.668,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,0.832,0.326,0.001,4,0.4,1000,50,1X+2X
5,4.43,2.336,3.118,0.796,0.75,1.0,1.0,0.286,-0.062,-0.0,0.0,-0.092,0.467,0.286,0.001,4,0.4,1000,50,1X+2X
10,5.04,3.661,4.226,0.668,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,0.832,0.326,0.002,4,0.4,1000,50,1X+2X
6,4.43,2.686,3.358,0.796,0.75,1.0,1.0,0.286,-0.062,-0.0,0.0,-0.092,0.467,0.286,0.002,4,0.4,1000,50,1X+2X
11,5.04,3.845,4.376,0.668,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,0.832,0.326,0.005,4,0.4,1000,50,1X+2X
7,4.6,2.938,3.581,0.69,1.0,1.0,0.812,0.357,0.0,-0.0,0.0,-0.083,0.624,0.2,0.001,4,0.4,1000,50,1X+2X
12,5.057,4.037,4.505,0.793,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,0.611,0.44,0.001,4,0.4,1000,50,1X+2X
8,4.757,3.169,3.776,0.655,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.227,0.722,0.249,0.001,4,0.4,1000,50,1X+2X
13,5.428,4.187,4.622,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.001,4,0.4,1000,50,1X+2X
9,4.913,3.391,3.954,0.781,0.75,1.0,1.0,0.357,0.0,-0.0,0.0,-0.083,0.768,0.34,0.001,4,0.4,1000,50,1X+2X
14,5.428,4.341,4.731,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.002,4,0.4,1000,50,1X+2X
10,4.981,3.568,4.112,0.865,1.0,1.0,1.0,0.5,-0.053,-0.0,0.0,-0.042,0.488,0.222,0.001,4,0.4,1000,50,1X+2X
15,5.428,4.467,4.823,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.004,4,0.4,1000,50,1X+2X
11,5.227,3.779,4.267,0.906,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.094,0.665,0.25,0.001,4,0.4,1000,50,1X+2X
16,5.428,4.618,4.908,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.008,4,0.4,1000,50,1X+2X
12,5.229,3.938,4.389,0.844,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.094,0.776,0.25,0.001,4,0.4,1000,50,1X+2X
17,5.428,4.691,4.979,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.017,4,0.4,1000,50,1X+2X
13,5.338,4.088,4.522,0.825,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.206,0.96,0.259,0.001,4,0.4,1000,50,1X+2X
18,5.428,4.777,5.038,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.035,4,0.4,1000,50,1X+2X
14,5.512,4.217,4.662,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.094,0.909,0.416,0.001,4,0.4,1000,50,1X+2X
19,5.428,4.884,5.087,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.074,4,0.4,1000,50,1X+2X
15,5.574,4.359,4.799,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.001,4,0.4,1000,50,1X+2X
20,5.428,4.972,5.129,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.133,4,0.4,1000,50,1X+2X
21,5.428,5.029,5.167,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.202,4,0.4,1000,50,1X+2X
16,5.574,4.475,4.928,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.002,4,0.4,1000,50,1X+2X
22,5.428,5.04,5.199,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.27,4,0.4,1000,50,1X+2X
17,5.574,4.632,5.046,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.004,4,0.4,1000,50,1X+2X
23,5.428,5.062,5.23,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.345,4,0.4,1000,50,1X+2X
18,5.574,4.743,5.152,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.009,4,0.4,1000,50,1X+2X
24,5.428,5.068,5.262,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.431,4,0.4,1000,50,1X+2X
19,5.574,4.889,5.247,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.02,4,0.4,1000,50,1X+2X
