i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.623,-1.376,0.858,0.732,0.5,1.0,1.0,0.071,-0.056,-0.0,0.0,-0.098,0.473,0.0,0.001,4,0.4,1000,50,UX
1,3.661,-1.286,1.319,0.804,0.75,1.0,1.0,0.071,-0.111,-0.0,0.0,-0.134,0.281,0.0,0.001,4,0.4,1000,50,UX
2,3.661,-0.324,1.779,0.804,0.75,1.0,1.0,0.071,-0.111,-0.0,0.0,-0.134,0.281,0.0,0.001,4,0.4,1000,50,UX
3,4.657,0.152,2.154,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.333,0.49,0.286,0.001,4,0.4,1000,50,UX
4,4.657,0.202,2.467,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.333,0.49,0.286,0.001,4,0.4,1000,50,UX
5,4.657,1.002,2.712,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.333,0.49,0.286,0.001,4,0.4,1000,50,UX
6,4.657,1.496,2.913,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.333,0.49,0.286,0.001,4,0.4,1000,50,UX
7,4.657,2.029,3.102,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.333,0.49,0.286,0.002,4,0.4,1000,50,UX
8,4.657,2.281,3.274,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.333,0.49,0.286,0.002,4,0.4,1000,50,UX
9,4.657,2.549,3.436,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.333,0.49,0.286,0.002,4,0.4,1000,50,UX
10,4.695,2.549,3.583,0.867,1.0,1.0,0.864,0.214,0.0,-0.0,0.0,-0.05,0.667,0.133,0.001,4,0.4,1000,50,UX
11,4.695,2.869,3.724,0.867,1.0,1.0,0.864,0.214,0.0,-0.0,0.0,-0.05,0.667,0.133,0.001,4,0.4,1000,50,UX
12,4.789,2.891,3.841,0.772,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.353,0.809,0.132,0.001,4,0.4,1000,50,UX
13,4.874,2.939,3.953,0.75,0.75,1.0,1.0,0.571,0.0,-0.0,0.0,-0.312,0.863,0.252,0.001,4,0.4,1000,50,UX
14,5.131,2.939,4.063,0.787,1.0,1.0,1.0,0.357,-0.04,-0.0,0.0,-0.028,0.817,0.237,0.001,4,0.4,1000,50,UX
15,5.131,3.275,4.159,0.787,1.0,1.0,1.0,0.357,-0.04,-0.0,0.0,-0.028,0.817,0.237,0.001,4,0.4,1000,50,UX
16,5.131,3.282,4.253,0.787,1.0,1.0,1.0,0.357,-0.04,-0.0,0.0,-0.028,0.817,0.237,0.001,4,0.4,1000,50,UX
17,5.131,3.282,4.329,0.787,1.0,1.0,1.0,0.357,-0.04,-0.0,0.0,-0.028,0.817,0.237,0.001,4,0.4,1000,50,UX
18,5.188,3.649,4.4,0.844,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.156,0.685,0.316,0.001,4,0.4,1000,50,UX
19,5.188,3.868,4.476,0.844,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.156,0.685,0.316,0.001,4,0.4,1000,50,UX
20,5.189,3.868,4.539,0.808,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.156,0.904,0.132,0.001,4,0.4,1000,50,UX
21,5.248,3.868,4.602,0.844,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.156,0.748,0.17,0.001,4,0.4,1000,50,UX
22,5.289,4.009,4.66,0.801,1.0,1.0,1.0,0.643,-0.05,-0.0,0.0,-0.127,0.8,0.222,0.001,4,0.4,1000,50,UX
23,5.356,4.158,4.713,0.741,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.031,0.809,0.409,0.001,4,0.4,1000,50,UX
24,5.356,4.181,4.769,0.741,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.031,0.809,0.409,0.001,4,0.4,1000,50,UX
25,5.356,4.181,4.819,0.741,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.031,0.809,0.409,0.001,4,0.4,1000,50,UX
26,5.373,4.181,4.873,0.844,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.094,0.77,0.353,0.001,4,0.4,1000,50,UX
27,5.445,4.278,4.923,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.001,4,0.4,1000,50,UX
28,5.445,4.422,4.971,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.001,4,0.4,1000,50,UX
29,5.445,4.446,5.021,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.002,4,0.4,1000,50,UX
30,5.445,4.552,5.066,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.002,4,0.4,1000,50,UX
31,5.445,4.563,5.113,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.001,4,0.4,1000,50,UX
32,5.445,4.563,5.15,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.002,4,0.4,1000,50,UX
33,5.445,4.664,5.181,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.004,4,0.4,1000,50,UX
34,5.445,4.664,5.21,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.004,4,0.4,1000,50,UX
35,5.445,4.664,5.236,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.005,4,0.4,1000,50,UX
36,5.445,4.73,5.26,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.013,4,0.4,1000,50,UX
37,5.445,4.771,5.279,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.007,4,0.4,1000,50,UX
38,5.445,4.93,5.297,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.008,4,0.4,1000,50,UX
39,5.445,4.968,5.314,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.014,4,0.4,1000,50,UX
40,5.445,4.968,5.327,0.812,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.77,0.362,0.051,4,0.4,1000,50,UX
41,5.475,5.011,5.34,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.001,4,0.4,1000,50,UX
42,5.475,5.011,5.35,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.001,4,0.4,1000,50,UX
43,5.475,5.011,5.362,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.002,4,0.4,1000,50,UX
44,5.475,5.117,5.371,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.002,4,0.4,1000,50,UX
45,5.475,5.143,5.381,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.003,4,0.4,1000,50,UX
46,5.475,5.143,5.389,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.003,4,0.4,1000,50,UX
47,5.475,5.143,5.396,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.004,4,0.4,1000,50,UX
48,5.475,5.226,5.405,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.004,4,0.4,1000,50,UX
49,5.475,5.239,5.411,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.004,4,0.4,1000,50,UX
50,5.475,5.239,5.417,0.812,1.0,1.0,1.0,0.643,0.0,-0.0,0.0,-0.125,0.77,0.374,0.002,4,0.4,1000,50,UX
51,5.679,5.264,5.421,0.719,0.5,1.0,1.0,0.643,0.0,-0.0,0.0,0.0,0.909,0.909,0.001,4,0.4,1000,50,UX
52,5.679,5.264,5.427,0.719,0.5,1.0,1.0,0.643,0.0,-0.0,0.0,0.0,0.909,0.909,0.002,4,0.4,1000,50,UX
