i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.524,-0.481,1.003,0.732,0.5,1.0,0.786,0.286,-0.05,-0.05,0.0,-0.321,0.42,0.222,0.003,4,0.4,300,15,UX
1,3.524,0.191,1.637,0.732,0.5,1.0,0.786,0.286,-0.05,-0.05,0.0,-0.321,0.42,0.222,0.007,4,0.4,300,15,UX
2,3.658,0.677,2.19,0.812,0.75,1.0,0.833,0.214,-0.05,-0.0,0.0,-0.208,0.306,0.0,0.003,4,0.4,300,15,UX
3,3.781,1.332,2.651,0.771,0.75,1.0,1.0,0.143,0.0,-0.062,0.0,-0.292,0.338,0.133,0.003,4,0.4,300,15,UX
4,3.795,2.103,2.962,0.893,0.625,1.0,0.833,0.357,0.0,-0.056,0.0,-0.365,0.39,0.118,0.003,4,0.4,300,15,UX
5,4.1,2.538,3.229,0.896,0.875,1.0,0.786,0.143,0.0,-0.0,0.0,-0.375,0.553,0.222,0.003,4,0.4,300,15,UX
6,4.183,2.834,3.436,0.726,0.75,1.0,1.0,0.286,0.0,-0.053,0.0,-0.327,0.562,0.239,0.003,4,0.4,300,15,UX
7,4.59,3.082,3.614,0.812,1.0,1.0,0.833,0.429,-0.067,-0.0,0.0,-0.292,0.588,0.286,0.003,4,0.4,300,15,UX
8,4.59,3.31,3.782,0.812,1.0,1.0,0.833,0.429,-0.067,-0.0,0.0,-0.292,0.588,0.286,0.007,4,0.4,300,15,UX
9,4.59,3.463,3.936,0.812,1.0,1.0,0.833,0.429,-0.067,-0.0,0.0,-0.292,0.588,0.286,0.013,4,0.4,300,15,UX
10,4.682,3.622,4.09,0.792,1.0,1.0,1.0,0.071,0.0,-0.0,0.0,-0.167,0.713,0.273,0.003,4,0.4,300,15,UX
11,4.85,3.782,4.205,0.729,1.0,1.0,0.812,0.429,0.0,-0.0,0.0,-0.083,0.677,0.285,0.003,4,0.4,300,15,UX
12,4.85,3.914,4.318,0.729,1.0,1.0,0.812,0.429,0.0,-0.0,0.0,-0.083,0.677,0.285,0.007,4,0.4,300,15,UX
