i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.534,-0.883,0.949,0.661,0.625,0.5,1.0,0.143,-0.05,-0.0,0.0,-0.155,0.692,0.118,0.003,4,0.5,300,5,UX
1,3.534,-0.405,1.427,0.661,0.625,0.5,1.0,0.143,-0.05,-0.0,0.0,-0.155,0.692,0.118,0.003,4,0.5,300,5,UX
2,3.534,-0.056,1.814,0.661,0.625,0.5,1.0,0.143,-0.05,-0.0,0.0,-0.155,0.692,0.118,0.003,4,0.5,300,5,UX
3,3.783,0.646,2.19,0.64,0.5,0.5,1.0,0.286,-0.043,-0.0,0.0,-0.217,0.928,0.19,0.003,4,0.5,300,5,UX
4,3.874,0.984,2.51,0.747,1.0,0.5,0.786,0.357,0.0,-0.0,0.0,-0.301,0.535,0.25,0.003,4,0.5,300,5,UX
5,3.874,1.132,2.778,0.747,1.0,0.5,0.786,0.357,0.0,-0.0,0.0,-0.301,0.535,0.25,0.003,4,0.5,300,5,UX
6,4.051,1.791,2.987,0.688,0.75,0.5,1.0,0.357,-0.083,-0.0,0.0,-0.241,0.989,0.091,0.003,4,0.5,300,5,UX
7,4.273,1.997,3.133,0.851,0.875,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.163,0.474,0.0,0.003,4,0.5,300,5,UX
8,4.517,2.412,3.277,0.804,1.0,1.0,0.654,0.357,0.0,-0.0,0.0,-0.2,0.769,0.133,0.003,4,0.5,300,5,UX
9,4.517,2.616,3.424,0.804,1.0,1.0,0.654,0.357,0.0,-0.0,0.0,-0.2,0.769,0.133,0.003,4,0.5,300,5,UX
10,4.517,2.835,3.54,0.804,1.0,1.0,0.654,0.357,0.0,-0.0,0.0,-0.2,0.769,0.133,0.003,4,0.5,300,5,UX
11,4.517,2.835,3.657,0.804,1.0,1.0,0.654,0.357,0.0,-0.0,0.0,-0.2,0.769,0.133,0.003,4,0.5,300,5,UX
12,4.558,3.041,3.766,0.743,0.75,1.0,1.0,0.429,0.0,-0.0,0.0,-0.071,0.557,0.151,0.003,4,0.5,300,5,UX
13,4.558,3.101,3.859,0.743,0.75,1.0,1.0,0.429,0.0,-0.0,0.0,-0.071,0.557,0.151,0.003,4,0.5,300,5,UX
14,4.569,3.101,3.947,0.908,0.875,1.0,1.0,0.357,0.0,-0.0,0.0,-0.242,0.546,0.125,0.003,4,0.5,300,5,UX
15,4.665,3.101,4.031,0.843,0.875,1.0,1.0,0.286,0.0,-0.0,0.0,-0.1,0.527,0.235,0.003,4,0.5,300,5,UX
16,4.665,3.586,4.125,0.843,0.875,1.0,1.0,0.286,0.0,-0.0,0.0,-0.1,0.527,0.235,0.003,4,0.5,300,5,UX
17,4.855,3.667,4.189,0.801,1.0,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.208,0.693,0.333,0.003,4,0.5,300,5,UX
18,4.855,3.797,4.253,0.801,1.0,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.208,0.693,0.333,0.007,4,0.5,300,5,UX
19,4.855,3.892,4.305,0.801,1.0,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.208,0.693,0.333,0.007,4,0.5,300,5,UX
20,4.855,3.892,4.355,0.801,1.0,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.208,0.693,0.333,0.007,4,0.5,300,5,UX
21,4.973,3.897,4.408,0.908,0.875,1.0,1.0,0.5,0.0,-0.0,0.0,-0.042,0.548,0.184,0.003,4,0.5,300,5,UX
22,4.973,3.993,4.452,0.908,0.875,1.0,1.0,0.5,0.0,-0.0,0.0,-0.042,0.548,0.184,0.003,4,0.5,300,5,UX
23,4.973,4.049,4.499,0.908,0.875,1.0,1.0,0.5,0.0,-0.0,0.0,-0.042,0.548,0.184,0.003,4,0.5,300,5,UX
24,4.973,4.053,4.543,0.908,0.875,1.0,1.0,0.5,0.0,-0.0,0.0,-0.042,0.548,0.184,0.003,4,0.5,300,5,UX
25,4.973,4.23,4.585,0.908,0.875,1.0,1.0,0.5,0.0,-0.0,0.0,-0.042,0.548,0.184,0.003,4,0.5,300,5,UX
26,4.973,4.274,4.621,0.908,0.875,1.0,1.0,0.5,0.0,-0.0,0.0,-0.042,0.548,0.184,0.003,4,0.5,300,5,UX
27,5.151,4.274,4.657,0.7,1.0,1.0,1.0,0.429,-0.04,-0.0,0.0,-0.036,0.924,0.174,0.003,4,0.5,300,5,UX
28,5.276,4.345,4.692,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,-0.042,0.867,0.316,0.003,4,0.5,300,5,UX
29,5.302,4.41,4.731,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.003,4,0.5,300,5,UX
30,5.302,4.424,4.767,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.003,4,0.5,300,5,UX
31,5.302,4.424,4.8,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.007,4,0.5,300,5,UX
32,5.302,4.424,4.826,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.007,4,0.5,300,5,UX
33,5.302,4.424,4.862,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.007,4,0.5,300,5,UX
34,5.302,4.517,4.895,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.007,4,0.5,300,5,UX
35,5.302,4.517,4.928,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.007,4,0.5,300,5,UX
36,5.302,4.517,4.955,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.007,4,0.5,300,5,UX
37,5.302,4.517,4.985,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.007,4,0.5,300,5,UX
38,5.302,4.517,5.014,0.751,1.0,1.0,1.0,0.429,-0.045,-0.0,0.0,0.0,0.867,0.3,0.007,4,0.5,300,5,UX
