i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.458,-1.549,0.956,0.812,0.75,0.5,1.0,0.143,0.0,-0.0,0.0,-0.51,0.485,0.277,0.002,4,0.5,500,5,1X+2X
1,3.657,-0.784,1.438,0.762,0.875,0.5,0.812,0.214,0.0,-0.053,0.0,-0.071,0.499,0.118,0.002,4,0.5,500,5,1X+2X
2,3.658,-0.784,1.835,0.754,1.0,0.5,1.0,0.0,0.0,-0.0,0.0,-0.384,0.693,0.095,0.002,4,0.5,500,5,1X+2X
3,3.658,0.348,2.213,0.754,1.0,0.5,1.0,0.0,0.0,-0.0,0.0,-0.384,0.693,0.095,0.002,4,0.5,500,5,1X+2X
4,3.938,0.348,2.533,0.754,1.0,0.5,0.625,0.429,0.0,-0.0,0.0,-0.198,0.637,0.192,0.002,4,0.5,500,5,1X+2X
5,4.085,1.426,2.769,0.917,0.875,1.0,0.864,0.143,0.0,-0.062,0.0,-0.412,0.548,0.214,0.002,4,0.5,500,5,1X+2X
6,4.085,1.624,2.968,0.917,0.875,1.0,0.864,0.143,0.0,-0.062,0.0,-0.412,0.548,0.214,0.002,4,0.5,500,5,1X+2X
7,4.416,1.812,3.148,0.879,0.875,1.0,1.0,0.143,-0.095,-0.0,0.0,-0.286,0.678,0.222,0.002,4,0.5,500,5,1X+2X
8,4.448,2.48,3.319,0.75,1.0,1.0,0.812,0.214,-0.053,-0.0,0.0,-0.092,0.58,0.235,0.002,4,0.5,500,5,1X+2X
9,4.448,2.516,3.47,0.75,1.0,1.0,0.812,0.214,-0.053,-0.0,0.0,-0.092,0.58,0.235,0.002,4,0.5,500,5,1X+2X
10,4.505,2.773,3.609,0.759,1.0,1.0,1.0,0.0,0.0,-0.0,0.0,-0.134,0.88,0.0,0.002,4,0.5,500,5,1X+2X
11,4.548,2.854,3.741,0.838,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.213,0.637,0.143,0.002,4,0.5,500,5,1X+2X
12,4.74,2.854,3.844,0.768,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.295,0.954,0.17,0.002,4,0.5,500,5,1X+2X
13,4.785,3.039,3.951,0.763,1.0,1.0,1.0,0.143,-0.04,-0.0,0.0,-0.263,0.944,0.238,0.002,4,0.5,500,5,1X+2X
14,4.785,3.373,4.04,0.763,1.0,1.0,1.0,0.143,-0.04,-0.0,0.0,-0.263,0.944,0.238,0.002,4,0.5,500,5,1X+2X
15,4.884,3.419,4.137,0.772,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,-0.254,0.836,0.316,0.002,4,0.5,500,5,1X+2X
16,4.938,3.595,4.223,0.737,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.134,0.954,0.095,0.002,4,0.5,500,5,1X+2X
17,4.938,3.685,4.291,0.737,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.134,0.954,0.095,0.002,4,0.5,500,5,1X+2X
18,5.007,3.709,4.357,0.826,0.875,1.0,1.0,0.286,-0.042,-0.0,0.0,-0.165,0.952,0.275,0.002,4,0.5,500,5,1X+2X
19,5.086,3.771,4.421,0.763,1.0,1.0,1.0,0.286,-0.04,-0.0,0.0,-0.165,0.954,0.288,0.002,4,0.5,500,5,1X+2X
20,5.212,3.886,4.488,0.795,1.0,1.0,1.0,0.571,-0.042,-0.0,0.0,-0.107,0.904,0.091,0.002,4,0.5,500,5,1X+2X
21,5.212,3.996,4.552,0.795,1.0,1.0,1.0,0.571,-0.042,-0.0,0.0,-0.107,0.904,0.091,0.002,4,0.5,500,5,1X+2X
22,5.212,4.023,4.607,0.795,1.0,1.0,1.0,0.571,-0.042,-0.0,0.0,-0.107,0.904,0.091,0.002,4,0.5,500,5,1X+2X
23,5.217,4.023,4.654,0.795,1.0,1.0,1.0,0.571,-0.042,-0.0,0.0,-0.107,0.904,0.095,0.002,4,0.5,500,5,1X+2X
24,5.257,4.268,4.712,0.826,0.875,1.0,1.0,0.571,-0.042,-0.0,0.0,-0.107,0.952,0.182,0.002,4,0.5,500,5,1X+2X
25,5.257,4.268,4.758,0.826,0.875,1.0,1.0,0.571,-0.042,-0.0,0.0,-0.107,0.952,0.182,0.002,4,0.5,500,5,1X+2X
26,5.338,4.268,4.8,0.795,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,-0.143,0.904,0.211,0.002,4,0.5,500,5,1X+2X
27,5.338,4.268,4.838,0.795,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,-0.143,0.904,0.211,0.002,4,0.5,500,5,1X+2X
28,5.338,4.268,4.875,0.795,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,-0.143,0.904,0.211,0.002,4,0.5,500,5,1X+2X
29,5.338,4.268,4.914,0.795,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,-0.143,0.904,0.211,0.002,4,0.5,500,5,1X+2X
30,5.374,4.268,4.954,0.795,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,-0.107,0.904,0.211,0.002,4,0.5,500,5,1X+2X
