i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
265,6.013,0.223,3.996,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
266,6.013,0.146,4.014,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
267,6.013,0.119,3.965,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
268,6.013,0.192,4.016,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.551,4,0.4,1000,50,1X+2X
269,6.013,0.171,4.002,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
270,6.013,0.172,3.999,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
271,6.013,0.123,4.024,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
272,6.013,0.263,4.002,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
273,6.013,0.242,4.018,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
274,6.013,0.114,3.958,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
275,6.013,0.196,3.976,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
276,6.013,0.194,4.003,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
277,6.013,0.211,3.996,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
278,6.013,0.169,3.961,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
279,6.013,0.241,3.981,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
280,6.013,0.182,3.986,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.552,4,0.4,1000,50,1X+2X
281,6.013,0.147,3.973,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
282,6.013,0.207,3.99,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
283,6.013,0.247,4.009,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.551,4,0.4,1000,50,1X+2X
284,6.013,0.302,4.023,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
285,6.013,0.145,4.012,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
286,6.013,0.07,3.983,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
287,6.013,0.291,3.989,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
288,6.013,0.176,3.992,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
289,6.013,0.143,3.975,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
290,6.013,0.141,3.987,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.551,4,0.4,1000,50,1X+2X
291,6.013,0.21,4.02,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
292,6.013,0.197,3.986,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
293,6.013,0.168,3.976,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
294,6.013,0.176,3.983,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
295,6.013,0.278,4.011,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.551,4,0.4,1000,50,1X+2X
296,6.013,0.164,3.998,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.551,4,0.4,1000,50,1X+2X
297,6.013,0.17,3.985,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
298,6.013,0.04,3.949,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.551,4,0.4,1000,50,1X+2X
299,6.013,0.229,3.997,0.762,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.882,0.941,0.55,4,0.4,1000,50,1X+2X
