i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.949,0.208,1.262,0.938,0.875,1.0,0.85,0.071,-0.077,-0.0,0.0,-0.367,0.333,0.326,0.002,4,0.4,1000,50,1X+2X
1,4.164,0.911,1.96,0.9,1.0,1.0,0.85,0.214,0.0,-0.0,0.0,0.0,0.2,0.0,0.001,4,0.4,1000,50,1X+2X
2,4.164,1.519,2.465,0.9,1.0,1.0,0.85,0.214,0.0,-0.0,0.0,0.0,0.2,0.0,0.002,4,0.4,1000,50,1X+2X
3,4.164,2.013,2.83,0.9,1.0,1.0,0.85,0.214,0.0,-0.0,0.0,0.0,0.2,0.0,0.004,4,0.4,1000,50,1X+2X
4,4.164,2.391,3.115,0.9,1.0,1.0,0.85,0.214,0.0,-0.0,0.0,0.0,0.2,0.0,0.008,4,0.4,1000,50,1X+2X
5,4.51,2.685,3.369,0.718,0.875,1.0,1.0,0.429,-0.04,-0.0,0.0,-0.103,0.631,0.0,0.001,4,0.4,1000,50,1X+2X
6,4.511,2.943,3.597,0.9,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.175,0.5,0.0,0.001,4,0.4,1000,50,1X+2X
7,4.677,3.194,3.793,0.9,1.0,1.0,0.885,0.071,0.0,-0.0,0.0,-0.2,0.754,0.267,0.001,4,0.4,1000,50,1X+2X
8,4.677,3.405,3.958,0.9,1.0,1.0,0.885,0.071,0.0,-0.0,0.0,-0.2,0.754,0.267,0.002,4,0.4,1000,50,1X+2X
9,4.956,3.616,4.101,0.818,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.228,0.837,0.1,0.001,4,0.4,1000,50,1X+2X
10,4.956,3.808,4.225,0.818,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.228,0.837,0.1,0.002,4,0.4,1000,50,1X+2X
11,5.226,3.945,4.335,0.718,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,-0.103,0.905,0.174,0.001,4,0.4,1000,50,1X+2X
12,5.226,4.055,4.447,0.718,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,-0.103,0.905,0.174,0.003,4,0.4,1000,50,1X+2X
13,5.27,4.168,4.539,0.683,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,-0.031,0.905,0.182,0.001,4,0.4,1000,50,1X+2X
14,5.27,4.29,4.628,0.683,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,-0.031,0.905,0.182,0.003,4,0.4,1000,50,1X+2X
15,5.27,4.375,4.712,0.683,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,-0.031,0.905,0.182,0.006,4,0.4,1000,50,1X+2X
16,5.27,4.462,4.802,0.683,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,-0.031,0.905,0.182,0.014,4,0.4,1000,50,1X+2X
17,5.27,4.543,4.884,0.683,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,-0.031,0.905,0.182,0.028,4,0.4,1000,50,1X+2X
18,5.27,4.616,4.956,0.683,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,-0.031,0.905,0.182,0.06,4,0.4,1000,50,1X+2X
19,5.27,4.684,5.021,0.683,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,-0.031,0.905,0.182,0.124,4,0.4,1000,50,1X+2X
20,5.279,4.755,5.08,0.651,1.0,1.0,1.0,0.571,-0.04,-0.0,0.0,0.0,0.905,0.19,0.001,4,0.4,1000,50,1X+2X
21,5.368,4.808,5.133,1.0,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.898,0.167,0.007,4,0.4,1000,50,1X+2X
22,5.368,4.892,5.181,1.0,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.898,0.167,0.009,4,0.4,1000,50,1X+2X
23,5.368,4.946,5.216,1.0,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.898,0.167,0.011,4,0.4,1000,50,1X+2X
24,5.368,4.997,5.244,1.0,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.898,0.167,0.014,4,0.4,1000,50,1X+2X
25,5.368,5.152,5.264,1.0,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.898,0.167,0.016,4,0.4,1000,50,1X+2X
26,5.368,5.226,5.275,1.0,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.898,0.167,0.032,4,0.4,1000,50,1X+2X
27,5.368,5.247,5.285,1.0,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.898,0.167,0.064,4,0.4,1000,50,1X+2X
28,5.368,5.27,5.292,1.0,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.898,0.167,0.115,4,0.4,1000,50,1X+2X
29,5.368,5.27,5.3,1.0,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.898,0.167,0.165,4,0.4,1000,50,1X+2X
30,5.374,5.27,5.308,0.759,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.031,0.899,0.219,0.001,4,0.4,1000,50,1X+2X
31,5.386,5.27,5.316,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.231,0.001,4,0.4,1000,50,1X+2X
32,5.386,5.279,5.325,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.231,0.002,4,0.4,1000,50,1X+2X
33,5.386,5.279,5.332,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.231,0.005,4,0.4,1000,50,1X+2X
34,5.386,5.279,5.339,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.231,0.012,4,0.4,1000,50,1X+2X
35,5.394,5.288,5.346,0.79,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.031,0.899,0.207,0.001,4,0.4,1000,50,1X+2X
36,5.394,5.291,5.353,0.79,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.031,0.899,0.207,0.002,4,0.4,1000,50,1X+2X
37,5.394,5.301,5.36,0.79,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.031,0.899,0.207,0.005,4,0.4,1000,50,1X+2X
38,5.401,5.329,5.366,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.245,0.001,4,0.4,1000,50,1X+2X
39,5.401,5.336,5.37,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.245,0.003,4,0.4,1000,50,1X+2X
40,5.405,5.349,5.375,0.759,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.219,0.001,4,0.4,1000,50,1X+2X
41,5.405,5.356,5.379,0.759,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.219,0.002,4,0.4,1000,50,1X+2X
42,5.405,5.368,5.381,0.759,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.219,0.004,4,0.4,1000,50,1X+2X
43,5.405,5.368,5.383,0.759,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.219,0.01,4,0.4,1000,50,1X+2X
44,5.405,5.368,5.386,0.79,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.031,0.899,0.219,0.001,4,0.4,1000,50,1X+2X
45,5.405,5.368,5.389,0.79,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.031,0.899,0.219,0.002,4,0.4,1000,50,1X+2X
46,5.481,5.368,5.392,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.326,0.001,4,0.4,1000,50,1X+2X
47,5.481,5.368,5.395,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.326,0.002,4,0.4,1000,50,1X+2X
48,5.481,5.368,5.399,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.326,0.004,4,0.4,1000,50,1X+2X
49,5.481,5.368,5.403,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.326,0.011,4,0.4,1000,50,1X+2X
50,5.481,5.394,5.407,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.326,0.027,4,0.4,1000,50,1X+2X
51,5.481,5.401,5.413,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.326,0.072,4,0.4,1000,50,1X+2X
52,5.481,5.405,5.421,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.326,0.165,4,0.4,1000,50,1X+2X
53,5.481,5.405,5.43,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.326,0.275,4,0.4,1000,50,1X+2X
54,5.481,5.405,5.442,0.728,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.326,0.416,4,0.4,1000,50,1X+2X
55,5.512,5.405,5.453,0.763,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.322,0.002,4,0.4,1000,50,1X+2X
56,5.512,5.405,5.464,0.763,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.322,0.005,4,0.4,1000,50,1X+2X
57,5.512,5.418,5.473,0.763,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.322,0.012,4,0.4,1000,50,1X+2X
58,5.512,5.425,5.479,0.763,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.322,0.03,4,0.4,1000,50,1X+2X
59,5.512,5.481,5.484,0.763,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.899,0.322,0.074,4,0.4,1000,50,1X+2X
60,5.568,5.481,5.487,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.305,0.001,4,0.4,1000,50,1X+2X
61,5.568,5.481,5.491,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.305,0.003,4,0.4,1000,50,1X+2X
62,5.568,5.481,5.496,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.305,0.007,4,0.4,1000,50,1X+2X
63,5.568,5.481,5.502,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.305,0.018,4,0.4,1000,50,1X+2X
64,5.568,5.481,5.507,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.305,0.041,4,0.4,1000,50,1X+2X
65,5.568,5.481,5.515,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.305,0.095,4,0.4,1000,50,1X+2X
66,5.584,5.503,5.522,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.29,0.001,4,0.4,1000,50,1X+2X
67,5.584,5.512,5.528,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.29,0.002,4,0.4,1000,50,1X+2X
68,5.65,5.512,5.536,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.388,0.001,4,0.4,1000,50,1X+2X
69,5.65,5.512,5.545,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.388,0.002,4,0.4,1000,50,1X+2X
70,5.65,5.512,5.555,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.388,0.005,4,0.4,1000,50,1X+2X
71,5.65,5.512,5.564,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.388,0.012,4,0.4,1000,50,1X+2X
72,5.65,5.512,5.574,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.388,0.029,4,0.4,1000,50,1X+2X
73,5.65,5.568,5.584,0.763,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.388,0.072,4,0.4,1000,50,1X+2X
74,5.686,5.568,5.594,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.001,4,0.4,1000,50,1X+2X
75,5.686,5.568,5.605,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.008,4,0.4,1000,50,1X+2X
76,5.686,5.568,5.619,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.026,4,0.4,1000,50,1X+2X
77,5.686,5.568,5.634,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.073,4,0.4,1000,50,1X+2X
78,5.686,5.584,5.646,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.158,4,0.4,1000,50,1X+2X
79,5.686,5.588,5.657,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.268,4,0.4,1000,50,1X+2X
80,5.686,5.624,5.666,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.396,4,0.4,1000,50,1X+2X
81,5.686,5.65,5.673,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.55,4,0.4,1000,50,1X+2X
82,5.686,5.65,5.678,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.711,4,0.4,1000,50,1X+2X
83,5.686,5.65,5.682,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.846,4,0.4,1000,50,1X+2X
84,5.686,5.664,5.685,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,0.955,4,0.4,1000,50,1X+2X
85,5.686,5.686,5.686,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,1.0,4,0.4,1000,50,1X+2X
86,5.686,5.686,5.686,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,1.0,4,0.4,1000,50,1X+2X
87,5.686,5.686,5.686,0.795,1.0,1.0,1.0,0.643,-0.043,-0.0,0.0,0.0,0.899,0.393,1.0,4,0.4,1000,50,1X+2X
