i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.522,-0.927,1.034,0.781,0.875,0.5,1.0,0.071,0.0,-0.0,0.0,-0.271,0.354,0.212,0.001,4,0.4,1000,50,UX
1,3.522,-0.834,1.414,0.781,0.875,0.5,1.0,0.071,0.0,-0.0,0.0,-0.271,0.354,0.212,0.002,4,0.4,1000,50,UX
2,3.713,-0.728,1.662,0.783,1.0,0.5,0.85,0.286,0.0,-0.0,0.0,-0.125,0.419,0.0,0.001,4,0.4,1000,50,UX
3,3.735,-0.761,1.802,0.723,0.75,1.0,0.7,0.143,0.0,-0.0,0.0,-0.259,0.677,0.0,0.001,4,0.4,1000,50,UX
4,3.982,-0.809,1.911,0.783,0.75,1.0,0.85,0.286,0.0,-0.0,0.0,-0.312,0.625,0.0,0.001,4,0.4,1000,50,UX
5,4.238,-0.723,2.04,0.802,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.337,0.369,0.261,0.001,4,0.4,1000,50,UX
6,4.238,-0.784,2.147,0.802,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.337,0.369,0.261,0.002,4,0.4,1000,50,UX
7,4.326,-0.759,2.258,0.75,1.0,1.0,0.75,0.286,-0.053,-0.0,0.0,-0.125,0.6,0.118,0.001,4,0.4,1000,50,UX
8,4.346,-0.854,2.293,0.768,0.875,1.0,1.0,0.143,0.0,-0.0,0.0,-0.229,0.657,0.133,0.001,4,0.4,1000,50,UX
9,4.346,-0.711,2.404,0.768,0.875,1.0,1.0,0.143,0.0,-0.0,0.0,-0.229,0.657,0.133,0.002,4,0.4,1000,50,UX
10,4.78,-0.664,2.455,0.65,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.237,0.752,0.188,0.001,4,0.4,1000,50,UX
11,4.78,-0.659,2.547,0.65,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.237,0.752,0.188,0.002,4,0.4,1000,50,UX
12,4.851,-0.654,2.604,0.656,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.25,0.916,0.172,0.001,4,0.4,1000,50,UX
13,4.902,-0.607,2.648,0.681,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.237,0.752,0.278,0.001,4,0.4,1000,50,UX
14,4.996,-0.61,2.716,0.719,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.208,0.001,4,0.4,1000,50,UX
15,5.044,-0.706,2.72,0.688,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.188,0.909,0.278,0.001,4,0.4,1000,50,UX
16,5.044,-0.677,2.75,0.688,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.188,0.909,0.278,0.003,4,0.4,1000,50,UX
17,5.044,-0.724,2.848,0.688,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.188,0.909,0.278,0.006,4,0.4,1000,50,UX
18,5.09,-0.63,2.898,0.719,1.0,1.0,1.0,0.429,-0.04,-0.0,0.0,-0.062,0.768,0.278,0.001,4,0.4,1000,50,UX
19,5.09,-0.662,2.991,0.719,1.0,1.0,1.0,0.429,-0.04,-0.0,0.0,-0.062,0.768,0.278,0.002,4,0.4,1000,50,UX
20,5.09,-0.549,3.029,0.719,1.0,1.0,1.0,0.429,-0.04,-0.0,0.0,-0.062,0.768,0.278,0.004,4,0.4,1000,50,UX
21,5.133,-0.599,3.081,0.674,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.809,0.347,0.002,4,0.4,1000,50,UX
22,5.133,-0.515,3.102,0.674,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.125,0.809,0.347,0.004,4,0.4,1000,50,UX
23,5.257,-0.391,3.208,0.719,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.469,0.001,4,0.4,1000,50,UX
24,5.257,-0.361,3.211,0.719,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.469,0.003,4,0.4,1000,50,UX
25,5.257,-0.412,3.204,0.719,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.469,0.006,4,0.4,1000,50,UX
26,5.257,-0.424,3.203,0.719,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.469,0.014,4,0.4,1000,50,UX
27,5.257,-0.537,3.195,0.719,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.469,0.03,4,0.4,1000,50,UX
28,5.257,-0.462,3.207,0.719,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.469,0.062,4,0.4,1000,50,UX
29,5.257,-0.333,3.283,0.719,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.469,0.116,4,0.4,1000,50,UX
30,5.312,-0.489,3.231,0.674,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.856,0.621,0.001,4,0.4,1000,50,UX
31,5.524,-0.412,3.265,0.656,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.798,0.001,4,0.4,1000,50,UX
32,5.524,-0.416,3.27,0.656,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,0.909,0.798,0.002,4,0.4,1000,50,UX
