,REST,D4,G4,E4,C4,D#4,F#4,F4,A4,B4,C#4,E5,D5,C5,G5,D#5,G#4,C#5,F5,F#5,B5,A5,A#4,C6,G#5,A#5
D4,7.974474066403014e-06,5.721136759424116e-09,3.4520944654023094e-09,2.511325323249633e-06,3.8454376309283203e-10,0.00018725009341935482,0.014015396499782324,0.49999999956046004,0.03052111415218984,3.7352018675113196e-11,0.9139837692923899,3.4053358393004688e-06,3.713864328338775e-08,2.7503490114218508e-11,4.2066974201528465e-06,0.017279999999999997,7.062888825438025e-06,3.1631186440677955e-05,2.4537976107805195e-08,0.00015428571428571425,0.0,1.0134881330735891e-07,0.0,0.0,0.0,0.0
E4,0.9964299194364998,3.3696470899317442e-06,2.2725232442726408e-08,0.6659773551755721,0.00022477306670833227,0.6919552571835577,0.0919174848585111,0.49999999999414363,0.4000682101138156,2.1487068011357022e-12,0.0024517759145527367,3.494264683336559e-06,0.06336784362389795,7.011399186098029e-10,0.0001386839264415457,0.0,0.0015697052424140164,0.021726524745762713,0.0008905729662318181,0.0003085714285714285,1.6703362823344278e-08,2.533720332683973e-08,0.010367999999999999,2.857431012746762e-07,0.0,0.0
REST,4.399406310969228e-06,3.0743529026899026e-08,4.9064298064765834e-11,7.844408861455963e-06,1.9564252527741154e-09,0.00014823965729032253,0.05513387911188506,4.057249267598152e-11,0.0006253108638880604,4.612320360421749e-08,0.007018956048064083,9.074224356639317e-06,3.526882522892278e-05,1.241674862009167e-10,0.00010975714027593301,0.0030003858520900317,0.019231916863958462,0.0009173044067796608,0.0005746857703909537,0.14554285714285714,2.194363351302091e-08,2.001639062820338e-06,0.0004323763960396039,4.136009561033803e-06,0.02215384615384615,0.2
G4,0.0016091732767881167,1.8982650407975027e-09,2.0993381148616035e-09,0.3335056214189908,2.472445201672011e-09,7.802087225806451e-05,0.7261251349063997,2.318302657419933e-11,0.10213725262495071,0.9999997847541512,0.00011959882510013346,2.156816792280381e-05,8.439178722058837e-05,6.009066082156589e-08,4.358440425765847e-05,0.01778006430868167,0.00026838977536664487,0.03189829423728813,2.3689663219506782e-06,0.0,1.2960312330718107e-08,0.002462497603466688,0.3736991902838284,3.1050411057682308e-06,0.0,0.0
C4,6.392368150165805e-05,0.9999965879776221,5.786556987801322e-10,0.0005063548800473357,0.8062703393997075,0.0001066285254193548,0.004767971023073574,1.0927573951171034e-10,2.241380768132515e-07,2.3050249667720335e-09,0.0011436637650200261,1.280128985470672e-06,0.002604035679751017,7.245288738106141e-11,3.2755073659132234e-05,0.000250032154340836,1.1771481375730041e-05,0.553426093559322,0.0008050256691124216,0.00015428571428571425,0.0,0.0,0.010367999999999999,1.5075525681747593e-06,0.0,0.0
B4,0.0018769649596041252,3.281682755141508e-11,5.417841497734936e-09,1.8803223734767857e-08,9.903277757729891e-11,3.640974038709676e-05,0.013172054262080972,1.836633582291604e-11,0.022229800567940224,5.1739032200161556e-08,7.474926568758341e-06,9.429302696692744e-05,0.11085662262112758,0.9999996304360819,1.4278993171422416e-08,0.0015001929260450159,0.00017186362808565861,0.0018346088135593216,1.6826381426153704e-05,0.0015428571428571425,6.5503383620958e-10,0.009331301348813307,0.3730745249372937,4.179186899131086e-06,0.038769230769230764,0.0
C5,6.669773210133241e-07,1.939666020513428e-09,3.994231545436665e-08,1.1918464027262667e-10,0.19350469303956871,0.16875796347870964,6.824734871571615e-05,2.5359109835093183e-11,0.009438694045865961,9.796026404948326e-08,0.0,0.020472531618825326,0.6341314056461624,4.1674819494188826e-08,0.9288585671248591,0.000250032154340836,2.5897259026606086e-05,0.0009489355932203387,0.0020617687184595803,0.03061714285714286,7.83808674588233e-05,0.018531878753608767,0.08666607778217822,6.994166068420067e-06,0.0,0.0
F4,3.697062305462217e-06,2.0305177894753438e-09,0.9999999224674395,8.524840830480104e-10,1.1546062193052491e-10,0.030307618089290327,0.0030556937919024806,1.778434993745978e-10,0.00012300112178882853,4.48656419014394e-14,0.0001943480907877169,0.4785254794375709,3.6972683085712876e-08,2.013113938706214e-08,0.0027975898635583417,0.000250032154340836,0.00222053736825438,0.0,0.8526529941041234,0.0,0.00019122559127398133,2.533720332683973e-08,6.651944554455445e-05,3.0740716596708527e-07,0.0,0.0
A4,5.401960895822303e-09,1.1169708367206538e-12,2.5029034725502024e-09,2.929393510358508e-07,1.1044884161085271e-12,3.380904464516129e-05,0.04900421098824555,4.0386686357010534e-11,0.2554314228331931,1.426058000448884e-10,0.00029152213618157535,0.0014293658096299231,3.6798719598205227e-06,4.4640716446357327e-10,0.00016929621499937577,0.0012501607717041795,0.9445295373522647,0.02044880891041162,2.5489637230047682e-05,0.017897142857142858,3.2751691810479e-10,1.8984759806327867e-05,0.001031051405940594,3.6005524384484213e-10,0.0,0.0
F#4,4.035212391346581e-10,2.366989514231168e-15,5.529376079679001e-13,1.8187593416910531e-13,1.3329407945995608e-13,0.0001196320041290322,0.004903247017849367,4.00162551005522e-15,3.380239558134546e-08,4.357555431880058e-14,0.00029152213618157535,1.623024127160942e-10,4.631826183626188e-08,1.7579371977745564e-13,0.0,0.0,0.00024013822006489283,0.025951631186440675,2.9445571329366217e-08,0.0003085714285714285,0.0,0.0,0.00023281805940594054,3.9486511152680096e-07,0.0,0.0
