,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,3.66914881445986e-45,2.3248876593471327e-17,2.3952575205680173e-14,0.08513688859278022,2.049527824176488e-40,1.931646997421446e-15,2.838882344249254e-37,0.3291120549202282,0.023596256064450833,6.4020984957214085e-15,3.925140806864344e-14,6.485587885829956e-32,0.0,0.0,1.1539986016466073e-41,0.0,5.4569348346414475e-43,0.0002656331146614176,0.0,0.0,0.0,0.0
REST,1.139046734613108e-49,5.712015181494517e-46,4.2535659434846756e-17,4.309187197990741e-50,7.68462562193205e-51,3.2177955995389446e-17,3.0528362893664287e-43,8.198614649196118e-41,1.4298368341124797e-49,4.05951245524153e-14,7.658851679112229e-05,2.6675382132376837e-42,1.1032494774783112e-24,0.0,3.8207692930756046e-51,0.0,3.237661117886218e-51,2.9514790517935287e-05,1.2468851188360211e-27,3.081709996706483e-09,0.00016615252813866836,0.9999999999964098
D4,5.140782338988227e-41,2.4299547456974076e-21,9.417317230732671e-09,7.92721421162509e-43,2.6698662454058242e-49,1.203973143491256e-12,2.0709469824005207e-41,2.817214954716848e-48,0.07078874581727256,3.8519955712062967e-13,3.270950672386954e-14,7.084684571141826e-23,8.6683887516153e-25,1.2836137131233522e-17,1.6457447141772416e-46,0.0,1.3758188783167084e-48,5.9029581035870574e-05,0.0,0.0,0.95601953488896,0.0
C#4,7.9559763446361e-51,3.479715480089684e-53,6.273048203285286e-19,3.837978651674847e-52,2.07692584376542e-51,2.575564915097244e-18,3.424145341077199e-52,1.214263196433891e-49,2.654333244905351e-32,1.0578012741794232e-13,1.3083802689547823e-14,2.1771382111773834e-43,2.285302489062214e-24,0.0,0.0,0.0,0.0,0.00028039050992038526,0.0,0.0,0.0,0.0
E4,6.326359321681049e-41,0.12668388831398594,0.999999930579158,0.012964706036707949,2.6532635744597662e-18,3.909565317737121e-16,0.026794510802210122,0.10559886592317959,0.023596256064450823,0.9999999999992316,0.9861655620431431,0.06014049964552702,1.1190101842994272e-23,0.0,1.6105672310254134e-15,3.707516139069943e-25,0.02592752315214266,0.0,0.03282302656756268,0.0,0.0,0.0
C4,0.9999999999999998,3.8875229344357187e-32,4.146168849338709e-13,6.272276976350892e-20,5.00054001499267e-51,0.9999945969756958,0.0052212337133802885,0.0956057211494244,0.21833224761735454,2.095232234963368e-14,4.698895505623127e-11,0.03007024964694217,1.1032494774783112e-24,0.0,1.018871811486825e-51,0.0,1.285230600625258e-39,0.0,6.234425594180106e-28,0.0,0.0,0.0
D#4,2.7120647779999748e-52,1.739857740044842e-53,9.504618489826193e-20,1.4497224224743417e-49,4.615390763923154e-53,2.552361627573846e-19,5.874193731945242e-45,0.004996727368530299,9.143168058579344e-52,4.365067156173688e-15,0.0,2.5001608473441936e-49,2.600516625484591e-24,0.0,0.0,0.0,4.2713403424208464e-29,0.0,0.0,0.0,0.0,0.0
F#4,2.1343044442497853e-49,2.2362593582986238e-49,1.7141322989843857e-16,4.248694035355306e-48,6.846323051540962e-50,1.475504823374488e-17,6.945366561891755e-42,8.917278746142802e-36,4.322629607502107e-39,1.847878429446862e-14,2.370928151437981e-12,6.500860871464499e-35,7.88035341055937e-25,0.0,1.454908728179053e-50,0.0,4.074239303991419e-45,0.004061543626806374,0.0,0.0,0.0,0.0
A4,7.96918878155782e-46,1.5651794036929877e-19,1.4218588727422072e-17,1.3033987292173042e-18,4.7918805136347884e-48,5.661602155709254e-18,0.03201574451531771,8.602285853982161e-21,7.875738634589685e-26,8.58463207380825e-15,1.0132046348756838e-06,0.030070249646913294,7.88035341055937e-26,0.0,1.2457096547506237e-49,0.0,1.0978357241502042e-05,0.0044204499676903306,4.795497901237636e-27,5.136183327844142e-10,0.0,0.0
G4,2.4571228396390594e-31,0.050004984137042074,5.999860284288564e-08,0.006482692948458067,0.9999999999999998,5.323223817705878e-06,0.40794073794243824,0.2504986962013833,0.09439492544128034,6.549419512242272e-14,0.01375683618554116,0.21049159183657717,8.6683887516153e-25,0.9999999999999996,1.8145302590097663e-50,0.0,0.07405459172363661,0.9013404533944505,1.8703276782540307e-27,0.9999149294082696,0.04381431161156688,0.0
