i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,2.858,-1.449,0.255,0.804,0.875,0.5,0.786,0.0,0.0,-0.077,0.0,-0.196,0.167,0.0,0.01,4,0.4,100,5,1X+2X
1,2.858,-2.08,0.079,0.804,0.875,0.5,0.786,0.0,0.0,-0.077,0.0,-0.196,0.167,0.0,0.01,4,0.4,100,5,1X+2X
2,2.858,-1.584,0.313,0.804,0.875,0.5,0.786,0.0,0.0,-0.077,0.0,-0.196,0.167,0.0,0.01,4,0.4,100,5,1X+2X
3,3.426,-1.79,0.44,0.649,0.75,0.5,1.0,0.357,0.0,-0.053,0.0,-0.232,0.28,0.175,0.01,4,0.4,100,5,1X+2X
4,3.426,-1.876,0.271,0.649,0.75,0.5,1.0,0.357,0.0,-0.053,0.0,-0.232,0.28,0.175,0.01,4,0.4,100,5,1X+2X
5,3.426,-1.347,0.374,0.649,0.75,0.5,1.0,0.357,0.0,-0.053,0.0,-0.232,0.28,0.175,0.01,4,0.4,100,5,1X+2X
6,3.426,-1.454,0.407,0.649,0.75,0.5,1.0,0.357,0.0,-0.053,0.0,-0.232,0.28,0.175,0.01,4,0.4,100,5,1X+2X
7,3.426,-1.75,0.34,0.649,0.75,0.5,1.0,0.357,0.0,-0.053,0.0,-0.232,0.28,0.175,0.01,4,0.4,100,5,1X+2X
8,3.426,-1.869,0.323,0.649,0.75,0.5,1.0,0.357,0.0,-0.053,0.0,-0.232,0.28,0.175,0.01,4,0.4,100,5,1X+2X
9,3.439,-1.711,0.4,0.804,0.5,0.5,0.75,0.286,-0.077,-0.0,0.0,-0.05,0.49,0.236,0.01,4,0.4,100,5,1X+2X
10,3.439,-1.911,0.379,0.804,0.5,0.5,0.75,0.286,-0.077,-0.0,0.0,-0.05,0.49,0.236,0.01,4,0.4,100,5,1X+2X
11,3.439,-1.766,0.487,0.804,0.5,0.5,0.75,0.286,-0.077,-0.0,0.0,-0.05,0.49,0.236,0.01,4,0.4,100,5,1X+2X
12,3.591,-1.548,0.385,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
13,3.591,-1.759,0.343,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
14,3.591,-1.493,0.527,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
15,3.591,-1.287,0.546,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
16,3.591,-1.903,0.312,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
17,3.591,-1.248,0.429,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
18,3.591,-2.095,0.452,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
19,3.591,-1.998,0.413,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
20,3.591,-2.09,0.249,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
21,3.591,-1.711,0.402,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
22,3.591,-2.153,0.355,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
23,3.591,-1.797,0.246,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
24,3.591,-1.713,0.328,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
25,3.591,-1.423,0.398,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
26,3.591,-1.788,0.405,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
27,3.591,-1.394,0.289,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
28,3.591,-1.381,0.366,0.588,0.5,1.0,0.625,0.429,0.0,-0.0,0.0,-0.3,0.47,0.28,0.01,4,0.4,100,5,1X+2X
