,REST,D4,G4,E4,C4,D#4,F#4,F4,A4,B4,C#4,E5,D5,C5,G5,D#5,G#4,C#5,F5,F#5,B5,A5,A#4,C6,G#5,A#5
D4,0.0013094184804321321,0.0014858691754203687,1.2664416669654384e-06,0.0399298527118335,0.04970536520194838,1.531977968501515e-17,0.02450389599196819,0.000604484101258525,0.2726847643260271,0.031206392583711367,0.40000034643382204,4.951797738020328e-05,8.635858814598896e-10,0.006979503078643924,2.9552044189934824e-17,2.652887036657375e-08,1.008207752314921e-22,7.312323982908682e-06,1.612069667306942e-05,1.653559284572572e-09,4.348572786478235e-09,0.4451244237437374,1.497298177269064e-07,0.15955708147176456,1.632108217412891e-11,0.0
E4,3.126651853047911e-06,0.20010883912834956,0.04286201347462967,0.008938727459389194,0.17122185630526307,0.01571834706159018,0.1454179334959772,0.2635273421712881,1.2686771816310886e-08,0.006227783322068925,6.87628319899384e-09,0.11692023913000528,0.09360898768637146,0.0007040103875629983,0.4792777240150775,7.014072266546191e-16,0.004045944963277836,0.015237294408083054,0.31981931386781653,0.08657414258688462,0.0336745754316609,0.00031345665908249403,1.4221324394147838e-26,0.04595341478751008,0.03453269758173666,0.0
REST,0.0475044931441299,0.05355077214135774,3.038398552206039e-17,0.13295106987989103,6.693390774610638e-07,6.052312700932355e-16,0.38365350002965015,5.36809556215894e-51,0.04957986460715609,1.0752863930729858e-10,0.5898132388551794,0.0459027553147228,0.0755128695068714,0.04167337456620453,0.010303468671062776,0.00015672832819200013,2.456429164061831e-07,0.003359231999999999,0.10301223885421729,0.0014527677537431983,0.3228968221359822,0.19584000002565188,0.41119744029705546,2.1888427311142226e-06,0.00015767735631281785,7.297150593263466e-05
G4,0.1233738312875016,3.6351171358598154e-10,0.07479828498078137,0.008834934881678344,0.022690909776336872,1.0611581334312074e-08,3.970106039033514e-15,1.3967100477738407e-13,0.0039123775731344235,0.3327293800959644,0.004370621654495771,0.003617081256202247,0.03546226924615676,0.02244652646487575,9.74977129243228e-07,1.7471876207935243e-13,1.706285741953341e-27,0.04523433984,4.5841892810650994e-09,1.8804958758512203e-20,0.04808707129393722,2.0469807446126053e-07,1.7549560512302274e-06,0.1333810681394265,9.050681107535032e-14,0.0
C4,0.04000000044561332,1.1203257460242634e-18,0.07443153028913241,0.1813017373460724,0.10784796708473167,4.277927818425865e-33,1.015599566684159e-05,0.45088093576772104,0.007388919414279326,0.10002630321499445,1.1273658057460154e-13,0.12830171939474921,3.1822561758315766e-14,4.8312770119667335e-06,0.0001797387340501622,4.0558063847253807e-63,2.1676453657995236e-15,9.624596067967477e-11,6.95456173740274e-10,0.002721134055127738,7.147596439286096e-19,0.12000105297363074,0.002420226500446107,1.1377059515410218e-26,0.0,0.0
B4,0.3371916785940714,0.005693921546791702,0.09513735903153757,0.09106146175093063,0.01312852411307344,0.00027028573144197686,0.045522559262486786,1.7749285948239425e-09,0.10419143678204057,0.07251863300382402,6.093602575284038e-06,0.03336658131075092,0.02527421913113304,0.012178678463743035,0.1731296569141051,0.06250499033892068,1.7865129058741786e-14,0.9323684379560776,9.747527324547313e-08,1.0838167966569114e-39,0.018908193765897793,0.002753735360079789,0.07316046623574504,0.14888533432110052,3.913149447000154e-05,0.0
C5,5.504430968820771e-26,0.04850389541154815,0.126383808588933,9.823261712976476e-10,6.6702875127641795e-06,0.08640000343814161,4.812298033983738e-11,0.0018110737165304084,1.2570450083802606e-13,0.0004777250342799541,0.0,0.00010182091984310351,0.00864,0.3202554079867334,0.25877297773939845,6.3887936862652035e-56,2.298966049710361e-37,0.0009139004364768197,2.343294492273165e-05,2.9476540730793308e-08,3.193008446285006e-37,1.287686329791634e-58,1.360832794726688e-07,9.196425216789131e-38,2.5876751702561778e-15,0.0
F4,5.159456297505701e-29,0.02254914995885974,0.0001493396488744041,0.1896584508335395,2.7240042124494213e-24,2.7128322750993268e-33,4.387390128075567e-06,5.280652115998467e-35,1.3367494538843719e-10,0.06057142857143248,1.5889943173672839e-25,1.5224092032460087e-10,1.0528949434035973e-05,1.7823326051791627e-10,1.5924242662488705e-28,5.7302359991614025e-09,0.6373949440092901,3.8037225655653226e-54,0.291721586170078,5.346997815537487e-10,6.669644169308262e-21,3.208315986459742e-10,4.672164763331463e-35,2.715204333258203e-14,0.0,0.0
A4,8.774782589025567e-07,0.006436743894582591,0.0006528734577000556,0.0003023348608274502,0.22630841274306074,1.3564161375496634e-33,0.00010448555212940894,2.765698419572922e-07,0.26890255034647165,0.10321340074455401,1.017543009334947e-21,0.000399902624968877,0.002161082471762329,8.707129343999997e-05,0.0038910467987020064,3.4117243726223894e-07,0.3372839762788511,0.0004491864393632839,0.10466560000593995,1.2153412071966244e-47,6.567787877734167e-17,4.714133442764283e-24,0.0014511882251639248,8.12479653699328e-06,0.0,0.0
F#4,0.1499304858902071,0.179352983302648,0.00010009118719410123,2.384691863922525e-15,0.09555586665982907,4.799626332868036e-33,0.04551480607137695,1.2274079069827049e-65,0.1728398233161749,0.0491371041356879,0.0009791699103628114,7.108209161514011e-09,0.04012785786067412,0.00100966581006137,4.812298033983738e-11,4.777273073318907e-28,4.352310549778028e-08,0.0001880739938303999,1.2344898826740016e-06,0.18369900646604387,0.0003627970559999999,1.4738266342871716e-07,0.5096048640399151,3.6271021751436585e-11,1.5265275157933882e-10,0.0
D5,2.3099030563121945e-11,0.05861495768734769,0.46807041806510064,0.06354528948955182,3.5145386654413945e-07,2.071471501919095e-14,0.1705732862824517,8.639754498262025e-16,1.0914979510916231e-23,0.00865624629365884,0.0,0.27490220121462494,0.09917842982702309,0.02160000001726165,1.6898329415372817e-07,6.736920005238481e-10,2.3713182349357712e-45,5.134467587654414e-09,0.0003815043178462871,7.372334565928554e-27,0.12320000000418024,1.18259570458317e-36,2.8651179995807012e-09,1.3437930496487883e-16,2.4639582959318337e-06,0.0
G5,8.83208261614275e-07,1.7878343374342916e-09,0.008294400859536817,0.0031132504169587532,2.3758649256261502e-08,4.48294856241199e-11,0.0062208149738887655,0.11378504723231644,1.624959306694758e-06,0.09105912104302571,1.005063386945967e-08,0.003050209474297299,0.36455097796260316,6.140942214652873e-08,1.0529736307387383e-06,0.00018807688910309328,0.0,5.126434113033066e-29,3.4820556577096222e-06,0.004479754715077311,6.567120921327666e-17,0.005598719999999998,0.0,4.041756298133849e-06,2.364933096849133e-17,2.3028533304243032e-08
F5,0.13751990380519657,0.0009199353364022347,0.0012441600022679046,0.019396910919539108,0.0009853350649424927,0.0001466977151877119,1.6607508837596317e-66,2.865118053291255e-09,3.518904814733294e-15,3.6759067250633385e-20,1.3883955998007206e-33,0.005093597914697627,0.006215335302259252,0.320429550574563,0.0009065838477740894,1.9634265819278844e-09,0.018718822198149118,8.02398382909523e-30,2.142336276273601e-07,9.476762676643231e-07,8.707940745417478e-05,0.2,1.921901799256073e-06,2.309903056339619e-11,7.160422496690566e-19,0.015228518399999997
C6,0.017279999999999997,2.0164155046299652e-23,3.2081986893224926e-11,4.728327063276278e-18,0.24819432397606353,0.0,0.0018662399999999997,5.748517213322407e-05,1.204661531874506e-108,0.04001394652098922,0.0,1.282862610548412e-06,6.251166544539813e-10,0.0003054355600065666,0.06964761090439514,0.0,0.0,0.0,0.018026056696842638,0.0001741425868858648,1.191266125192074e-18,7.262245211475793e-46,0.0,9.283015528587407e-06,0.0,0.0
C#4,2.2196494043797496e-69,1.6492729647311074e-10,1.7181840655689367e-59,2.0798166085014825e-31,0.0003023308799999999,9.701015480423185e-07,6.220974795666492e-89,6.73778914157632e-112,2.3241721497172514e-76,6.636640352459813e-12,0.00373487849915708,1.5170290135695182e-66,8.850647840966139e-48,9.485004973600551e-46,1.219500640448852e-46,0.0,3.5477871137479314e-36,0.0,2.142336276273601e-07,0.0,0.0,0.0,0.0,0.0,0.025112125439999997,0.0
E5,0.08441681296965223,0.07024867868821674,5.990461623613503e-14,0.10800573225761675,0.06324363056541622,0.893731205295657,0.09149261141726711,0.16933334426179422,0.007742941651390547,0.0007402220719028279,4.2970866219222664e-16,0.298339348589804,0.215053642776705,0.25232542804739116,0.0038889889393736465,0.3649800260699677,0.0021206127825362294,0.0017930236723200004,0.15326148614339857,0.4631120708363724,0.00012931029892581644,1.2187195964134953e-05,2.995978500377833e-44,0.03159466134485768,5.130434739961933e-21,0.00347207639629824
A5,1.8156106337156376e-05,3.283560460608577e-17,0.02318400000000178,0.044662122678044446,0.00036280622418691623,0.0,2.1946488262573825e-25,9.583189921027009e-57,8.18792295262996e-08,2.4839408137908825e-16,0.0,4.876997391683073e-26,0.02400000239009303,5.98590020339618e-14,7.623216938371109e-22,3.002609212841524e-40,0.0,3.716422431013047e-48,6.366934688764179e-09,6.082532616980664e-08,0.253095826665935,2.2136239687800136e-66,4.1901301423773296e-13,5.267157186819785e-26,2.9066129656401635e-19,0.0
