i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.558,-2.103,0.444,0.668,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.324,0.362,0.191,0.002,4,0.4,1000,50,UX
1,3.558,-3.261,0.425,0.668,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.324,0.362,0.191,0.002,4,0.4,1000,50,UX
2,3.558,-2.254,0.472,0.668,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.324,0.362,0.191,0.002,4,0.4,1000,50,UX
3,3.558,-2.205,0.411,0.668,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.324,0.362,0.191,0.002,4,0.4,1000,50,UX
4,3.558,-2.743,0.439,0.668,0.875,0.5,1.0,0.286,0.0,-0.0,0.0,-0.324,0.362,0.191,0.002,4,0.4,1000,50,UX
5,3.659,-2.965,0.551,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
6,3.659,-2.788,0.452,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
7,3.659,-2.091,0.454,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
8,3.659,-2.234,0.517,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
9,3.659,-2.268,0.478,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
10,3.659,-2.545,0.417,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
11,3.659,-2.456,0.504,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
12,3.659,-2.517,0.447,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
13,3.659,-2.229,0.518,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
14,3.659,-2.108,0.5,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
15,3.659,-1.935,0.51,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
16,3.659,-2.077,0.561,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
17,3.659,-1.993,0.527,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
18,3.659,-2.17,0.527,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
19,3.659,-1.91,0.538,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
20,3.659,-2.391,0.449,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
21,3.659,-1.979,0.5,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
22,3.659,-2.059,0.51,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
23,3.659,-1.835,0.523,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
24,3.659,-2.111,0.495,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
25,3.659,-2.237,0.5,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
26,3.659,-2.057,0.576,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
27,3.659,-2.034,0.517,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
28,3.659,-2.104,0.567,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
29,3.659,-2.365,0.53,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
30,3.659,-1.834,0.524,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
31,3.659,-2.54,0.573,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
32,3.659,-2.071,0.498,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
33,3.659,-2.262,0.484,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
34,3.659,-2.655,0.461,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
35,3.659,-1.996,0.462,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
36,3.659,-2.331,0.404,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
37,3.659,-2.021,0.495,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
38,3.659,-2.058,0.472,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
39,3.659,-2.208,0.452,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
40,3.659,-2.256,0.5,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
41,3.659,-1.876,0.447,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
42,3.659,-1.961,0.449,0.7,0.5,1.0,0.85,0.286,-0.125,-0.0,0.0,-0.15,0.599,0.0,0.002,4,0.4,1000,50,UX
