i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.701,-2.362,0.385,0.771,0.875,1,0.7,0.143,0,-0.059,0,-0.229,0.5,0,0.001,4,0.4,1000,50,NONE
1,3.886,-2.253,0.367,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
2,3.886,-2.195,0.295,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
3,3.886,-2.25,0.306,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
4,3.886,-2.737,0.227,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
5,3.886,-2.001,0.23,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
6,3.886,-1.914,0.227,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
7,3.886,-2.197,0.192,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
8,3.886,-2.055,0.23,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
9,3.886,-2.672,0.272,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
10,3.886,-2.204,0.242,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
11,3.886,-1.981,0.292,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
12,3.886,-2.347,0.271,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
13,3.886,-2.077,0.279,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
14,3.886,-1.986,0.265,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
15,3.886,-2.303,0.27,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
16,3.886,-3.257,0.289,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
17,3.886,-3.196,0.246,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
18,3.886,-2.126,0.216,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
19,3.886,-2.258,0.275,0.799,0.625,1,1,0.286,0,-0.059,0,-0.083,0.319,0,0.001,4,0.4,1000,50,NONE
20,4.179,-1.942,0.243,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
21,4.179,-2.039,0.266,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
22,4.179,-1.885,0.262,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
23,4.179,-2.075,0.24,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
24,4.179,-2.142,0.201,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
25,4.179,-2.285,0.174,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
26,4.179,-2.319,0.168,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
27,4.179,-2.118,0.21,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
28,4.179,-2.093,0.138,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
29,4.179,-2.247,0.134,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
30,4.179,-2.341,0.222,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
31,4.179,-2.237,0.218,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
32,4.179,-1.855,0.168,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
33,4.179,-2.046,0.201,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
34,4.179,-2.543,0.194,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
35,4.179,-2.545,0.164,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
36,4.179,-2.178,0.153,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
37,4.179,-2.135,0.19,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
38,4.179,-2.087,0.179,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
39,4.179,-2.354,0.157,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
40,4.179,-2.128,0.261,0.75,0.5,1,0.625,0.429,0,0,0,-0.125,1,0,0.001,4,0.4,1000,50,NONE
