i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
414,4.993,-1.303,1.934,0.768,1.0,0.5,0.75,0.286,0.0,-0.0,0.0,0.0,0.735,0.954,0.002,4,0.4,1000,50,NONE
415,5.199,-1.175,1.972,0.774,0.875,1.0,0.75,0.357,-0.043,-0.0,0.0,0.0,0.687,0.799,0.001,4,0.4,1000,50,NONE
416,5.099,-0.664,2.011,1.0,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,0.0,0.421,0.393,0.001,4,0.4,1000,50,NONE
417,4.874,-0.737,1.958,0.775,0.75,1.0,0.55,0.429,0.0,-0.0,0.0,-0.042,0.629,0.783,0.001,4,0.4,1000,50,NONE
418,4.779,-0.913,1.959,0.789,0.625,0.5,1.0,0.357,0.0,-0.0,0.0,0.0,0.651,0.857,0.001,4,0.4,1000,50,NONE
419,4.49,-0.775,2.004,0.75,0.375,1.0,0.75,0.429,0.0,-0.043,0.0,0.0,0.28,0.95,0.001,4,0.4,1000,50,NONE
420,4.858,-0.544,2.005,0.9,0.875,1.0,0.812,0.357,0.0,-0.0,0.0,0.0,0.31,0.604,0.001,4,0.4,1000,50,NONE
421,5.266,-0.804,2.018,0.804,1.0,1.0,0.7,0.571,0.0,-0.0,0.0,0.0,0.765,0.426,0.001,4,0.4,1000,50,NONE
422,4.581,-1.164,1.991,0.75,0.625,0.5,1.0,0.143,-0.033,-0.0,0.0,0.0,0.819,0.777,0.001,4,0.4,1000,50,NONE
423,5.019,-0.694,1.993,0.775,1.0,0.5,1.0,0.0,-0.04,-0.0,0.0,0.0,0.921,0.863,0.001,4,0.4,1000,50,NONE
424,5.214,-1.09,2.085,1.0,0.875,1.0,1.0,0.286,0.0,-0.0,0.0,0.0,0.661,0.393,0.001,4,0.4,1000,50,NONE
425,4.758,-0.824,2.078,0.917,0.5,1.0,1.0,0.286,0.0,-0.0,0.0,0.0,0.397,0.658,0.002,4,0.4,1000,50,NONE
426,4.723,-0.93,2.001,0.875,0.75,1.0,0.812,0.286,0.0,-0.0,0.0,0.0,1.0,0.0,0.001,4,0.4,1000,50,NONE
427,4.727,-0.655,1.991,0.964,0.875,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,0.436,0.237,0.001,4,0.4,1000,50,NONE
428,4.579,-1.651,2.017,0.793,1.0,0.5,0.786,0.357,-0.043,-0.0,0.0,0.0,0.579,0.607,0.001,4,0.4,1000,50,NONE
429,4.929,-0.709,2.002,0.764,0.75,1.0,1.0,0.286,-0.056,-0.0,0.0,0.0,0.386,0.798,0.001,4,0.4,1000,50,NONE
430,5.203,-0.954,2.033,1.0,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,0.0,0.524,0.393,0.001,4,0.4,1000,50,NONE
431,4.843,-0.965,2.048,0.768,0.875,1.0,0.75,0.286,-0.053,-0.0,0.0,0.0,0.532,0.685,0.001,4,0.4,1000,50,NONE
432,4.6,-0.838,2.053,0.817,0.75,0.5,0.75,0.286,0.0,-0.0,0.0,0.0,0.546,0.952,0.001,4,0.4,1000,50,NONE
433,5.175,-0.708,2.025,0.9,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.042,0.516,0.658,0.001,4,0.4,1000,50,NONE
434,4.568,-0.488,2.056,0.969,0.875,1.0,1.0,0.357,-0.067,-0.0,0.0,0.0,0.291,0.143,0.001,4,0.4,1000,50,NONE
435,5.058,-0.673,2.009,0.9,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.025,0.35,0.404,0.001,4,0.4,1000,50,NONE
436,4.825,-0.38,2.048,0.833,0.375,1.0,1.0,0.286,0.0,-0.0,0.0,0.0,0.475,0.856,0.001,4,0.4,1000,50,NONE
437,4.432,-0.579,2.002,0.829,0.625,1.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.4,0.578,0.001,4,0.4,1000,50,NONE
438,4.898,-0.868,2.066,0.8,0.875,1.0,0.667,0.286,0.0,-0.0,0.0,-0.05,0.476,0.844,0.001,4,0.4,1000,50,NONE
439,4.83,-1.403,2.046,0.864,0.75,1.0,1.0,0.571,0.0,-0.0,0.0,-0.05,0.43,0.265,0.001,4,0.4,1000,50,NONE
440,4.768,-1.114,2.074,0.893,0.75,1.0,1.0,0.286,0.0,-0.0,0.0,-0.05,0.286,0.604,0.001,4,0.4,1000,50,NONE
