i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.157,-1.125,0.72,0.774,0.125,0.5,1.0,0.214,0.0,-0.0,0.0,-0.399,0.651,0.292,0.003,4,0.5,300,5,1X+2X
1,3.234,-0.827,1.144,0.808,1.0,0.5,0.727,0.071,-0.167,-0.0,0.0,-0.208,0.384,0.118,0.003,4,0.5,300,5,1X+2X
2,3.671,-0.224,1.586,0.804,0.75,0.5,1.0,0.286,0.0,-0.0,0.0,-0.167,0.499,0.0,0.003,4,0.5,300,5,1X+2X
3,3.671,0.236,1.971,0.804,0.75,0.5,1.0,0.286,0.0,-0.0,0.0,-0.167,0.499,0.0,0.003,4,0.5,300,5,1X+2X
4,3.671,0.552,2.3,0.804,0.75,0.5,1.0,0.286,0.0,-0.0,0.0,-0.167,0.499,0.0,0.003,4,0.5,300,5,1X+2X
5,3.671,0.844,2.544,0.804,0.75,0.5,1.0,0.286,0.0,-0.0,0.0,-0.167,0.499,0.0,0.003,4,0.5,300,5,1X+2X
6,4.176,1.551,2.757,0.783,0.5,1.0,1.0,0.286,-0.087,-0.0,0.0,-0.292,0.852,0.135,0.003,4,0.5,300,5,1X+2X
7,4.176,1.836,2.96,0.783,0.5,1.0,1.0,0.286,-0.087,-0.0,0.0,-0.292,0.852,0.135,0.003,4,0.5,300,5,1X+2X
8,4.176,1.866,3.13,0.783,0.5,1.0,1.0,0.286,-0.087,-0.0,0.0,-0.292,0.852,0.135,0.003,4,0.5,300,5,1X+2X
9,4.176,2.425,3.281,0.783,0.5,1.0,1.0,0.286,-0.087,-0.0,0.0,-0.292,0.852,0.135,0.007,4,0.5,300,5,1X+2X
10,4.47,2.696,3.442,0.857,1.0,0.5,1.0,0.357,0.0,-0.0,0.0,-0.363,0.844,0.274,0.003,4,0.5,300,5,1X+2X
11,4.47,2.718,3.567,0.857,1.0,0.5,1.0,0.357,0.0,-0.0,0.0,-0.363,0.844,0.274,0.003,4,0.5,300,5,1X+2X
12,4.481,2.945,3.678,1.0,1.0,0.5,0.846,0.286,0.0,-0.0,0.0,0.0,0.849,0.0,0.003,4,0.5,300,5,1X+2X
13,4.531,2.945,3.768,0.777,0.5,1.0,1.0,0.429,-0.045,-0.0,0.0,-0.119,0.675,0.316,0.003,4,0.5,300,5,1X+2X
14,4.768,2.945,3.87,0.795,0.75,1.0,1.0,0.429,-0.042,-0.0,0.0,-0.321,0.891,0.267,0.003,4,0.5,300,5,1X+2X
15,4.768,3.086,3.951,0.795,0.75,1.0,1.0,0.429,-0.042,-0.0,0.0,-0.321,0.891,0.267,0.003,4,0.5,300,5,1X+2X
16,4.955,3.202,4.043,0.817,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.577,0.133,0.003,4,0.5,300,5,1X+2X
17,4.996,3.503,4.123,0.807,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.25,0.954,0.128,0.003,4,0.5,300,5,1X+2X
18,4.996,3.58,4.183,0.807,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.25,0.954,0.128,0.003,4,0.5,300,5,1X+2X
19,4.996,3.58,4.249,0.807,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.25,0.954,0.128,0.003,4,0.5,300,5,1X+2X
20,4.996,3.82,4.316,0.807,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.25,0.954,0.128,0.003,4,0.5,300,5,1X+2X
21,5.064,3.863,4.384,0.807,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.321,0.954,0.267,0.003,4,0.5,300,5,1X+2X
22,5.064,3.863,4.45,0.807,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.321,0.954,0.267,0.007,4,0.5,300,5,1X+2X
23,5.064,4.066,4.507,0.807,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.321,0.954,0.267,0.007,4,0.5,300,5,1X+2X
24,5.064,4.075,4.568,0.807,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.321,0.954,0.267,0.007,4,0.5,300,5,1X+2X
25,5.064,4.159,4.612,0.807,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.321,0.954,0.267,0.007,4,0.5,300,5,1X+2X
