i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.179,-1.456,0.835,0.829,0.625,0.5,0.727,0.143,0.0,-0.0,0.0,-0.346,0.543,0.158,0.002,4,0.5,500,5,UX
1,3.396,-0.595,1.318,0.624,0.5,0.5,1.0,0.357,-0.045,-0.0,0.0,-0.169,0.529,0.1,0.002,4,0.5,500,5,UX
2,3.417,-0.502,1.779,0.825,0.75,0.5,0.812,0.143,-0.048,-0.0,0.0,-0.183,0.618,0.0,0.002,4,0.5,500,5,UX
3,3.417,0.483,2.151,0.825,0.75,0.5,0.812,0.143,-0.048,-0.0,0.0,-0.183,0.618,0.0,0.002,4,0.5,500,5,UX
4,3.795,0.845,2.445,0.762,1.0,0.5,0.55,0.429,0.0,-0.0,0.0,-0.229,0.63,0.154,0.002,4,0.5,500,5,UX
5,3.92,1.2,2.694,0.783,1.0,1.0,0.667,0.214,0.0,-0.0,0.0,-0.258,0.514,0.0,0.002,4,0.5,500,5,UX
6,4.43,1.76,2.881,0.867,0.875,1.0,1.0,0.429,0.0,-0.0,0.0,-0.188,0.447,0.0,0.002,4,0.5,500,5,UX
7,4.43,1.895,3.044,0.867,0.875,1.0,1.0,0.429,0.0,-0.0,0.0,-0.188,0.447,0.0,0.002,4,0.5,500,5,UX
8,4.43,2.313,3.219,0.867,0.875,1.0,1.0,0.429,0.0,-0.0,0.0,-0.188,0.447,0.0,0.002,4,0.5,500,5,UX
9,4.517,2.411,3.363,0.718,1.0,0.5,1.0,0.5,-0.087,-0.0,0.0,-0.127,0.823,0.19,0.002,4,0.5,500,5,UX
10,4.517,2.411,3.502,0.718,1.0,0.5,1.0,0.5,-0.087,-0.0,0.0,-0.127,0.823,0.19,0.004,4,0.5,500,5,UX
11,4.772,2.789,3.63,0.843,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.143,0.643,0.0,0.002,4,0.5,500,5,UX
12,4.772,2.789,3.748,0.843,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,-0.143,0.643,0.0,0.002,4,0.5,500,5,UX
13,4.809,3.008,3.866,0.801,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.256,0.725,0.253,0.002,4,0.5,500,5,UX
14,5.111,3.216,3.975,0.807,1.0,1.0,1.0,0.714,0.0,-0.0,0.0,-0.125,0.714,0.0,0.002,4,0.5,500,5,UX
15,5.193,3.412,4.08,0.717,1.0,1.0,0.7,0.571,0.0,-0.0,0.0,-0.05,0.902,0.353,0.002,4,0.5,500,5,UX
16,5.193,3.439,4.186,0.717,1.0,1.0,0.7,0.571,0.0,-0.0,0.0,-0.05,0.902,0.353,0.002,4,0.5,500,5,UX
17,5.193,3.629,4.302,0.717,1.0,1.0,0.7,0.571,0.0,-0.0,0.0,-0.05,0.902,0.353,0.004,4,0.5,500,5,UX
18,5.216,3.688,4.387,0.857,1.0,1.0,1.0,0.714,0.0,-0.0,0.0,-0.175,0.714,0.105,0.002,4,0.5,500,5,UX
