,REST,D4,G4,E4,C4,D#4,F#4,F4,A4,B4,C#4,E5,D5,C5,G5,D#5,G#4,C#5,F5,F#5,B5,A5,A#4,C6,G#5,A#5
D4,0.07425650557620818,0.2524147126735829,0.027432348139988585,0.2396491488887237,0.21713480672712865,0.03096774193548387,0.06283558264402844,0.07929095354523227,0.015311448787843638,0.010009502692429522,0.45883400089007564,0.0010604453870625664,0.0075670562799810825,0.005314210711656049,0.0006124948958758677,0.0,0.001946787800129786,0.0018832391713747645,0.0011185682326621924,0.001984126984126984,0.0,0.002772002772002772,0.0,0.0,0.0,0.0
E4,0.11524163568773234,0.24514618361572735,0.13619291563258967,0.28035877994994923,0.11567021807402189,0.7664516129032258,0.1764620519518212,0.31168704156479216,0.0437884236167498,0.014127336078555592,0.14597240765465064,0.006036381434048454,0.00432403215998919,0.019304030476678297,0.0018374846876276032,0.0,0.06229720960415315,0.007532956685499058,0.0006711409395973154,0.003968253968253968,0.0024691358024691358,0.000693000693000693,0.0,0.006514657980456026,0.0,0.0
REST,0.3616542750929368,0.07431135971901526,0.07100293301835459,0.06027156272454719,0.14839599659534503,0.024516129032258065,0.03584385430271368,0.052420537897310514,0.04085952905695395,0.03661704149509028,0.08455718736092568,0.048454196916551104,0.054050401999864876,0.08323462560425136,0.06676194365046959,0.03858520900321544,0.03763789746917586,0.054613935969868174,0.04697986577181208,0.01984126984126984,0.04197530864197531,0.05474705474705475,0.0429042904290429,0.11074918566775244,0.06153846153846154,0.0
G4,0.10237918215613383,0.04120459201925266,0.35736373409069794,0.11782997596570777,0.03859587332335417,0.012903225806451613,0.35263387026556375,0.19625916870415647,0.3598480454703631,0.11700981944884384,0.007120605251446373,0.02863202545068929,0.03574082832241065,0.07209399110029772,0.028583095140873826,0.006430868167202572,0.07397793640493186,0.022598870056497175,0.012751677852348993,0.0,0.0024691358024691358,0.00693000693000693,0.036303630363036306,0.0016286644951140066,0.0,0.0
C4,0.15630111524163567,0.2929851377280562,0.03388233420483351,0.10333506776679303,0.4113175427783159,0.01763440860215054,0.0060949063996517195,0.03273838630806846,0.01710938406217376,0.004687994931897371,0.06809078771695594,0.003997063382005057,0.003580839132491048,0.013093446873899543,0.0038791343405471623,0.003215434083601286,0.003244646333549643,0.005649717514124294,0.0020134228187919465,0.001984126984126984,0.0,0.0,0.0,0.008143322475570033,0.0,0.0
B4,0.013717472118959108,0.003886305245699047,0.019442859228390556,0.003592755023662628,0.0019811569956854802,0.006021505376344086,0.012625163256421419,0.0053789731051344745,0.10149634613153927,0.1873297434273044,0.0004450378282153983,0.014112080920140305,0.056212418079859466,0.15004641931043314,0.008370763576970192,0.01929260450160772,0.04737183646982479,0.10922787193973635,0.012304250559284116,0.01984126984126984,0.0049382716049382715,0.002772002772002772,0.6237623762376238,0.003257328990228013,0.1076923076923077,0.0
C5,0.0387546468401487,0.0031220527496829166,0.041234787455706114,0.006491736663445576,0.009773707845381703,0.002150537634408602,0.004063270933101147,0.01095354523227384,0.08464795267370374,0.23870763382958504,0.0,0.12064605595888735,0.36125937436659683,0.3240708134583987,0.052470396080032664,0.003215434083601286,0.007138221933809215,0.05649717514124294,0.04093959731543624,0.007936507936507936,0.0024691358024691358,0.022176022176022176,0.026402640264026403,0.030944625407166124,0.0,0.0
F4,0.04245353159851301,0.04613158151484601,0.1275531194840011,0.13200277509353553,0.03228552141117079,0.011182795698924731,0.07081700769119141,0.2502200488997555,0.05211112399953602,0.008742477035159962,0.011570983533600357,0.0015498817195529816,0.007296804269981758,0.012997406921279252,0.0014291547570436914,0.003215434083601286,0.01946787800129786,0.0,0.006040268456375839,0.0,0.0049382716049382715,0.000693000693000693,0.006600660066006601,0.0016286644951140066,0.0,0.0
A4,0.036988847583643125,0.011415005366028163,0.12643830707773163,0.018855769469015585,0.015511725514367056,0.005591397849462366,0.05978812944420258,0.03941320293398533,0.22981672659784247,0.2903389293633196,0.017356475300400534,0.013377926421404682,0.025673940949935817,0.11508787655664757,0.0032666394446712946,0.01607717041800643,0.5100584036340039,0.064030131826742,0.0174496644295302,0.007936507936507936,0.0024691358024691358,0.004851004851004851,0.10231023102310231,0.0016286644951140066,0.0,0.0
F#4,0.00620817843866171,0.0062766268821750305,0.03093604427397842,0.01624173046904036,0.0012033694344163659,0.01978494623655914,0.18081555652300102,0.01061124694376528,0.011889571975408885,0.005321507760532151,0.017356475300400534,0.001223590831226038,0.0013512600499966218,0.0011204661139033838,0.0,0.0,0.06619078520441272,0.0018832391713747645,0.0013422818791946308,0.003968253968253968,0.0,0.0,0.0231023102310231,0.0,0.0,0.0
D5,0.011784386617100372,0.0026992747731633547,0.0081620194030445,0.0009291607819817141,0.0008218132722843474,0.0,0.006385140037730373,0.003911980440097799,0.012846537524649112,0.055178967374089324,0.0,0.30924218941186066,0.22383622728194041,0.1224509395908698,0.027562270314414047,0.03215434083601286,0.0025957170668397143,0.4218455743879473,0.08008948545861297,0.057539682539682536,0.012345679012345678,0.019404019404019403,0.006600660066006601,0.021172638436482084,0.0,0.0
G5,0.006003717472118959,0.00017886760545058375,0.002070365897357629,0.00011149929383780569,0.0003668809251269408,0.0,0.00014511681903932666,9.779951100244499e-05,0.0006089780767892356,0.0027241051631295534,0.0,0.049269924137368463,0.016958313627457606,0.008227422607804846,0.34463046141282155,0.006430868167202572,0.0,0.0018832391713747645,0.12259507829977628,0.28174603174603174,0.12839506172839507,0.4656964656964657,0.0,0.13192182410423453,0.09230769230769231,0.0625
F5,0.005111524163568773,3.252138280919705e-05,0.002176538507478533,3.716643127926857e-05,5.8700948020310526e-05,0.00043010752688172043,0.00014511681903932666,0.0012224938875305623,0.00252290917526969,0.0019005384859043396,0.0004450378282153983,0.0857329309079044,0.026619822984933452,0.012581233793257995,0.1694569211923234,0.00964630225080386,0.0,0.003766478342749529,0.2407158836689038,0.051587301587301584,0.012345679012345678,0.04158004158004158,0.0,0.017915309446254073,0.015384615384615385,0.0
C6,0.0008921933085501858,0.0,6.635788132556503e-05,1.2388810426422855e-05,0.00010272665903554343,0.0,0.0,0.0,2.8998956037582646e-05,0.00019005384859043396,0.0,0.003018190717024227,0.00047294101749881766,0.002208918910266671,0.019191506737443853,0.0,0.0,0.0,0.0026845637583892616,0.003968253968253968,0.2740740740740741,0.0297990297990298,0.0,0.28338762214983715,0.0,0.0
C#4,0.004684014869888476,0.013236202803343198,0.0005043198980742943,0.0033573676255605938,0.004182442546447125,0.02666666666666667,0.005079088666376433,0.0020537897310513448,0.0008409697250898968,0.0008235666772252138,0.15309301290609703,8.157272208173587e-05,6.756300249983109e-05,0.0001600665877004834,0.0,0.0,0.008436080467229072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E5,0.016096654275092936,0.00045529935932875863,0.007989488911598031,0.0014247131990386282,0.0011299932493909776,0.0,0.0015962850094325932,0.001198044009779951,0.007162742141282914,0.008869179600886918,0.0004450378282153983,0.28305734562362345,0.15289507465711777,0.04750776322950347,0.14414046549612086,0.7331189710610932,0.011031797534068787,0.06591337099811675,0.3787472035794183,0.24801587301587302,0.0049382716049382715,0.05197505197505198,0.0033003300330033004,0.03257328990228013,0.06153846153846154,0.0
A5,0.0018029739776951673,1.6260691404598525e-05,0.00011944418638601707,1.2388810426422855e-05,4.4025711015232896e-05,0.0,0.0,2.4449877750611248e-05,0.0006089780767892356,0.0006335128286347799,0.0,0.007178399543192757,0.0033781501249915548,0.0030732784838492814,0.08370763576970192,0.0,0.0,0.0,0.02192393736017897,0.05357142857142857,0.3234567901234568,0.21413721413721415,0.0,0.10586319218241043,0.4,0.0
D#4,0.002695167286245353,0.00616280204234284,0.0016324038806089,0.014271909611239128,0.0010566170643655896,0.07182795698924731,0.005514439123494413,0.0017359413202933985,0.0015659436260294628,0.0010769718086791258,0.03382287494437027,0.0,6.756300249983109e-05,0.0006402663508019336,0.0,0.0,0.0025957170668397143,0.0018832391713747645,0.0,0.0,0.0,0.000693000693000693,0.009900990099009901,0.0016286644951140066,0.0,0.0
D#5,0.00014869888475836432,0.0,1.3271576265113008e-05,9.911048341138284e-05,1.4675237005077631e-05,0.00043010752688172043,0.0002902336380786533,0.0,0.0,0.00019005384859043396,0.0,0.012480626478505587,0.004121343152489697,0.0004801997631014502,0.0030624744793793387,0.07717041800643087,0.0006489292667099286,0.02448210922787194,0.00022371364653243848,0.003968253968253968,0.0,0.0,0.0033003300330033004,0.0,0.015384615384615385,0.0
G#4,0.001412639405204461,0.0002113889882597808,0.005308630506045203,0.0008052726777174855,0.0002935047401015526,0.0025806451612903226,0.017268901465679873,0.00058679706601467,0.012933534392761861,0.005638264174849541,0.0008900756564307966,0.00040786361040867934,0.00033781501249915546,0.0014405992893043505,0.0,0.003215434083601286,0.136275146009085,0.007532956685499058,0.00044742729306487697,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,0.0
C#5,0.0003903345724907063,6.50427656183941e-05,0.00011944418638601707,0.00018583215639634282,2.9350474010155263e-05,0.0,0.0010158177332752866,9.779951100244499e-05,0.0006379770328268183,0.003484320557491289,0.0,0.001305163553307774,0.010945206404972638,0.0037775714697314083,0.0002041649652919559,0.02572347266881029,0.0012978585334198572,0.1337099811676083,0.0015659955257270694,0.005952380952380952,0.0,0.0,0.009900990099009901,0.0,0.0,0.0625
A#4,0.000483271375464684,3.252138280919705e-05,0.00021234522024180812,3.716643127926857e-05,1.4675237005077631e-05,0.0008602150537634409,0.00014511681903932666,7.334963325183375e-05,0.0031898851641340912,0.005321507760532151,0.0,0.0,0.00033781501249915546,0.0003201331754009668,0.0,0.003215434083601286,0.007787151200519144,0.007532956685499058,0.0,0.0,0.0,0.0,0.07590759075907591,0.0,0.0,0.0
B5,0.0001858736059479554,1.6260691404598525e-05,5.308630506045203e-05,2.477762085284571e-05,1.4675237005077631e-05,0.0,0.0,2.4449877750611248e-05,0.0,0.00012670256572695597,0.0,0.0005710090545721511,0.0006756300249983109,0.00012805327016038673,0.007554103715802368,0.0,0.0,0.0,0.0024608501118568234,0.003968253968253968,0.1728395061728395,0.058905058905058906,0.0,0.23615635179153094,0.03076923076923077,0.6875
F#5,0.00026022304832713756,0.0,9.290103385579105e-05,6.194405213211427e-05,0.0,0.0,0.00043535045711797995,0.0,0.00017399373622549588,0.0008235666772252138,0.0,0.008075699486091851,0.002229579082494426,0.0006402663508019336,0.028991425071457737,0.01929260450160772,0.0,0.005649717514124294,0.006935123042505592,0.19642857142857142,0.0049382716049382715,0.005544005544005544,0.0,0.004885993485342019,0.15384615384615385,0.0
G#5,9.29368029739777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012670256572695597,0.0,0.00040786361040867934,0.0,0.0,0.0036749693752552064,0.0,0.0,0.0018832391713747645,0.0,0.025793650793650792,0.0,0.011088011088011088,0.0,0.0,0.06153846153846154,0.0625
A#5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.157272208173587e-05,0.0,0.0,0.0006124948958758677,0.0,0.0,0.0,0.0,0.0,0.0049382716049382715,0.005544005544005544,0.0,0.0,0.0,0.125
