i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.079,0.198,0.932,0.678,0.596,0.312,1.0,0.55,0.133,-0.02,-0.0,0.0,-0.279,0.64,0.147,0.001,8,0.5,1000,50,NONE
1,3.079,0.461,1.235,1.067,0.596,0.312,1.0,0.55,0.133,-0.02,-0.0,0.0,-0.279,0.64,0.147,0.001,8,0.5,1000,50,NONE
2,3.079,0.653,1.414,1.353,0.596,0.312,1.0,0.55,0.133,-0.02,-0.0,0.0,-0.279,0.64,0.147,0.001,8,0.5,1000,50,NONE
3,3.458,0.788,1.536,1.487,0.73,0.438,1.0,0.7,0.133,0.0,-0.0,0.0,-0.149,0.476,0.129,0.001,8,0.5,1000,50,NONE
4,3.235,0.918,1.653,1.604,0.747,0.375,1.0,0.591,0.133,-0.02,-0.02,0.0,-0.17,0.486,0.112,0.001,8,0.5,1000,50,NONE
5,3.235,1.012,1.715,1.658,0.747,0.375,1.0,0.591,0.133,-0.02,-0.02,0.0,-0.17,0.486,0.112,0.001,8,0.5,1000,50,NONE
6,3.171,1.111,1.772,1.717,0.603,0.5,0.5,0.727,0.2,0.0,-0.021,0.0,-0.212,0.678,0.196,0.001,8,0.5,1000,50,NONE
7,3.301,1.226,1.808,1.732,0.747,0.562,1.0,0.591,0.033,-0.04,-0.02,0.0,-0.17,0.499,0.098,0.001,8,0.5,1000,50,NONE
8,3.301,1.27,1.841,1.776,0.747,0.562,1.0,0.591,0.033,-0.04,-0.02,0.0,-0.17,0.499,0.098,0.001,8,0.5,1000,50,NONE
9,3.258,1.297,1.871,1.813,0.717,0.5,0.5,1.0,0.067,0.0,-0.019,0.0,-0.268,0.631,0.13,0.001,8,0.5,1000,50,NONE
10,3.383,1.315,1.876,1.823,0.723,0.688,1.0,0.538,0.2,-0.038,-0.019,0.0,-0.287,0.429,0.15,0.001,8,0.5,1000,50,NONE
11,3.383,1.32,1.888,1.843,0.723,0.688,1.0,0.538,0.2,-0.038,-0.019,0.0,-0.287,0.429,0.15,0.001,8,0.5,1000,50,NONE
12,3.339,1.351,1.887,1.841,0.705,0.688,1.0,0.538,0.2,-0.038,-0.019,0.0,-0.304,0.429,0.142,0.001,8,0.5,1000,50,NONE
13,3.3,1.367,1.888,1.83,0.637,0.188,1.0,0.7,0.2,-0.02,-0.0,0.0,-0.252,0.619,0.229,0.001,8,0.5,1000,50,NONE
14,3.308,1.379,1.902,1.862,0.704,0.5,1.0,0.679,0.067,0.0,-0.02,0.0,-0.283,0.509,0.153,0.001,8,0.5,1000,50,NONE
15,3.3,1.342,1.894,1.845,0.637,0.188,1.0,0.7,0.2,-0.02,-0.0,0.0,-0.252,0.619,0.229,0.001,8,0.5,1000,50,NONE
16,3.308,1.351,1.902,1.847,0.704,0.5,1.0,0.679,0.067,0.0,-0.02,0.0,-0.283,0.509,0.153,0.001,8,0.5,1000,50,NONE
17,3.636,1.361,1.917,1.864,0.582,0.312,1.0,0.893,0.233,-0.023,-0.0,0.0,-0.179,0.574,0.244,0.001,8,0.5,1000,50,NONE
18,3.544,1.386,1.918,1.858,0.582,0.312,1.0,0.893,0.167,-0.023,-0.0,0.0,-0.179,0.658,0.135,0.001,8,0.5,1000,50,NONE
19,3.544,1.403,1.934,1.867,0.582,0.312,1.0,0.893,0.167,-0.023,-0.0,0.0,-0.179,0.658,0.135,0.001,8,0.5,1000,50,NONE
20,3.562,1.37,1.923,1.861,0.602,0.812,1.0,0.333,0.067,0.0,-0.0,0.0,-0.182,0.731,0.199,0.001,8,0.5,1000,50,NONE
21,3.562,1.339,1.91,1.855,0.602,0.812,1.0,0.333,0.067,0.0,-0.0,0.0,-0.182,0.731,0.199,0.001,8,0.5,1000,50,NONE
22,3.562,1.4,1.925,1.865,0.602,0.812,1.0,0.333,0.067,0.0,-0.0,0.0,-0.182,0.731,0.199,0.001,8,0.5,1000,50,NONE
23,3.794,1.369,1.903,1.845,0.801,0.75,1.0,0.875,0.167,-0.023,-0.023,0.0,-0.278,0.36,0.167,0.001,8,0.5,1000,50,NONE
24,3.363,1.33,1.895,1.84,0.769,0.625,1.0,0.708,0.067,-0.023,-0.023,0.0,-0.278,0.36,0.159,0.001,8,0.5,1000,50,NONE
