i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.494,0.429,1.251,1.079,0.695,0.688,0.5,0.833,0.2,0.0,-0.0,0.0,-0.222,0.57,0.23,0.001,8,0.5,1000,50,UX
1,3.494,0.971,1.821,1.818,0.695,0.688,0.5,0.833,0.2,0.0,-0.0,0.0,-0.222,0.57,0.23,0.001,8,0.5,1000,50,UX
2,3.516,1.572,2.171,2.146,0.628,0.562,1.0,0.464,0.167,0.0,-0.024,0.0,-0.195,0.789,0.125,0.001,8,0.5,1000,50,UX
3,3.602,1.853,2.372,2.329,0.764,0.625,0.5,1.0,0.167,0.0,-0.018,0.0,-0.318,0.58,0.302,0.001,8,0.5,1000,50,UX
4,3.726,2.093,2.553,2.523,0.779,0.938,0.5,0.818,0.233,0.0,-0.017,0.0,-0.318,0.484,0.309,0.001,8,0.5,1000,50,UX
5,3.886,2.232,2.71,2.676,0.682,0.688,1.0,0.769,0.2,-0.022,-0.022,0.0,-0.162,0.657,0.095,0.001,8,0.5,1000,50,UX
6,4.026,2.362,2.869,2.83,0.711,0.562,1.0,1.0,0.167,-0.022,-0.022,0.0,-0.153,0.689,0.093,0.001,8,0.5,1000,50,UX
7,4.065,2.471,3.02,2.992,0.8,0.688,1.0,1.0,0.333,0.0,-0.075,0.0,-0.17,0.361,0.128,0.001,8,0.5,1000,50,UX
8,4.246,2.622,3.163,3.14,0.659,0.812,1.0,1.0,0.267,0.0,-0.0,0.0,-0.166,0.528,0.146,0.001,8,0.5,1000,50,UX
9,4.246,2.737,3.301,3.281,0.659,0.812,1.0,1.0,0.267,0.0,-0.0,0.0,-0.166,0.528,0.146,0.001,8,0.5,1000,50,UX
10,4.386,2.822,3.425,3.4,0.664,0.812,1.0,1.0,0.3,0.0,-0.019,0.0,-0.21,0.465,0.373,0.001,8,0.5,1000,50,UX
11,4.386,2.87,3.549,3.532,0.664,0.812,1.0,1.0,0.3,0.0,-0.019,0.0,-0.21,0.465,0.373,0.001,8,0.5,1000,50,UX
12,4.565,2.989,3.665,3.65,0.696,0.812,1.0,1.0,0.233,-0.019,-0.0,0.0,-0.138,0.862,0.118,0.001,8,0.5,1000,50,UX
13,4.565,3.202,3.779,3.77,0.696,0.812,1.0,1.0,0.233,-0.019,-0.0,0.0,-0.138,0.862,0.118,0.001,8,0.5,1000,50,UX
14,4.676,3.326,3.879,3.865,0.724,0.938,1.0,0.864,0.367,0.0,-0.0,0.0,-0.134,0.828,0.091,0.001,8,0.5,1000,50,UX
15,4.863,3.356,3.968,3.959,0.798,1.0,1.0,1.0,0.433,-0.02,-0.0,0.0,-0.202,0.687,0.167,0.001,8,0.5,1000,50,UX
16,4.885,3.429,4.06,4.06,0.758,0.875,1.0,1.0,0.533,0.0,-0.022,0.0,-0.23,0.743,0.228,0.001,8,0.5,1000,50,UX
17,4.885,3.551,4.145,4.136,0.758,0.875,1.0,1.0,0.533,0.0,-0.022,0.0,-0.23,0.743,0.228,0.001,8,0.5,1000,50,UX
18,4.885,3.551,4.227,4.219,0.758,0.875,1.0,1.0,0.533,0.0,-0.022,0.0,-0.23,0.743,0.228,0.001,8,0.5,1000,50,UX
19,4.885,3.551,4.298,4.293,0.758,0.875,1.0,1.0,0.533,0.0,-0.022,0.0,-0.23,0.743,0.228,0.001,8,0.5,1000,50,UX
20,4.885,3.85,4.373,4.365,0.758,0.875,1.0,1.0,0.533,0.0,-0.022,0.0,-0.23,0.743,0.228,0.001,8,0.5,1000,50,UX
21,4.903,3.85,4.443,4.437,0.743,1.0,1.0,0.786,0.4,0.0,-0.0,0.0,-0.141,0.771,0.344,0.001,8,0.5,1000,50,UX
22,5.01,4.012,4.5,4.496,0.714,1.0,1.0,1.0,0.4,0.0,-0.0,0.0,-0.17,0.74,0.326,0.001,8,0.5,1000,50,UX
23,5.118,4.1,4.561,4.561,0.796,1.0,1.0,1.0,0.5,-0.047,-0.023,0.0,-0.153,0.736,0.31,0.001,8,0.5,1000,50,UX
24,5.118,4.175,4.612,4.615,0.796,1.0,1.0,1.0,0.5,-0.047,-0.023,0.0,-0.153,0.736,0.31,0.001,8,0.5,1000,50,UX
25,5.118,4.208,4.667,4.666,0.796,1.0,1.0,1.0,0.5,-0.047,-0.023,0.0,-0.153,0.736,0.31,0.001,8,0.5,1000,50,UX
26,5.18,4.211,4.72,4.716,0.757,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.134,0.894,0.13,0.001,8,0.5,1000,50,UX
27,5.201,4.324,4.767,4.765,0.698,1.0,1.0,1.0,0.467,0.0,-0.018,0.0,-0.104,0.794,0.364,0.001,8,0.5,1000,50,UX
28,5.244,4.324,4.814,4.814,0.771,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.108,0.706,0.341,0.001,8,0.5,1000,50,UX
29,5.317,4.381,4.855,4.856,0.789,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.11,0.798,0.273,0.001,8,0.5,1000,50,UX
30,5.317,4.482,4.895,4.887,0.789,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.11,0.798,0.273,0.001,8,0.5,1000,50,UX
31,5.349,4.524,4.932,4.924,0.752,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.095,0.807,0.419,0.001,8,0.5,1000,50,UX
32,5.349,4.524,4.969,4.964,0.752,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.095,0.807,0.419,0.001,8,0.5,1000,50,UX
33,5.401,4.689,5.005,4.999,0.775,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.132,0.867,0.479,0.001,8,0.5,1000,50,UX
34,5.401,4.703,5.034,5.034,0.775,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.132,0.867,0.479,0.001,8,0.5,1000,50,UX
35,5.401,4.736,5.063,5.062,0.775,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.132,0.867,0.479,0.001,8,0.5,1000,50,UX
36,5.44,4.818,5.09,5.089,0.875,1.0,1.0,1.0,0.533,-0.023,-0.0,0.0,-0.104,0.909,0.25,0.001,8,0.5,1000,50,UX
37,5.44,4.842,5.114,5.111,0.875,1.0,1.0,1.0,0.533,-0.023,-0.0,0.0,-0.104,0.909,0.25,0.001,8,0.5,1000,50,UX
38,5.478,4.842,5.141,5.137,0.794,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.094,0.9,0.311,0.001,8,0.5,1000,50,UX
39,5.478,4.856,5.165,5.161,0.794,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.094,0.9,0.311,0.001,8,0.5,1000,50,UX
40,5.518,4.862,5.185,5.18,0.672,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.127,0.894,0.479,0.001,8,0.5,1000,50,UX
41,5.628,4.928,5.206,5.201,0.773,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.061,0.979,0.369,0.001,8,0.5,1000,50,UX
42,5.628,4.97,5.227,5.222,0.773,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.061,0.979,0.369,0.001,8,0.5,1000,50,UX
43,5.628,4.97,5.25,5.244,0.773,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.061,0.979,0.369,0.001,8,0.5,1000,50,UX
44,5.661,4.97,5.27,5.265,0.777,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.133,0.969,0.448,0.001,8,0.5,1000,50,UX
45,5.685,4.97,5.291,5.285,0.747,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.087,0.956,0.502,0.001,8,0.5,1000,50,UX
46,5.893,4.97,5.314,5.306,0.846,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.108,0.868,0.754,0.001,8,0.5,1000,50,UX
47,5.893,4.97,5.333,5.322,0.846,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.108,0.868,0.754,0.001,8,0.5,1000,50,UX
48,5.893,5.107,5.353,5.344,0.846,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.108,0.868,0.754,0.001,8,0.5,1000,50,UX
49,6.015,5.142,5.374,5.362,0.799,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.099,0.967,0.682,0.001,8,0.5,1000,50,UX
50,6.024,5.149,5.392,5.38,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.683,0.001,8,0.5,1000,50,UX
51,6.024,5.149,5.414,5.4,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.683,0.001,8,0.5,1000,50,UX
52,6.024,5.151,5.441,5.421,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.683,0.002,8,0.5,1000,50,UX
53,6.024,5.151,5.466,5.44,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.683,0.002,8,0.5,1000,50,UX
54,6.024,5.185,5.488,5.46,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.683,0.002,8,0.5,1000,50,UX
55,6.032,5.194,5.517,5.497,0.792,1.0,1.0,1.0,0.633,0.0,-0.0,0.0,-0.104,0.958,0.753,0.001,8,0.5,1000,50,UX
56,6.032,5.225,5.544,5.526,0.792,1.0,1.0,1.0,0.633,0.0,-0.0,0.0,-0.104,0.958,0.753,0.001,8,0.5,1000,50,UX
57,6.032,5.268,5.573,5.55,0.792,1.0,1.0,1.0,0.633,0.0,-0.0,0.0,-0.104,0.958,0.753,0.001,8,0.5,1000,50,UX
58,6.032,5.268,5.603,5.584,0.792,1.0,1.0,1.0,0.633,0.0,-0.0,0.0,-0.104,0.958,0.753,0.001,8,0.5,1000,50,UX
59,6.046,5.268,5.638,5.61,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.722,0.001,8,0.5,1000,50,UX
60,6.046,5.268,5.675,5.643,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.722,0.001,8,0.5,1000,50,UX
61,6.149,5.268,5.71,5.669,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.825,0.001,8,0.5,1000,50,UX
62,6.149,5.318,5.745,5.703,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.825,0.002,8,0.5,1000,50,UX
63,6.149,5.342,5.787,5.774,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.825,0.002,8,0.5,1000,50,UX
64,6.149,5.342,5.819,5.822,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.825,0.002,8,0.5,1000,50,UX
65,6.149,5.342,5.851,5.893,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.825,0.003,8,0.5,1000,50,UX
66,6.149,5.342,5.881,5.95,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.825,0.004,8,0.5,1000,50,UX
67,6.149,5.342,5.91,5.981,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.825,0.005,8,0.5,1000,50,UX
68,6.149,5.342,5.932,6.0,0.81,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.119,0.966,0.825,0.009,8,0.5,1000,50,UX
69,6.169,5.342,5.957,6.015,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.957,0.836,0.006,8,0.5,1000,50,UX
70,6.169,5.342,5.975,6.015,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.957,0.836,0.007,8,0.5,1000,50,UX
71,6.169,5.473,5.989,6.018,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.957,0.836,0.008,8,0.5,1000,50,UX
72,6.169,5.473,6.003,6.018,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.957,0.836,0.011,8,0.5,1000,50,UX
73,6.174,5.478,6.012,6.018,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.949,0.85,0.001,8,0.5,1000,50,UX
74,6.174,5.478,6.019,6.021,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.949,0.85,0.001,8,0.5,1000,50,UX
75,6.174,5.478,6.028,6.024,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.949,0.85,0.001,8,0.5,1000,50,UX
76,6.185,5.478,6.036,6.025,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.001,8,0.5,1000,50,UX
77,6.185,5.616,6.044,6.03,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.002,8,0.5,1000,50,UX
78,6.185,5.616,6.052,6.036,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.002,8,0.5,1000,50,UX
79,6.185,5.668,6.061,6.046,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.003,8,0.5,1000,50,UX
80,6.185,5.668,6.07,6.054,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.005,8,0.5,1000,50,UX
81,6.185,5.668,6.077,6.057,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.01,8,0.5,1000,50,UX
82,6.185,5.673,6.086,6.067,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.015,8,0.5,1000,50,UX
83,6.185,5.673,6.095,6.081,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.021,8,0.5,1000,50,UX
84,6.185,5.673,6.104,6.119,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.029,8,0.5,1000,50,UX
85,6.185,5.673,6.113,6.149,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.041,8,0.5,1000,50,UX
86,6.185,5.673,6.12,6.149,0.792,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.083,0.966,0.843,0.051,8,0.5,1000,50,UX
87,6.211,5.673,6.127,6.149,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.001,8,0.5,1000,50,UX
88,6.211,5.673,6.132,6.149,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.001,8,0.5,1000,50,UX
89,6.211,5.673,6.139,6.149,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.001,8,0.5,1000,50,UX
90,6.211,5.673,6.144,6.149,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.001,8,0.5,1000,50,UX
91,6.211,5.673,6.15,6.149,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.001,8,0.5,1000,50,UX
92,6.211,5.733,6.154,6.149,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.001,8,0.5,1000,50,UX
93,6.211,6.033,6.16,6.149,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.002,8,0.5,1000,50,UX
94,6.211,6.033,6.164,6.174,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.002,8,0.5,1000,50,UX
95,6.211,6.033,6.168,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.004,8,0.5,1000,50,UX
96,6.211,6.033,6.172,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.004,8,0.5,1000,50,UX
97,6.211,6.033,6.176,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.005,8,0.5,1000,50,UX
98,6.211,6.036,6.178,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.007,8,0.5,1000,50,UX
99,6.211,6.043,6.181,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.008,8,0.5,1000,50,UX
100,6.211,6.043,6.182,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.012,8,0.5,1000,50,UX
101,6.211,6.045,6.183,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.014,8,0.5,1000,50,UX
102,6.211,6.045,6.183,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.015,8,0.5,1000,50,UX
103,6.211,6.117,6.184,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.018,8,0.5,1000,50,UX
104,6.211,6.119,6.184,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.021,8,0.5,1000,50,UX
105,6.211,6.119,6.185,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.029,8,0.5,1000,50,UX
106,6.211,6.119,6.185,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.031,8,0.5,1000,50,UX
107,6.211,6.119,6.186,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.038,8,0.5,1000,50,UX
108,6.211,6.119,6.186,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.046,8,0.5,1000,50,UX
109,6.211,6.119,6.186,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.055,8,0.5,1000,50,UX
110,6.211,6.119,6.187,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.068,8,0.5,1000,50,UX
111,6.211,6.119,6.187,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.081,8,0.5,1000,50,UX
112,6.211,6.119,6.188,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.096,8,0.5,1000,50,UX
113,6.211,6.119,6.188,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.108,8,0.5,1000,50,UX
114,6.211,6.119,6.188,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.12,8,0.5,1000,50,UX
115,6.211,6.119,6.189,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.142,8,0.5,1000,50,UX
116,6.211,6.119,6.19,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.163,8,0.5,1000,50,UX
117,6.211,6.119,6.191,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.196,8,0.5,1000,50,UX
118,6.211,6.119,6.192,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.236,8,0.5,1000,50,UX
119,6.211,6.119,6.193,6.185,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.274,8,0.5,1000,50,UX
120,6.211,6.152,6.194,6.189,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.311,8,0.5,1000,50,UX
121,6.211,6.152,6.195,6.189,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.355,8,0.5,1000,50,UX
122,6.211,6.152,6.196,6.189,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.403,8,0.5,1000,50,UX
123,6.211,6.152,6.198,6.189,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.454,8,0.5,1000,50,UX
124,6.211,6.152,6.199,6.211,0.727,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.968,0.85,0.502,8,0.5,1000,50,UX
