i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
470,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
471,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
472,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
473,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
474,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
475,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
476,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
477,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
478,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
479,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
480,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
481,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
482,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
483,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
484,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
485,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
486,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
487,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
488,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
489,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
490,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
491,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
492,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
493,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
494,6.219,6.219,6.219,6.219,0.825,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,0.0,0.977,0.817,1.0,8,0.5,1000,50,1X+2X
