,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.007940083485651605,0.00010287761362716537,0.12500259081525228,0.001460099873329695,1.5035372233550793e-09,0.0026645010944643228,0.000420421576560477,0.1728337814991298,0.2815917163548185,0.12500106440574954,8.484494120091717e-05,0.0002992884120240435,0.03571552660439041,0.012650847015912075,0.005814744858136408,0.2814733831655576,5.4348870456393375e-05,0.0034763066661433945,0.001396282592001698,0.006364677611182715,7.818786310631372e-05,0.22399373020800076
REST,1.871773866370236e-08,5.848454072426292e-10,0.25006484843895616,2.1736178181435305e-07,0.00032501420003077313,0.00021532321034359124,2.8268042969223294e-05,0.0022803395745163144,0.0007534843322086573,0.007980208294237904,5.141428113532479e-05,0.0022616084484270433,7.776502288637518e-05,6.103519264062677e-06,2.222711522483065e-05,0.03911898070341585,0.0021663172057596776,0.08076478594405584,0.00288026302454995,8.996211289508745e-05,9.965642335572603e-06,5.418606144598266e-07
D4,0.0023364617458542527,0.0052020315864625515,0.0029114291199252166,0.00024255643149240767,0.00047065208683929715,0.25000657471769194,0.003019291898409476,0.0036085142048121127,0.2771161083165831,0.08442169037921604,0.3035094267794263,4.5923112929266575e-07,0.00019660377022113356,0.0008804851109036664,0.0005710948667528722,4.882813562430567e-05,0.013973894038338765,0.1388900972431038,3.1535739018757345e-06,0.04830680986937248,0.0007309941542610808,2.056650720494355e-06
C#4,0.002657668348110631,4.224365112822001e-05,0.13162040799554195,7.940714206230992e-05,0.009220089289447377,0.1000599871813029,0.00030968532553190544,0.0025523266584309093,2.6209756704726226e-05,0.05572768265660899,0.0007899694298217976,4.568163751085905e-06,0.09526254812933907,4.554256087348689e-06,0.0004583929949079591,0.03357411174076522,0.12539443969747188,1.525905150305665e-06,3.483339877728331e-05,0.00013020833344938866,0.0013888888890377154,2.9888792800645935e-23
E4,0.002228231116543673,0.9530875369831854,0.03444745691051515,0.0002713897721287069,0.004902007981779184,0.008907415850919875,0.4695873203863532,0.0011352685486791833,0.00015461437245374945,6.436639839983084e-05,5.096352374980832e-06,6.963821618811096e-05,0.0029057654082332114,0.03168622136632085,0.47003469096996375,1.4623006382321196e-06,0.0003255645027480581,0.12369149942603705,2.7138005112655775e-07,5.4495705545306e-07,0.00260334330321681,0.00023369191343497242
C4,0.9380924358728988,0.01632176388639488,0.024106875785020666,0.01531009860344132,0.01223257592373518,0.09955231506091794,0.005735355393205027,0.09904733755240627,0.16132176871270895,0.1825962468576588,0.004658420503558916,0.4254864140850718,0.18611026570595002,0.018962141983310372,0.011953591188192907,0.0039062547493829,0.08836999859318076,0.09316672591105978,0.010152364481760805,0.025749318947577253,0.0023021572420386296,0.10854211548913786
D#4,0.017904806991764843,0.0025103054957254425,0.000355245793500583,0.0032875016864571103,0.0018391692118310482,0.007128544766721524,0.0025516145902793838,0.004227737316785662,0.00016519161699529237,0.12503601021031333,0.0002698625893823027,0.0016121339659402915,0.00019531250000065433,0.0007599728944957422,2.4866498177679517e-05,0.12137838393923214,0.0023969941829602485,0.06668701544404032,0.007702040935966852,0.11267425533467704,8.010478383798815e-06,4.835582914984184e-05
F#4,0.0003131064809161194,0.0016780630525080435,0.0006194520615957204,0.0028498724903116,0.0003559014235591516,0.0044654839560913226,0.002552548373114677,0.0006590861136256362,0.00010410911318827452,0.008534814506670168,9.954617302194924e-05,1.9387827347423926e-07,0.05008990807067244,0.0008680844851351358,0.0001810943705671288,0.035625508458075515,5.067959148697421e-05,0.0007898552878121449,2.980233022564923e-10,0.01766715584907344,0.002907946065938546,2.7695119412443956e-07
A4,0.0005212262235607793,0.00010392365190442061,0.002945638110497967,0.46919914742657265,0.005749309510772522,2.080021896085988e-12,0.0012441298709622703,0.005083984241804823,0.001185198082955275,7.534139600617614e-05,1.5522047187440252e-10,2.3522824216082828e-05,5.961979862313716e-08,1.6592531798619708e-07,0.0038824212969773677,8.919127294916057e-06,0.0083392792794213,0.08283701094076715,0.001813617151555569,0.11908381808842944,0.001465201008309746,0.03456295046662105
G4,0.0012362777029491043,1.1485751999993544e-05,0.18750398003772295,0.4755157191559236,4.3242808660374635e-05,0.3211001202863246,0.006947040712227769,0.003222105170601264,0.0003947453526790554,0.16687794223655172,0.00037547878362338835,0.2613255389776089,0.001206115941532512,0.2298554989312174,0.00019677591745922193,0.0038972131307698906,0.0003916029359675961,0.0013263037891199105,0.0027182615838549995,5.348398983814762e-06,1.8397597169882567e-09,0.2267924650431163
G#4,1.1943551602850963e-05,4.7276970713844155e-06,1.8692686939079396e-06,6.656088865163172e-06,1.1248039413235746e-06,0.027254572267015116,4.126587451511912e-07,0.0017518239546817466,1.2890598523539983e-05,4.649220402603244e-13,0.040145922465022604,0.0037833451293416724,1.529542516996037e-07,0.02146643525223291,0.002864110863020683,0.20168650794108714,0.0004026993498302575,0.0005580357143008984,4.694659011641214e-09,0.08333356548423422,2.9766772204117603e-06,0.10000000073873411
D5,6.049033090612684e-07,0.0041932709295409345,0.06891292995942297,0.0007301393320504386,1.855841176526759e-06,0.0005542687655012308,0.0026349047045957094,0.0040756950745739606,0.0001332707190773178,0.04175241351565001,0.0023806747819904543,0.0003564593015960236,0.17142857142857143,3.4929456240489005e-10,1.3483428897233907e-05,0.00040746251979460616,0.006738049646125014,0.1938335493359012,0.0056928047118617936,1.549354318088493e-05,0.985142277020537,0.15127786322984668
C5,0.0007930294581785962,0.000588387328465439,0.006358301587373816,1.6230050667855567e-05,0.0026452980796665493,0.0416675726806021,0.49625914826291095,0.006156249602070344,0.2736588324471477,1.5932434641992756e-07,0.2601637208963469,0.2905819625210627,0.052752923516203566,0.017884134875970025,0.00025115600506085353,5.47127427913762e-08,0.007812961496790078,0.0051527376094887495,0.0013907199620426698,0.27582187186803725,8.125334247113938e-05,0.0009836247401430304
B4,8.155358209515985e-10,0.007051041480366532,3.868311998754895e-06,1.1377611434985919e-05,0.0057620262925183055,0.05131063287132662,0.002718726975204159,0.6654465678692199,0.0007530636360363178,9.833453204278423e-05,1.0923970772397463e-06,0.0016782194124392701,5.068245255166576e-05,2.034520345348047e-05,0.0025301011726771147,2.790271999632994e-10,0.12551047387977404,0.00033234329183245395,0.005850166062603207,0.0001302088676315095,0.00011847232032610146,8.877843349335156e-05
E5,3.614159242361692e-07,5.141837245804078e-06,0.0008977887667591855,0.002965483887845357,0.0028004583703302452,3.46234173526172e-05,0.005386157142030405,0.0011031658291035533,0.00011787978164276886,0.00044375995487180744,0.000803593289681485,4.869748767398223e-10,0.07517377662258848,7.646194798885855e-05,0.0007121615314012523,0.00458833700382247,0.018820536136848413,0.001190669964417972,5.649945217251999e-06,1.818994955441167e-12,1.3961514865863188e-05,0.003053539595634202
F#5,0.002355229366542131,0.007255844658233776,0.00010136430350668371,2.7232898946213142e-05,0.0035711526677715292,0.0015227988145526568,3.3999639120698054e-05,0.005277551129070862,3.050945136300377e-05,0.05570879225527412,0.0016440255403294478,0.004641529152988123,0.0011325761328541215,0.2681291018729602,0.0025006579497844857,0.0009025175942873301,5.425348483128292e-05,0.000257492871396822,8.614170442555698e-05,2.8170072121702412e-05,8.125457756377356e-05,0.015625000000000746
C#5,0.008075854064282234,0.0001382910152312013,0.0002792633989402594,0.007046548982998273,2.745147538855326e-05,0.020883828537134583,4.334561773129612e-06,0.0037818380363024325,9.422999254160974e-05,0.08173533432732207,0.30399475741080734,0.0016106237153345933,0.0028898846302460846,4.364641747434645e-06,0.003769640580769203,6.826997555621356e-07,0.0009211323885482211,0.004030365689611237,8.412727020077709e-07,0.11904761905156076,0.0002820619594225431,0.0009435835622505031
D#5,5.394871550181251e-06,0.0008357500852491712,0.12503756009618916,0.0028571482419287807,0.0029311905446964236,0.004497518989608768,0.0005027838580574879,0.00024204157467200412,9.220623352393945e-08,0.013031017789145912,0.013427774111465368,0.0009512834251070773,0.15891503301180657,0.001649658165069213,0.0033370608362177263,9.506373227668679e-06,0.06250089758415212,0.0017168041673389,0.0003291788669115259,0.0007373540098615898,0.002634205364190945,0.01562500000593852
F5,0.01335618038378195,1.799285383687784e-07,0.022587340789053986,0.0028576992693022676,0.9357128670137945,0.047429973406931156,2.9905952331835684e-05,0.004100774919987228,0.001542646912342831,1.8658801104044306e-09,0.00034041631789864275,0.0007418455425475503,0.03649828884989366,1.198952732669807e-10,0.0015073234259771365,4.626760780057639e-13,0.00811721399411914,0.06954288183782906,9.945830919443088e-09,0.18601203690112672,2.408830869295427e-09,8.784658132345677e-23
