,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.12344146622859492,2.920342409381527e-07,0.10714385076505423,0.9396833099463988,3.72893242210269e-09,0.3286939406294662,0.023231612189480732,0.01567586263133157,0.0009565956085394959,3.725405152924077e-09,0.015988947217864053,0.339575838924225,9.870390964984584e-32,0.00015178918891554835,0.06868489583333333,4.4044064366419625e-14,0.0006511057729591347,2.2343823373082364e-15,0.7392578125000757,4.346175567585911e-09,1.455191522853631e-10,1.4901161193956076e-08
REST,0.00012280606660766992,0.00015064675393263217,0.07148960667795369,0.006896575743753858,0.1250004768371583,0.12500042165558178,0.00480914078639133,6.049767973450677e-23,1.7380334597521924e-08,4.501998773775994e-12,7.998534291454634e-08,0.004751873376631905,8.185456002296683e-12,6.063298011819521e-13,0.00016732085028161713,1.0172526041666666e-05,0.00032819062471389765,2.6280919032784154e-34,0.001953184604701619,0.2540587763778885,1.1667111721180845e-10,2.3283064365471666e-10
D4,0.2755999709970193,0.0019405214575061423,0.0029258569081665933,0.001439726996194944,0.0004882812500000092,0.00033911018608356435,1.0471078829101937e-07,2.9802354653102594e-07,0.7182204529550261,0.25520860202084056,1.9630519892998088e-11,0.0054837168625200446,2.482167881604861e-07,3.928104038813648e-07,0.09996433765558096,3.966372947679292e-18,7.839763290323149e-10,4.0389678347315804e-28,1.5258789062688379e-06,1.4215681348272844e-14,1.1917436495423317e-06,0.00030517581399181273
C#4,1.7183306679210802e-05,6.496332729235016e-06,9.313237056905176e-11,1.787652346774276e-18,8.673617379884652e-20,0.0019531250000227626,0.007692307692315402,0.34851074218750033,9.79714766483433e-08,3.72532847352051e-09,7.401486830834377e-17,0.0005226411228110692,4.599265933051638e-41,0.0,1.990801703382907e-17,1.3092934144272778e-11,2.128737313406808e-09,3.009265538105056e-36,2.3306508272003947e-49,1.2037062152420678e-35,1.5437532210478937e-33,3.9548226715080057e-28
E4,0.0004704618235718738,0.6021902336650138,0.3257477510208322,0.00023535498770019662,9.605405786001577e-10,0.10133270138698218,0.00760057640985634,0.03226737189106643,0.25909281234212284,0.2950980735326084,0.27360320142421846,0.4330516615727755,0.5825781424840611,0.011718750567524694,0.033729191203892464,0.015625000620881718,0.14331776451629524,6.398091095417279e-05,0.12547181106566313,2.4478853453283968e-06,0.875000238476872,0.2500028305221396
C4,0.5901172671591173,0.013249716211060494,0.006765523919888635,0.00962268921778586,0.18446883139666628,0.34857700949456205,0.9059194666981809,0.3491487985304377,0.003179090695275469,0.19969077384210876,0.015686072409380882,0.11286319028052488,0.4173990887939026,0.2521769205729167,0.5224976792431468,0.05620334353866574,0.001953509360635287,0.333759445872505,0.12516453823341414,0.5689758300781347,0.00781440737046075,0.3165740968181683
D#4,9.879314153579687e-08,4.438994095711606e-12,0.12798381987072172,2.278897851443328e-21,6.938893903907295e-18,1.043081283572051e-08,1.6012230665016343e-15,1.6597445052893912e-34,9.649109763980287e-05,7.832324216599512e-43,0.015625,0.0013335633596450506,1.947480011798639e-61,0.0,0.1,0.0,2.7904965607477417e-104,5.501870268311731e-06,1.8465957235571754e-127,0.0,4.591821517848372e-41,0.0
F#4,3.9667129556263e-07,3.732308368618023e-05,0.020945458250503604,0.0005939833524622397,0.0009772119442080416,4.6724839427127895e-11,0.002318001307361806,1.9519450753003533e-18,0.0031331387672298983,1.0362081563857445e-15,0.2522417705021059,0.006145089157967319,1.694066029140878e-21,0.234375,0.17122421907964827,1.8848516883069033e-27,4.381027806951737e-08,2.670491812928333e-05,5.960995016115158e-08,0.001953125,5.6843418860808015e-12,3.183231456258602e-12
A4,6.28961844878241e-08,3.307253461393582e-14,1.5158245029641172e-13,9.637712609712148e-08,2.359350522359212e-08,4.667427028044059e-29,0.009141438038684564,1.323509174948375e-23,0.0003660322559895874,6.122366410532747e-41,4.0690105076161366e-05,0.0033540947357426163,3.4226104755896714e-08,0.0,4.0972516384976806e-17,1.9073486399179274e-06,2.6551533233381028e-58,8.470365823253516e-22,9.765625000000002e-05,6.462348535570529e-27,3.529303946892918e-23,4.0389678347315804e-28
G4,7.94757829578201e-09,0.3666020744205683,0.03571537656112165,0.020168668563377425,6.98491947152368e-10,3.019475856604591e-16,3.0429352989396877e-05,0.004395965527995602,0.004093943902036005,3.699629492496181e-12,0.01562500000060633,0.0043323996579224455,2.2411735528748984e-05,9.53674795087672e-08,0.001358624637154042,0.001953760899747673,0.010156250295533702,0.194873046875,9.765625083370347e-05,0.00010369618733723973,0.0008511543283020728,0.4331064373254776
G#4,2.906448228693457e-06,7.134704035379801e-05,0.006944444444452565,1.0964114590137759e-15,3.397913357845675e-39,0.0004904610770089286,3.2971469073661564e-06,0.25,2.1170933185346861e-07,8.185452315956354e-13,7.567004245423448e-11,0.0016240830430390815,2.051904082226434e-55,1.1087458436744974e-11,0.0003198868189102564,3.560024728047192e-96,1.0842021724855044e-19,0.06805773538256449,1.1285252669748079e-20,1.4693679385278594e-39,0.0,7.34096752649834e-55
D5,0.0010822986075459218,1.090573889148417e-05,0.046565799330826226,0.00013321524013754955,0.004047242307327744,6.884702332042382e-12,0.014625660071345355,8.124819336193912e-11,0.0010652292100457935,2.543131512198585e-06,2.911093588410484e-11,0.004408135216038087,8.589994934493898e-21,0.0,0.0008868356036331891,3.552720455064083e-15,0.030220923979784584,0.0026041666666666665,0.007812500002744775,3.155444008797183e-30,0.10937500000034106,1.262177448353619e-29
C5,9.348607347292758e-06,8.390293465005692e-12,2.3201082552883641e-54,9.58410760247114e-21,6.573840876841765e-32,4.58188236015805e-50,4.0993013701803566e-06,5.505714157390069e-22,2.1486895199094947e-09,8.322823911536641e-12,7.174648137343089e-43,0.0026127592367784207,0.0,0.0,1.7339533025799756e-07,0.0002848411599795024,3.2869204384208823e-32,0.09203234475756449,6.842279017274474e-49,2.4074124305190773e-35,4.718796910582084e-51,2.7530693609308425e-27
B4,0.007746362111737902,0.014178560209227321,0.062220806331379705,0.00033857205634522133,0.468872070341777,0.08333922081209355,0.011296133482226979,1.945219867480067e-13,0.007883808853476644,0.2500000000048506,0.34868923823099374,0.06805580905476961,2.9802386353888766e-08,0.5000305175783344,4.50508620527657e-05,0.5087916074941558,3.054738044826044e-08,0.16968818385745643,1.1775686865687631e-05,0.06562500306574562,1.440534821326608e-42,1.1444091910561838e-05
E5,0.0004902747108420518,6.943815812682589e-09,0.006953163752480159,5.35312546037648e-11,0.010416690274725691,3.2813258283503604e-14,2.1089631700362603e-09,1.7821934404439942e-12,0.001099002309760843,3.700743415417188e-17,0.0625,0.00019730126640158706,4.547473508865417e-13,0.0,4.36896885632749e-06,6.357828776411741e-07,2.14536807424604e-09,0.05555555555555555,4.315927408305599e-27,0.007812500000284217,1.2621774507229758e-29,4.108650601118499e-33
F#5,2.9064360119075794e-06,7.146840134436357e-11,0.07142916370186925,0.016720359215965208,1.6036588272999207e-51,1.8626451492309571e-10,7.164019806256138e-11,1.0339757669890744e-25,9.983176815480834e-08,1.7763568394002505e-15,6.588873714519077e-83,0.0014676197904046461,2.0679515313825692e-25,0.0,1.2287749650806707e-43,7.450580596923828e-09,0.012500000000000533,1.1029074834040368e-23,4.759156032226504e-15,0.08337166156598175,2.627434620609032e-46,1.6158471986327894e-31
