,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.002652394248500208,1.001422123345708e-11,0.002774379397155835,8.815892789079229e-18,0.00020090506892590722,8.339636188228645e-11,7.308707066965149e-06,0.0008723290293433127,0.3927878641555903,0.006051449821714525,0.0036496369449069933,1.018881557959763e-19,5.272055782399219e-06,8.955024755918063e-12,0.001365298324907648,9.723461371658034e-63,2.1541161785235098e-27,5.51703290944074e-22,1.5100037950392202e-06,3.6947416483579296e-23,0.0,1.455837941204829e-22
REST,0.10937770204339461,1.1195521254061487e-05,0.05542405649678339,0.00338626072391684,0.013970947000099807,0.0029805835283699443,0.01801160242450902,3.9746858722840744e-08,0.0028722414327312495,0.7506243030707245,0.5738417557354925,0.08219337766328941,0.12129947280600722,0.010715207654825955,0.0030088985531847735,0.04557291666666667,0.10151489371813291,0.0013024366287843867,0.0644532069854904,0.002197289468790586,0.0,0.03125000416868575
D4,0.0051760567223091015,0.00036099431693877493,0.584583531414016,0.0013152379339823092,0.00782184968720668,0.622478134032985,6.899739690562968e-05,1.571884061233201e-09,0.1913797899532224,0.10636072513034248,0.00027080698432374985,0.5142412679930404,3.2239955720906293e-07,1.6336561502105287e-05,0.046614354809502226,3.046977193815405e-06,0.10000164619637869,0.02985202187888791,6.103517210989117e-05,2.332969378668989e-10,0.49988555908203125,0.2885182897429049
C#4,0.02961953672227239,1.4287241501540211e-09,0.00437653481169983,2.046862948105617e-11,0.004205132672512104,1.2731836212889557e-05,0.005711887080370489,1.787401039250386e-26,3.162955465771356e-05,8.059461811175914e-13,2.701877527863729e-10,2.6863106304739842e-06,0.02345620842246629,5.2245795673299664e-17,3.8080712895569097e-06,3.4694469519536144e-19,4.092740035795396e-13,1.5158245029549666e-13,0.00390625,0.0005888412688572607,5.820766091346741e-11,0.277155590057373
E4,0.6096929807216775,0.005328343769431209,5.148302390998318e-05,1.987966561252304e-14,0.00413661091278518,0.002589751346506216,0.005623175996592387,5.357322525981763e-09,1.2637933305725384e-12,0.015252006048295557,6.331192186610138e-05,1.5258900265195483e-05,2.5250082524772262e-06,2.4912308674530917e-06,0.049074374090660115,5.921189464667564e-16,0.6938810110209881,4.156108672553216e-19,3.166790444690074e-08,0.7587890625,0.0,0.1
C4,0.15470759405621584,0.00567912567832134,0.003502903143821894,8.077714873182615e-05,0.010096834007784744,0.0029736450527833185,0.011095772764421984,0.5000000000017962,0.38071318486927097,0.006942292056743244,0.0005919297094322874,0.00026309997043049945,0.6265069749838117,0.5270936556263481,1.525878916180536e-06,1.9360753080098292e-21,0.017159644585095404,0.346078468986471,0.34655799782886454,5.2691591672794136e-36,9.218851725260416e-05,2.5844200659309413e-06
D#4,0.03301867201231723,1.0375916117992116e-18,0.16150022986798618,4.286300549036495e-08,0.2277812866389865,0.12603134265156574,0.0013538182263200466,2.128737313406808e-09,0.010430373682521966,7.62939453125e-06,8.852005652535346e-08,0.003406420914950033,2.2823115503091635e-09,4.182782089501096e-09,0.04688006181096488,3.922195901395753e-12,1.6050471721077434e-18,1.4432899320127033e-16,1.1842455726988887e-15,3.814697265625e-06,0.0,3.2102985393479677e-16
F#4,0.019224858177148425,0.004420115544938976,0.002774379398086211,0.47293160208137164,0.01757387446817242,7.732375278071238e-05,0.002817174379925562,0.19797973456521686,1.026218729511837e-11,0.03487432267680678,0.19962908351105535,1.390052233283754e-10,0.21084802316094509,9.385532052158517e-08,9.766879916531463e-11,0.0006510714689890561,0.0625,0.0013346354166666667,1.725801395599496e-18,2.6190267077436257e-18,0.0,7.718052869183397e-27
A4,0.0013042530318383679,4.8601123126045645e-12,0.008173166842397757,0.48773422076841916,0.006278508948097526,2.3223738193383444e-07,0.00011832638462369072,0.0019531250000148037,0.00025434818320775696,0.014384800127716105,0.006000253097032423,0.3869243126116574,1.141326992152883e-12,4.1267854124408383e-07,0.14182942887974187,0.00390625,0.00045364358005683627,0.08337402728105348,8.289669918059653e-15,1.8922038380646913e-09,0.0,7.431184911865784e-09
G4,0.000982026190812978,0.9771760014558319,7.727854099695726e-05,0.0012195146657808023,0.006755081489962631,0.0007283228317534699,0.8725791657448678,1.2715657552083333e-06,0.0011262744216438297,1.169725430171573e-05,0.005732968369829948,3.975488262854534e-12,0.0002770674686123277,1.5291259942002163e-27,9.643218374031137e-07,0.38541666666666674,0.004361385636268153,1.9721522630534325e-31,3.761949264805202e-37,0.1875152662396431,2.0345052083333332e-05,7.094073633782965e-43
G#4,0.025881205949807043,0.0013375484584574767,0.16353625544609957,0.01816581825031636,0.18662711676068072,0.02716944725169208,0.06547514792239217,0.002630519926612281,0.01511325729335631,0.029920651056929867,0.01682924617952823,0.009057673676978208,0.012759608634686783,0.4621709420512227,0.12236578983035788,2.1897600769686482e-09,0.009918286922427966,0.3962473499488935,0.0019607543945940145,3.8146972672903345e-05,1.9402553637822468e-11,5.992478692174472e-09
