,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.09106664467508116,0.6572426763708519,0.17057296408650777,0.5485013331184023,6.368034063361285e-07,2.0345052088683673e-05,0.0006998765834214228,2.2792907590886775e-05,3.813435619946795e-06,1.0966409700318774e-26,0.11410722136497498,0.0033803365332116114,0.125,1.5133991837501526e-08,2.020496441604266e-09,3.11434268951416e-06,0.005877597067853958,7.27595761418347e-12,2.710505431215405e-20,2.117582620586648e-22,0.0,1.5258789064868477e-05
REST,0.0132653804519983,0.012730241842515219,0.01706873581275075,0.011342679613346611,0.020460297389332804,0.008170364678522331,0.032687846870065956,0.03406348410982588,0.010504638355583878,0.00792525674633764,9.575224879654343e-09,0.12516847537739445,0.0704345789994429,0.3489583335002032,0.03546561012955474,0.013674003072082996,0.008786515267047112,1.507534840529865e-13,0.7521514892578125,0.5000012715657552,0.0,0.13140039927475122
D4,0.09332028032676923,0.2061208480061495,0.14661522195600565,0.007852475998374318,0.00834399730098432,3.1637832298947604e-06,0.00023010580294456043,0.02624285602177668,0.719392297792774,0.9604281505029242,0.18823243308191007,0.298757105272481,1.476230143260971e-24,5.842645384401915e-20,0.002651599293296992,0.0006968192901922522,0.0028240027651284458,0.01578823818516923,0.0003856796171647387,0.07593078615585347,0.0,1.1641543469238097e-10
C#4,0.0005568313120803867,6.228080102828206e-07,3.0295862775397114e-44,1.239292659679398e-06,0.0017465846558355133,1.0234314006763501e-11,5.019454502258517e-22,3.2705969593270565e-11,0.005573712256071436,1.2986210225779473e-06,4.568626608063745e-19,0.07799564795498622,0.00010871887261980149,1.9073486328125e-07,4.6981974582050224e-21,1.1641532182693481e-10,0.00025201612903225806,1.2621774485372907e-30,1.5265566590112572e-17,1.8991135518049907e-65,0.0,0.0020167032877604165
E4,0.09388693858320185,0.1183414596130585,0.2895854963678568,0.0020697176805180434,3.5317298497241885e-05,0.008576584794357512,0.0013578378512119657,0.024787418733952654,0.23102423442307873,0.0026261899390546406,0.0010024706522769147,0.08037293808149659,0.02954380447044969,0.00014681078024191647,0.017543876124105618,5.070380090425585e-05,0.015859684782318435,0.1251037804349402,0.06287460327148563,0.08691408246316618,0.0625,9.379194429406934e-06
C4,0.6996359090356497,0.001271329667993621,0.0634119742600368,1.0143413369177842e-05,2.8423824638835453e-06,0.4504593321183647,0.009382966006834213,0.00025463212413544457,0.00017249523574429975,9.528114220638462e-05,2.9863440431654453e-07,0.30982126629971674,6.462348631868871e-27,4.733773033542044e-19,4.3590291294806826e-05,2.4330728389634904e-29,0.003159739288649983,7.57422372837521e-15,3.209883240645393e-35,4.905409046581813e-08,0.0,0.09049479166666667
D#4,9.733984896131178e-06,1.471719624083719e-10,0.012500000002555958,1.2781543780796153e-30,3.9118051694612587e-14,3.010350319977491e-10,3.813766189953506e-21,0.0010188259407352355,1.797415749972459e-12,4.227849203098261e-38,1.970575965456774e-46,0.0001982932313667676,2.3066312548121991e-94,7.670458539527698e-93,1.4007198422576944e-103,4.276423536147513e-50,1.590731947217361e-27,2.138211768173446e-50,3.529303946892918e-23,8.48861721654733e-12,0.0,2.7511658086797246e-48
F#4,0.000879502365532225,0.0002484812314208005,0.004464370650904519,0.0024723070807990996,2.4673321072145424e-19,4.027569129250743e-05,0.0002348109522371122,0.0012462878328772025,0.0014950978518137573,4.1464138608927795e-08,0.6640625670552538,0.003043559693813757,0.16666857401529947,1.331243798327529e-24,3.1067941419250974e-10,1.1754943508949867e-38,2.83385302495908e-07,9.313225746158667e-10,0.03776041666666667,1.1641532182693481e-10,0.0,1.9009681522273035e-67
A4,1.6831926707669304e-05,2.999850832533186e-05,0.0008681546689826873,1.7241572245079453e-07,0.7285969715274914,0.00520833363436889,0.8949113563466002,0.014221122672301887,0.004266648112552613,0.002604166694675777,1.5259746306680264e-05,0.003948167267099817,3.725290305990625e-09,0.22198359204962465,0.004773019486992894,0.0625,0.015463722086153233,0.015626281252152322,7.106782610323404e-16,0.0007171046916656044,0.0,0.27604166726814583
G4,0.00045209656058439203,1.9448740264576936e-06,0.0017377085155910914,0.42170504518508356,0.23503545312643126,2.0345055729998415e-05,0.0011167277335356876,0.027155240352714112,0.002703297737830461,1.083720848113355e-08,1.6940659126524015e-21,0.07527353886304324,2.919371800676702e-47,0.08333333333333333,1.505387153388256e-17,0.015625000203726813,1.5911172643259122e-08,0.20312519588286576,1.610120137532552e-05,0.020834922793404893,0.0,5.124662269930228e-17
