,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,8.133799654568916e-05,0.0008386190877354897,5.086263020833333e-06,0.9546691761533923,0.07970291190553352,0.000563763657065876,0.015625,0.12890625,0.0005783404523788476,6.011064662334261e-16,0.00012216717004776,0.0035326168116273002,1.2171100665783635e-07,4.768371618735092e-07,0.10573108891699878,0.0006510416666666666,4.35805333787389e-14,6.4849853515625e-05,3.814697265625043e-06,0.1099929828199109,9.5367431640625e-06,1.4203453228371625e-13
REST,0.0007728294557416482,0.002831754638656224,0.25,0.008348958515238824,0.0625000794728599,0.0018451003030142117,0.16975911458344703,0.75,0.07295688788394133,4.8828125e-05,0.004464285714285714,0.4495656432421531,3.8146974124704984e-06,3.552741171069874e-14,0.08333357175191243,0.041666666666666664,0.1373848739871421,0.5059775511423747,0.00048828125,0.004394531431905621,6.121560624515052e-28,0.00044949854068542124
D4,0.13949538009135498,0.00017121869725042328,0.03125,0.0024629776711143038,0.001017269669498278,4.8624616768948645e-05,9.941428898383824e-09,0.007837295999852972,0.8444261559459659,0.0004882912423151236,0.00889138048754659,0.0037243667188920078,0.00012207031432254212,0.015625079473162867,5.811452865600586e-07,0.0002441407414153227,0.003906262356654875,0.00016278116951677177,8.791726728640285e-07,1.057982984781156e-06,0.00010681152345615175,0.00015442572961206965
C#4,5.177240292763261e-27,5.136154641653916e-39,3.4211388289180104e-49,0.00015025876070032883,1.0348028747947543e-10,2.4726933995500646e-32,2.0543252740130515e-33,2.1751899944607764e-55,0.0007748379796414814,0.0004882911841074625,3.2741809263825417e-11,0.00025102023679706966,1.0798323756577133e-38,0.0,5.204170641187923e-18,5.421010862427522e-20,0.0125,1.8189894035458565e-12,6.93889390391354e-18,6.617444900424222e-24,3.844499588012695e-06,6.05359673500061e-07
E4,0.43170861471188293,0.5146998245784473,0.051573931153802974,0.015809978364230756,0.4958537731482921,0.18049608193554498,0.08399098749602368,0.06376706125843336,0.0774792332837578,3.1951887436722265e-05,0.11631582876058855,0.3326696161048668,0.001302087126560991,6.103515625000016e-05,0.08457231522034042,0.16869417826334634,0.09365453974105989,0.000976562690085725,0.009114821753883007,0.5019724369049072,0.042968750000000264,0.0032605338346911594
C4,0.42510263430134954,7.585887223201901e-05,3.729898404950982e-08,0.003286900559306683,3.0567267611452436e-06,0.7978239105870957,0.177583960634412,1.5258789308821484e-05,4.71358708381429e-05,4.882818321239786e-05,0.1672256560552688,0.005137513095833273,0.0004882812500000017,0.03125,0.08349609374999999,0.0006510416800059223,0.12101255666412938,1.1390893653664969e-13,2.117582368139623e-22,3.051757812500018e-05,0.5000000707804778,2.068763872668934e-36
D#4,1.4461530661731032e-12,0.00026700806310779113,4.451048795774762e-67,6.60725532803157e-10,1.9904807742082394e-48,9.379676412917372e-25,3.735238242420671e-24,1.957591340399557e-54,2.9389039026387163e-09,4.3213367462158203e-07,0.01250000000000071,0.0014904425088364287,1.4684571556418852e-13,6.631732394035133e-14,1.0081039552652814e-34,0.041666666666666664,5.684341886080802e-15,1.7763568394002505e-15,3.76158192263132e-37,0.0,0.0,0.0
F#4,0.00021957710099512382,3.441793975818698e-11,0.00625,0.0032962869709369643,9.094947017729284e-14,0.0011334071098675215,3.529303946969955e-23,7.52316384526264e-37,4.7134238399440095e-05,0.0078125,0.007589285715176261,0.0005583881560670734,1.2154326714572542e-63,3.469446951953614e-18,2.586622317492683e-26,1.850371707708594e-16,6.360033201149775e-17,7.446510183820267e-12,2.9582283945787943e-31,4.70197740328915e-38,3.725290298461914e-09,4.768371582031927e-07
A4,1.292804138053499e-05,8.706467893755878e-06,0.10630843826839319,0.0006912092789221598,0.18305067332325328,0.000622914928352748,0.36038729482025733,0.025553415452009176,0.00016698997491549603,0.2502275473128011,0.004975833808310418,0.0047622166549944524,1.6450881958007812e-05,3.054986397426167e-05,0.08382161656289391,0.016276075070345543,0.25544877722295045,0.4065851246317228,0.48844619336062417,4.76883613487189e-07,0.00012207031251894782,0.5625000046566129
G4,0.0004963657338010289,0.4711339330201364,0.5436661889566203,0.008348223697663837,0.054276570802622284,0.0067086449398917995,0.1880392636332696,0.00048320990996845623,0.001425560774709776,0.16858674281699612,0.00643162029934749,0.18489212792986276,0.5009770393372345,7.438661864743417e-05,0.06549072638401134,4.768371653085524e-07,0.10689701963175162,0.06250000000023567,0.25081479301055415,0.12530518859057338,0.25,0.24601238469283887
G#4,1.8127568892551097e-05,2.7602573867396536e-18,1.113692577456464e-15,0.0001495215312482161,9.09494746468408e-13,2.7508802829711193e-05,0.0026048024495442744,1.7463719706456438e-10,1.1454164924516956e-08,1.3456479393744175e-47,0.1672256560552688,0.0013315088213768406,0.24707480574841814,0.003073361975747434,1.1641532182693481e-09,2.4027711375070515e-91,1.0172526041667118e-05,2.3378524777243344e-10,2.1934510490003355e-05,2.220446049250376e-16,3.0814879110195774e-33,1.2126596023639042e-12
D5,2.3283064366025008e-11,3.2442438896502474e-06,2.387311421140719e-07,3.809401892242954e-14,0.015829837683475387,2.7280915132955445e-24,1.1157661416462524e-10,2.910383046167473e-11,0.000758726064010133,4.038968170769905e-28,1.7763569220592276e-16,0.0030223329516271573,3.04074395292749e-08,5.960465543353166e-08,0.10572918156800218,2.387678250670433e-07,0.10833937968998303,0.0078125,3.587324068673163e-43,1.6155871338926322e-27,0.0,8.909219313986362e-51
C5,1.447650758408611e-14,3.047521513794106e-13,9.363352893255266e-98,4.703652948315381e-12,7.947285970052083e-08,1.0007644165635214e-16,3.111507638960757e-61,3.725862285364201e-09,2.5275870059267055e-26,7.450580596923828e-09,0.5000009536743164,1.4506393008572247e-08,1.1201404128322251e-25,5.094029254852528e-19,1.682903264618658e-29,2.8912090820952352e-19,5.221474046785651e-13,4.609746460704526e-41,6.938916168852049e-18,0.0078125,0.0625,5.86198299103185e-14
