,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.3765984057362055,4.010075864606179e-06,0.0003360215247788984,0.5652779759949859,0.015632638815580677,8.268133785984651e-14,0.007827758791972884,0.37771859333338476,0.0013408688281609706,1.3010430205729116e-18,0.0019531262417634325,0.11978862603707995,0.5160102675341326,7.62942363508047e-06,1.995358753554647e-07,0.25000000001762146,0.06428833054384313,3.81656082041118e-06,1.811981201171875e-05,0.515625,0.0,3.874301961971985e-06
REST,8.13531744942997e-05,5.987682989794318e-28,0.00016801075274113303,9.36745623550493e-09,1.4018529098750164e-52,6.802837160693361e-20,4.2005265481208546e-27,0.0004882812500540802,0.0014942309238974141,0.00012499094009399414,3.0517578125e-05,0.0002926219511155909,7.275958916284927e-12,0.9956766764323486,0.22781424749465215,1.6940658945332586e-21,0.006644516035183275,0.5000000447034836,6.777090758647469e-21,0.020833340962629638,0.0,1.3584629717421497e-10
D4,8.841942006965736e-08,0.00286350013477035,0.0016742151224356419,0.0003007646536784524,1.2743789466851758e-05,0.00097656250060829,1.2715657837137984e-06,0.07664555353794805,0.6056862505697693,0.054689916084957435,2.3929077810154267e-06,0.31167903040570244,0.000325642991811037,5.9763590494791664e-05,0.003943180970098843,7.105428075606698e-15,0.1678899129231771,0.003509521522596872,7.45058938156351e-09,5.963374860586627e-08,0.0,0.2519531250040927
C#4,3.4022852958479285e-26,1.2689221673622313e-07,6.662214985124256e-29,6.056995377013993e-22,1.5673275947584175e-37,0.03125000000000015,0.0005737304853807603,2.692645223154387e-28,1.461058415970496e-14,1.9075814637290836e-06,1.7334304395156386e-63,0.0009656866813990421,8.144714423344917e-48,0.0,3.141819817790545e-89,0.0,5.01544256372744e-37,1.4551915228366852e-11,0.007812500000000019,0.0,0.0,0.0
E4,0.0034861891991618786,0.3057585233033573,0.002631609914930897,0.21494979116668372,0.1413697882486657,0.0937513605227219,5.404468146911307e-06,9.934107476470304e-09,0.00039110339499289246,0.1250306396941614,4.76837158204969e-07,0.0009826999737210349,0.002583840337744457,1.1102230246251565e-16,0.08623452981405977,3.4738515253472886e-16,0.5181685605093767,3.725290298461914e-09,1.192184299855449e-07,0.05208333370167868,0.0,1.694065995877227e-21
C4,0.6193583275209974,0.0027391147314472213,0.006101600458277233,0.21787184685870964,0.0864826380529862,0.011475533257912167,0.14987437897818456,0.24948693644921455,0.013589358233219403,0.0004885420203499131,0.06250000992078242,0.5586091750672146,0.18750000208580292,0.003906251863554646,0.07293767209140017,0.13183593843362473,0.06261609427076797,0.21517944341766848,0.2542318900448794,0.0019569425535267437,0.0,0.5146037687931895
D#4,3.7320772996473204e-14,2.4136359414251174e-08,5.293955920339377e-25,2.3260623258486845e-09,2.524354896707239e-29,1.8897413185109047e-17,2.919371800676702e-47,2.0210993372731737e-13,4.602708239386753e-16,1.2547142017556262e-52,4.70197740328915e-38,0.0006875069414284819,0.01595648427610286,0.0,2.4253192047278085e-12,0.0,9.094947017729282e-13,1.5258789176186838e-05,3.463355825056042e-09,3.725290298461914e-09,0.0,2.524354896707238e-29
F#4,4.303761021372409e-08,6.524156130841702e-05,1.8827462791846155e-07,2.5126026928214283e-08,0.003907521565755462,7.208812328119022e-23,0.13990478622061867,1.8683979524335993e-45,0.37486289560465275,0.25098419201094657,3.822148135176186e-06,3.348754289347344e-05,7.761021455181265e-11,4.768957246881202e-07,2.6868442304509636e-38,3.539025783542342e-07,9.533061996216671e-55,5.960464477539063e-08,2.086162567138672e-06,2.0543253199307995e-33,0.0,8.470329472543003e-22
A4,1.965852400243754e-11,6.524011654875862e-05,0.00016818835073496732,0.000521524863017735,0.0012905630613962182,2.785430739428292e-14,0.12550358107938395,9.934391561764604e-09,4.8502041874088116e-09,0.0625,6.705522564987021e-08,0.0010044908092202388,1.4011019314464173e-13,1.7556703829635367e-07,0.006770842056827743,0.3125000000000009,0.00040835143445423067,7.450584219243286e-09,0.0003969678655266947,0.007812500000913047,0.0,0.0016682943096384406
G4,0.00046908905857984107,0.6864505044186887,0.9889199603917743,8.415648105901088e-05,1.276532808939616e-06,0.039062500242175335,3.72531324307109e-10,1.6830701972117526e-29,0.0007846038901639226,2.160051651434182e-12,0.13857299904435827,0.00019977616112740534,0.25390625,1.6940658953163956e-18,0.12742687593353302,1.4551915233787863e-10,6.269417998801346e-38,4.342102645862365e-19,2.5331974029541254e-07,2.9103830456733704e-11,0.0,2.3283064712374165e-10
G#4,6.594233199561763e-29,1.9238714525963205e-23,1.327807313094466e-85,4.2682392366973476e-07,1.9411171707911049e-22,1.768708239790328e-148,0.06250001824997602,1.4551915228366852e-11,1.7995056808928463e-21,5.730138585846589e-14,1.2417634328274142e-09,0.00046907256519618983,2.7369110631344083e-48,1.2929979979935694e-29,4.70197740328915e-38,2.776912814278498e-17,1.4846341748568173e-16,2.938735877055719e-40,0.0,3.705769144237564e-22,0.0,3.944304526105059e-30
D5,1.861777698731028e-14,0.0007970043286633244,7.300063857665948e-09,2.3729368299190587e-09,0.50001220703125,0.0027265094575447428,0.1705980694631439,0.0753496153460682,0.00019314625323020774,0.5042114276438951,0.2968754768371582,0.0012030700787703718,0.01953125,1.4580336938009014e-11,0.08705358334950128,1.5380326672698175e-05,0.1686217000554043,3.051781118401756e-05,0.7288411458333333,0.002967983484270409,0.0,1.8189910840593272e-12
