I,I_CONV,MAX_F,MIN_F,MEAN_F,MEDIAN,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE,SEL_SIZE,NM,NGA,ELITISM
500,-1,5.643321605,-0.609881584,3.459331141,,0.656768989,0.5468125,0.3435,0.634573997,0.226966667,-0.052744152,-0.007801478,-0.008875,-0.177515286,0.739142332,0.558502572,0.55,8,0.5,1000,50,1X+2X,50,500,500,TRUE
500,-1,5.924408984,-0.16364538,3.627301544,,0.642713467,0.5779375,0.211,0.670896559,0.291766667,-0.012523798,-0.006321184,-0.00775,-0.080780159,0.730210455,0.610152038,0.55,8,0.5,1000,50,1X+2X,50,500,500,TRUE
500,-1,5.799860765,-0.104188671,3.596461303,,0.662682342,0.5906875,0.2125,0.68709641,0.397366667,-0.014386845,-0.007401417,-0.002875,-0.069863901,0.726074182,0.414581364,0.55,8,0.5,1000,50,1X+2X,50,500,500,TRUE
500,-1,5.457530261,-0.272737005,3.393138168,,0.620657163,0.4800625,0.3135,0.643863863,0.3042,-0.011783191,-0.007358931,-0.00975,-0.043017564,0.724779939,0.377984389,0.55,8,0.5,1000,50,1X+2X,50,500,500,TRUE
500,-1,6.142112533,0.207472373,4.005170087,,0.762557696,0.627375,0.3305,0.723810856,0.401833333,-0.054632261,-0.007456671,-0.00075,-0.074173926,0.721055991,0.575050069,0.55,8,0.5,1000,50,1X+2X,50,500,500,TRUE
500,-1,5.857985332,0.196077693,4.920374804,,0.624189328,0.8125625,0.6765,0.85123161,0.390166667,-0.005036746,-0.002994402,-0.004875,-0.000943164,0.746827984,0.832746027,0.8,8,0.5,1000,50,1X+2X,50,250,750,TRUE
500,-1,5.980419548,0.455123333,5.035141302,5.980419548,0.702591396,0.8185625,0.669,0.86263415,0.396666667,-0.001531091,-0.00293147,-0.00175,-0.033465467,0.824450839,0.800913779,0.8,8,0.5,1000,50,1X+2X,50,250,750,TRUE
500,-1,5.981862519,0.718601777,5.140391777,5.981862519,0.749296677,0.8425,0.737,0.886113001,0.400266667,-0.001229199,-0.003346967,-0.00025,-0.216975681,0.876078752,0.870938529,0.8,8,0.5,1000,50,1X+2X,50,250,750,TRUE
500,-1,5.882551261,0.537687549,4.995804315,5.882551261,0.733078,0.8404375,0.6635,0.886560408,0.399466667,-0.001875367,-0.002912541,-0.0005,-0.082866692,0.853346876,0.707569464,0.8,8,0.5,1000,50,1X+2X,50,250,750,TRUE
500,-1,5.887477473,0.807212138,5.039485127,5.887477473,0.701674139,0.85475,0.683,0.895788656,0.445466667,-0.002046265,-0.002803761,-0.000125,-0.144338046,0.835637075,0.772481662,0.8,8,0.5,1000,50,1X+2X,50,250,750,TRUE
