i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
413,5.905,0.164,4.92,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
414,5.905,0.195,4.927,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
415,5.905,0.112,4.91,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
416,5.905,0.126,4.927,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
417,5.905,0.246,4.94,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
418,5.905,0.236,4.928,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
419,5.905,0.07,4.927,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
420,5.905,0.197,4.946,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
421,5.905,0.2,4.944,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
422,5.905,0.191,4.93,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
423,5.905,0.171,4.933,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
424,5.905,0.15,4.925,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
425,5.905,0.136,4.93,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
426,5.905,0.259,4.932,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
427,5.905,0.139,4.915,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
428,5.905,0.171,4.938,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
429,5.905,0.166,4.934,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
430,5.905,0.216,4.957,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
431,5.905,0.201,4.951,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
432,5.905,0.212,4.948,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
433,5.905,0.091,4.937,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
434,5.905,0.14,4.941,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
435,5.905,0.183,4.947,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
436,5.905,0.246,4.955,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
437,5.905,0.206,4.948,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
438,5.905,0.093,4.94,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
439,5.905,0.19,4.912,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
440,5.905,0.114,4.923,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
441,5.905,0.246,4.93,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
442,5.905,0.228,4.939,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
443,5.905,0.15,4.93,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
444,5.905,0.17,4.949,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
445,5.905,0.149,4.903,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
446,5.905,0.185,4.94,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
447,5.905,0.264,4.946,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
448,5.905,0.16,4.934,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
449,5.905,0.163,4.936,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
450,5.905,0.178,4.942,5.905,0.741,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.196,0.975,0.852,0.8,8,0.5,1000,50,1X+2X
