,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.00016010994910400957,0.0010646176429939132,0.21708610822739063,0.0353674523378298,0.0001822916756217019,9.313225746154791e-10,0.002204098337556473,0.011092973825339756,0.14385125737798043,2.938735877055719e-39,0.01566824173860802,0.0008859546157912297,1.907350509503895e-06,0.2539067268371582,0.014705882358034347,0.001664424220022435,6.381626239040487e-05,0.500152736902237,0.06191422584269313,0.31250048442355666,0.0,2.520779768903451e-07
REST,0.00016392299107142859,2.0908911380920448e-23,2.3433581145125495e-08,1.0444518716578083e-05,8.528558350065264e-29,5.23151426681265e-44,2.9064360119077554e-07,0.004591573976953591,5.8748548678592524e-05,0.0025644302368164062,7.52316384526264e-37,7.234617680276315e-05,3.7822360910873223e-131,0.0,1.421085471630491e-14,4.861730685829017e-63,2.6469779752496583e-24,3.3087224502121107e-23,7.854549544476363e-90,4.671392323654466e-136,0.0,2.1085039341328565e-81
D4,0.06637748860397935,0.031583127093964714,0.0006510416666667856,2.0263040842878107e-05,0.02749848905296464,0.0012695312515633125,0.0010889864671750442,0.01081858082198799,0.006536118504291165,3.6379790239322856e-12,0.027408854166666666,0.0019690111233468524,1.1807841265609225e-09,5.572585179304607e-24,0.013257998511905171,5.699500131110351e-11,0.0007730626760971513,3.0517578125e-05,0.05239475795200893,1.7988114298835474e-07,0.0,1.9868281272058158e-08
C#4,7.579353844984734e-14,6.672849830118176e-47,1.1344985090810539e-45,0.0012211006381807215,4.2503281531304515e-34,2.010764683385949e-87,0.0011182419976715078,0.000543269938432001,7.89309105151086e-08,1.3786343619587658e-25,1.3817869688151111e-76,2.956518860413202e-09,2.747602121974777e-49,0.0,3.2436714852837655e-34,5.684341886080802e-14,7.37069678114338e-13,3.392015341565591e-80,0.0,5.976858734983135e-71,0.0,0.0
E4,0.06619475987479984,0.9293584419892873,0.11659889440278662,0.047343454018156865,0.11604945400569384,0.6137474923408234,0.004714231584500103,0.10308340513078686,0.06441805841016926,0.6994477012152244,0.015798059782872045,0.8084940304839294,0.671416057383055,0.11640095175266674,0.005475118801666439,0.7441406250005913,0.07612749801325726,0.0009158826937634252,0.20031209595584343,0.002615737886034135,0.5,0.6719704171347014
C4,0.39678325775662104,4.090660310430109e-05,0.09226380994336988,0.00501299271661322,0.12132372861225092,0.007949948398200117,0.0031415784254694426,0.02818727450262918,0.36967572263499504,0.2823488813010045,0.5006294251652464,0.009651581907020175,9.313225746154785e-10,2.84772207933935e-14,0.13465439174085264,0.001021067301798545,0.05233698471286828,9.473903215748147e-12,0.14975764412234183,0.0625000000649484,0.0,0.2500000037252903
D#4,0.017603529579962238,3.3342306507415354e-14,6.6084703846735505e-18,2.405631237773862e-06,1.2778310981284185e-12,1.0120510025501302e-79,1.1706049671501796e-06,0.0030802300917003853,0.0024385344393636267,1.34106353887572e-29,4.257962547146111e-109,6.550195236743655e-05,2.1382117680737566e-51,0.0,5.732731668600288e-10,8.138020833333333e-05,5.67791238910755e-09,4.716499520222246e-74,1.2417634328420597e-09,5.086263020833333e-06,0.0,0.0
F#4,0.0014448686079545463,0.007936515791523697,0.0270834676451895,0.0037034548025474097,2.5445643965990173e-07,3.0611832052663735e-41,0.0005895478518331428,0.002390368142768268,0.0033867435768875228,2.524354896707238e-29,0.18465235866608556,0.0007244182111982518,0.00015258789068184342,0.0,9.26599547774281e-08,7.270142102516845e-27,0.03917540035892027,1.1920928955078125e-07,0.1500000003259638,5.394596228199996e-23,0.0,7.346839692639297e-40
A4,0.054925250467963815,0.0019022291974511462,1.7545984212427048e-05,0.0099611369596107,0.03480875081116884,7.363566224576986e-18,0.006139682182124011,0.016433028199906434,0.010713142866925061,4.440892102997343e-16,0.2034027294047533,0.025523438004693796,0.0013020833333570179,7.275957614183426e-11,0.0004231770833333336,0.25000000000000017,0.004811170859876472,9.765755385195981e-05,1.069888423611815e-09,0.13047390892773816,0.0,4.450480143340189e-06
G4,0.2574868199013959,0.01587916421197289,0.20616299855855844,0.0022996514596620946,0.37789009348694425,0.0003906557342558811,0.42205469918109384,0.04343749711745999,0.02383510336021137,0.015633900961196,0.01562500000001897,0.0555890123408775,0.001424153645833335,0.5000000000365775,0.05000813866792716,4.070601234918888e-05,0.20142543546932834,0.00781250931073985,0.17500448134685026,0.00027901785714285713,0.0,2.425473247268973e-12
G#4,0.008073656486742424,2.5218921114422093e-27,3.0179034424172528e-05,0.0012106597686784486,0.02443609022556391,1.436077452351945e-27,0.0006192490209121392,0.0008853894614346018,0.0009678500892156359,6.9611960512345895e-93,0.015625003725745046,0.0010432732712881638,3.178914388020833e-06,0.0039598941802978516,5.790809956500955e-10,2.5737787947340145e-84,5.9718922185369646e-05,6.617444900424222e-24,1.4210864571586198e-14,3.1515233682041976e-125,0.0,9.426194590089202e-19
