I,I_CONV,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE,SEL_SIZE
500,-1,4.1948055863369955,0.8686191694484238,3.028312472129959,3.4638383975776037,0.569159791597291,0.100875,-0.319,0.3559646456227887,0.11536666666666698,-0.02469317388297233,-0.017286549835903962,-0.001,-0.2477289106726605,0.4569476648836292,0.25158038559741813,0.001,8,0.5,1000,50,1X+2X,50
500,-1,4.2049990581378776,0.663640741866135,2.9610891212175963,3.3691117053532276,0.57165701555389,0.1005625,-0.275,0.3566065723982458,0.08276666666666693,-0.022174083167675485,-0.015561288299963194,-0.00675,-0.1997265023171275,0.45899726058948936,0.3016412836460837,0.001,8,0.5,1000,50,1X+2X,50
500,-1,3.76026746777411,0.37716703817690944,2.3365224633207893,2.095520878776801,0.5676785533910546,0.0939375,0.035,0.3559475623436552,0.14849999999999966,-0.010821399858515742,-0.016999657844535065,-0.006875,-0.27901332070707013,0.4574179722717641,0.6043656759488149,0.001,8,0.5,1000,50,1X+2X,50
500,-1,4.251415684790975,0.9267392075110378,3.282229362647301,3.6370699866999754,0.5566335369491628,0.0785,-0.549,0.3354056131024979,0.09480000000000013,-0.02809709134432393,-0.016490395328427016,-0.0065,-0.23120171356421332,0.459731063473023,0.24547769187044094,0.001,8,0.5,1000,50,1X+2X,50
500,-1,4.196323489044389,0.983875655157713,3.2316626279731997,3.6066560038887236,0.5587863192363192,0.068625,-0.524,0.32734459502868674,0.0969666666666669,-0.02594330939575303,-0.016588824716903594,-0.007125,-0.23519570533633044,0.4643479888649884,0.2593447499906664,0.001,8,0.5,1000,50,1X+2X,50
500,-1,3.9202248245163958,0.5511974389814527,2.411914815973825,2.17678168616352,0.5683098058191814,0.092125,0.0115,0.346650407448215,0.17526666666666585,-0.026460462154668716,-0.016057496297138315,-0.004,-0.2485154297091795,0.46261213688771324,0.5516293833489829,0.001,8,0.5,1000,50,1X+2X,50
500,-1,4.173678735666534,0.9197307716899938,3.1087252314612934,3.543239176856508,0.567575094350094,0.09075,-0.4135,0.35070017756254396,0.10716666666666688,-0.022040244609857824,-0.01521478165601464,-0.00425,-0.24324865897990863,0.46442811776636134,0.2546593360929937,0.001,8,0.5,1000,50,1X+2X,50
500,-1,4.169934717169969,0.7496201025101804,2.889165275335311,2.9276289638418653,0.566316260128761,0.0859375,-0.204,0.34658999383651684,0.10086666666666667,-0.02013426125301571,-0.016182088438141493,-0.01225,-0.26732683635808646,0.4584414400455974,0.2781582289879183,0.001,8,0.5,1000,50,1X+2X,50
500,-1,3.784961015553474,0.30709909896850734,2.5298256473626055,2.855194389531988,0.6094342209873457,0.15525,-0.265,0.4181767321074064,0.07993333333333343,-0.013454263778026408,-0.015028150294038622,-0.00075,-0.1842898035991785,0.4593353003774257,0.6361818733828574,0.001,8,0.5,1000,50,1X+2X,50
500,-1,3.846542239312226,0.5084810433640102,2.4883723806710663,2.233907176091085,0.6041819073287817,0.145,-0.0665,0.40494052442898165,0.042766666666666904,-0.033060470437049266,-0.016297437102821676,-0.004,-0.1836396447302699,0.46088279620079947,0.5858646663580276,0.001,8,0.5,1000,50,1X+2X,50
