,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.01666847392693497,0.0025530652064699798,4.321865982234004e-137,0.28569909940611365,0.17715208924579562,2.04681503592271e-136,5.9647309407737155e-154,0.9284003185282301,0.11472042243785313,6.6736022221947456e-152,4.1675904687371345e-69,5.263367209931562e-16,0.0,0.0,0.11112225244916216,0.0,1.8799608390766798e-153,4.727285052306297e-126,1.7234893419866705e-126,1.8858064804087484e-34,0.0,0.0
REST,0.01666847392693497,0.0025530652064696922,0.2,2.2393712305342556e-128,0.05905651097936225,3.5827244411376643e-79,1.270237476057401e-147,0.003648802380961269,0.04539790004557226,2.389930945672548e-143,2.931314478853035e-76,0.04716467789780775,3.203678583445279e-152,0.0,0.11105685763888888,0.0,1.0521673516690857e-140,4.727285052306297e-126,2.9078460341685865e-129,5.505861396794077e-122,0.0,1.1608758181298497e-150
D4,0.15003200210113662,0.01155841449915917,1.6595492376105845e-60,0.10714382243143467,0.1771694618710103,0.031250491153457474,2.023136394565588e-99,0.004780140987672129,0.5447798662587033,2.5373222226092733e-116,1.8793890483753576e-81,0.011247039432137656,2.517176029849861e-152,8.429823558665688e-147,1.1740339428972302e-134,0.0,9.399804195383399e-154,0.20000000149010477,5.971445428948523e-137,1.7166147109651072e-95,0.0,4.935040148319994e-103
C#4,1.582333323097406e-141,6.053775035393214e-85,8.290992781524127e-137,3.342806413478968e-154,2.7103926581778916e-101,3.938191003408119e-153,3.930164361861704e-126,0.003648802380961269,1.6260505786809685e-148,7.19097128861314e-147,7.517556193501433e-82,6.86362828705951e-74,9.54275597815877e-130,0.0,0.0,0.0,2.6849860299058458e-132,7.090927578459445e-126,0.0,0.0,0.0,0.0
E4,0.033204932245000776,0.00893510896017028,0.5999999999999999,0.1428584299085877,6.652304054006688e-11,4.1930027935183985e-121,2.0467278365015543e-137,0.007373952065056196,0.249703911191603,1.317774743006088e-82,1.925929944387236e-34,0.013477287772898135,0.4,1.0,0.11112225244912426,3.2592724938902068e-115,1.2317317653207328e-135,0.19999999403953553,1.411721578757167e-22,4.470463321509275e-146,1.2804080026305666e-93,0.0
C4,0.6667546767110746,0.003829599024765073,3.320415583842669e-72,2.7191923693389015e-135,5.9394771338636046e-52,0.6875108086846374,3.061181745580473e-42,0.010861475337218804,0.022698950043482078,6.693909497895199e-128,5.638167145126074e-82,0.8183641703659424,0.4,8.453044388841921e-132,0.11112225244916216,2.0435602604736913e-46,0.33333333333333326,8.966894374264194e-121,3.1861838222571768e-58,0.5000406901041667,0.0,4.0727532472622015e-51
D#4,0.03333694782333489,4.509793435358415e-71,1.5689490692763737e-130,0.0,4.0199175781296195e-155,3.902711805179217e-154,0.0,0.0012162674603204233,1.1630291373442415e-149,0.6666666666666665,0.0,9.227665954783493e-49,7.551528089549584e-152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F#4,1.5320001316674281e-61,0.0038295978097049694,3.534146358112501e-79,0.03571460747714489,1.3096743040430243e-79,3.969208837418059e-103,9.112762995278482e-152,8.895321341546374e-43,2.615912658744427e-115,1.1429865328641256e-100,1.8492966771552792e-69,0.0022459369264120448,2.288341845318056e-152,0.0,9.736356451253576e-150,1.7901215435072977e-138,6.851769173777893e-148,1.6545497683072037e-125,0.0,0.0,0.0,0.0
A4,6.745704811577476e-118,1.65653579185498e-132,1.0131031301931737e-133,3.9742606666179786e-18,1.1754943506934882e-38,1.4495595778218802e-151,0.4666480654352532,0.010870649470829828,1.1155357966595223e-107,6.615358100328129e-25,2.384185791015625e-07,1.7709002573490902e-60,2.9481879146351567e-137,0.0,0.11108737521701388,1.855357713971521e-69,3.047834289218648e-150,2.2503002393038046e-123,1.4901161193847587e-08,7.51716921140331e-144,0.0,2.007398533791043e-124
G4,0.016668473911667446,0.002553375819685882,1.4693679385278595e-40,5.339705667373579e-47,0.4133618570550549,0.2500039589509676,0.06666899182059335,0.0024325349206408466,1.9599882380315898e-106,0.33333333333333326,3.758778096750715e-81,0.0022459369264120448,0.2,1.3384330904256163e-131,1.5860339006943766e-17,0.0,6.251392001274149e-151,0.6000000044703597,8.985106951469426e-153,0.4999593098958333,5.362039924739966e-87,9.246792085058531e-132
G#4,4.6216112137124e-155,7.576915011532043e-156,2.7716191987338053e-149,6.287146538705428e-127,1.1131617184786356e-146,6.548648115279706e-149,1.2075112288240743e-152,4.7752332404783565e-34,2.3950295768903323e-142,1.655465717517819e-141,2.931472347533099e-76,2.9669301192355885e-50,0.0,8.429823558665688e-146,1.556110101517169e-123,0.0,4.6999020976916995e-154,1.1041587229315422e-124,1.4532505722657382e-106,0.0,0.0,0.0
D5,0.01666059763418079,5.682686258649033e-154,6.618364675056383e-132,7.445112881122798e-152,1.3467837999540483e-121,6.563651672346866e-154,1.0587361719306792e-137,0.004864773549714133,2.3628000900084513e-152,4.635675976520442e-148,5.610174302914725e-67,0.0022459369264115183,4.810312496177155e-151,6.812735744013235e-108,0.11112225244916216,0.5,0.16666666666666663,2.5787038384862724e-113,2.9078460341685865e-129,0.0,3.5147415980181495e-82,0.0
C5,0.016668473911667446,0.9641877734735746,6.802939977874458e-152,0.39286943329957413,0.1732600807822539,1.0944164222262316e-129,0.1333379836411867,0.006081337301602116,1.6240803263322033e-153,1.874223713347844e-68,1.2154326717154323e-62,0.06290414051764764,1.1070685459029602e-142,0.0,0.11112225244916216,0.5,0.33333333333333337,4.828332145565015e-71,1.0114420309830348e-123,1.381786441705214e-76,1.0,1.0
B4,0.016668473896399923,1.8106323653473644e-123,1.1108482881187128e-136,0.03571460747714489,2.0354701579866256e-142,0.0312347412109375,0.3333449591029667,0.006081337301602116,6.446774567636771e-137,1.1479437019748901e-41,0.9999997615814209,2.229094779779991e-137,4.576683690636112e-153,1.34877176938651e-145,0.2222445048983243,2.636671933388459e-147,3.439160614977207e-36,8.056442568427582e-112,0.0,0.0,3.0995680064195855e-120,0.0
E5,2.5958450404079163e-120,3.2750103293371986e-131,3.9469463052441904e-133,7.1497661233146885e-121,5.955682492949185e-137,1.8506555423502994e-141,9.907335140388549e-135,0.0024325349206408466,0.02269895002278613,9.024922787295731e-155,9.396945241876788e-82,0.0022459369264120448,0.0,0.0,7.070536793427429e-132,1.2858215342273127e-121,0.16666666666666663,2.836371031383778e-125,0.9999999850988388,1.0185015745844264e-148,0.0,0.0
F#5,1.0270247141583113e-155,0.0,3.548125857723118e-155,0.0,5.9479955568330047e-151,3.547919822890198e-155,9.941218234622859e-155,9.468632627434813e-06,0.0,0.0,3.193415106293296e-76,0.004474519056979959,0.0,7.040764104801193e-133,8.874179705154988e-154,0.0,5.175701805839351e-122,2.3636425261531485e-126,4.249245425028843e-145,1.1011722793588152e-121,0.0,0.0
C#5,2.529933850136927e-148,2.878138982346009e-16,2.4836881004061827e-154,1.099003723343982e-153,7.838839277352758e-154,1.0643759468670593e-154,3.518642964731035e-142,0.0048650698048094965,7.8213196784582e-155,3.6099691149182925e-154,3.7587780967507164e-82,0.0022459369264120448,0.0,0.0,2.2652036992697572e-151,2.4579145141756822e-148,1.387179714357751e-136,5.200013557536927e-125,0.0,0.0,0.0,0.0
D#5,0.016668473911667446,1.5109986919759903e-145,0.2,0.0,4.909696422427241e-139,3.547919822890198e-155,3.9764872938491435e-154,8.365535116545493e-49,0.0,0.0,0.0,1.2954804839337687e-134,5.839028696255815e-47,0.0,8.203654488110142e-151,3.575148384255537e-148,9.399804195383398e-153,1.418185515691889e-125,0.0,0.0,0.0,0.0
F5,2.5477684277169152e-129,7.576915011532043e-156,5.094403714500184e-128,9.713836954301626e-147,1.0500171354851182e-120,1.0944189571590643e-129,7.104503170929313e-153,3.647219557721983e-11,3.551959843159989e-139,0.0,0.0,0.0022459369264120448,0.0,0.0,6.946186017698637e-142,0.0,6.10987272699921e-153,1.1349702038544868e-69,5.815692068337042e-129,0.0,1.662185042231786e-111,0.0
A#4,0.0,0.0,1.774062928861559e-154,1.5547936806878921e-155,2.210954667971291e-154,0.0,9.54101596378938e-137,0.0012162674603204233,0.0,0.0,9.396945241876788e-82,6.725117803974337e-138,0.0,2.5289470675997063e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0035045365932901e-74,2.9884840848421027e-144,0.0,0.0,1.7355559143558238e-20,4.4233897003133217e-128,0.0,4.437089852577494e-154,0.0,0.0,0.0,3.068955628807807e-141,0.0,0.0,0.0
A5,3.649893855865029e-135,1.5097241977938502e-85,0.0,2.7544506094333093e-138,0.0,0.0,0.0,0.0012162674603204233,0.0,0.0,0.0,0.028892543398114156,0.0,0.0,6.094304309916707e-123,0.0,0.0,6.213003211602561e-124,2.9950356504898085e-153,0.0,4.4026272858551675e-135,1.283073272669834e-150
