,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.04807834147804595,0.009093655011860444,0.00972392437222051,0.009500219909231191,0.019085339374340683,6.8634936331174815e-19,0.028172356319417793,0.016506279833030428,0.007646941135798682,0.05062098601899183,0.0005457749791148198,0.02126423799570306,6.066156374779422e-09,4.238552517361111e-07,0.0012784730360914898,7.27921724319458e-06,0.018544817692382073,3.083596378239406e-08,0.013137403320960587,3.380832466620451e-31,1.8917082849370318e-25,2.0017906717645895e-07
REST,4.816743283263281e-110,7.912805053827843e-12,6.976241401869354e-105,1.3294647035794285e-98,8.310594036557907e-126,4.829325515080068e-72,4.388581240803355e-89,6.613412895626869e-67,6.238095348945649e-97,4.0086184892759874e-115,1.0039326888115701e-119,1.371977626519658e-95,2.5912563920285547e-137,1.955159272639747e-149,3.71779284360512e-94,2.489955567465999e-37,6.124553957787539e-94,1.2664484781279354e-113,5.284334289013514e-108,4.9039007375163105e-149,2.840294186835916e-57,7.191594848980846e-112
D4,0.012926767267196174,0.022637934783982197,0.005982509105041073,0.004969365827702968,0.01426314016363457,2.743883717679838e-20,0.005905050299566483,0.010897898945760206,0.005917044037560533,0.07646663781881408,0.07599616197251485,0.019137724530346782,0.037497794162512504,3.9425533544927435e-20,1.8499323873829166e-06,2.853744989774426e-31,0.00757109738020384,8.789204772905526e-94,0.0007672735683746336,1.9226312571162985e-05,8.709210652661559e-20,0.0120430604456828
C#4,0.002724743398011629,0.012712104070915334,3.1819887733090714e-08,0.001837948419289255,0.0016032548953537863,6.082210386419321e-27,1.9493926731333398e-14,0.0007670549179449876,0.0007906707440685445,1.1818098834200365e-47,5.451537625480728e-39,0.000583380717622466,1.1692772165658234e-95,2.443949090799684e-151,0.004032258064516129,9.51021909266643e-31,0.0008172925912032289,5.866240826435387e-11,8.50328669352667e-44,1.531765454438859e-118,5.659799424266695e-73,6.664540423816378e-20
E4,0.24253911042970733,0.27859027347782683,0.11043679304522555,0.13101162553664444,0.1585278461519305,1.4448170917038284e-18,0.110963946816713,0.15691019443575915,0.06514637285886951,0.12501111384139957,0.04709795343849958,0.18749716121954813,0.051925236272534224,8.682977593322234e-06,0.19307821725007537,1.4174781632386786e-13,0.15335694125651902,3.818661752354882e-06,0.04245858022672462,0.10204404155591017,2.8440579218627298e-08,0.07550121866655149
C4,0.25984537198428453,0.08472233267323157,0.19553043786091057,0.2336654314905632,0.24632680324666967,7.419920969122204e-16,0.19533939981447151,0.24444616763984411,0.13860280181457263,0.4518742507463075,0.30710649519349936,0.18322289235578038,0.3161097231341557,0.035721872623333616,0.23564990729399443,0.0016911854812254508,0.1919145909701644,0.00017496752552688123,0.12445592897195831,0.2816351597481068,0.00042367980641254443,0.5832676626967842
D#4,5.2157404770765177e-14,2.744386522041299e-08,4.755537953454395e-20,0.0016840414386126569,0.00020695364238410596,1.1780322851300444e-28,0.0010112811791836824,0.0017927045788946455,0.0015093858425597284,1.0568979751802384e-64,2.0514358048494416e-40,0.0026018673084192293,4.0197439096361793e-76,6.339929801413153e-147,1.858744589679397e-11,5.4020880092936006e-42,0.002087006997352413,1.652062389241708e-60,4.397100329651223e-37,2.589805764477331e-15,0.0,0.0070799220879755
F#4,0.005688308448587696,0.001520318451464652,3.792610890362012e-05,0.003251337116382878,0.003155711393418674,9.78974179423974e-64,0.0023626356142644068,0.004214128636259043,0.0020935496790214546,0.0012019230769230774,0.00045605962399602405,0.0061558301977868565,1.0068352158014689e-10,1.6727703595301776e-17,0.027831257428745152,1.0054187360734754e-36,0.0023056289219907655,1.2165236197398424e-103,0.00483111849807976,7.845959170763752e-30,2.5442159785382093e-25,0.003436731068017114
A4,0.009460257987124989,0.03180623068231016,0.029638592621500034,0.0149260308221908,0.006353083723452361,7.519830059699662e-26,0.014849505060974271,0.016115075339859796,0.011128423313475501,0.017819521086765416,1.3653071803229194e-08,0.014092318883240564,0.0989915592365429,2.7259564609704314e-51,3.9530525769410054e-05,0.07812510872705236,0.007804418068847575,4.231877457698442e-51,0.007299690504321225,0.00013469827587018945,1.7525311008400407e-14,0.013697088321464521
G4,0.04967835433991803,0.02069541692281935,0.01024429186610916,0.033642270901794585,0.11835302098562261,1.7785765944866507e-38,0.04310500709079988,0.053197867621477476,0.03694898229333697,0.0005580374634684579,0.21053689108924067,0.0708476937264835,0.0019779899211282165,0.004253475060611262,0.05926363232272311,2.2706401097776444e-23,0.0640327307482089,7.519707907602235e-76,0.11405869057366315,0.026113773677861468,8.426963677601464e-13,0.02044547010439781
G#4,0.0007914404456132007,0.017150295658812265,0.0006377643091956915,0.0039061320376677826,0.004940156050162318,7.250338305767427e-57,2.8524563471108727e-05,0.0038088747143718293,0.0016599648493324528,8.82326687932923e-25,1.6027921316119092e-16,0.004317252732551749,1.1415440739805488e-20,2.1039417680386914e-22,6.012547939299389e-05,1.6866519229016686e-40,0.002873861816586978,5.1487078443675346e-64,1.6923374880397442e-06,0.05157671703988963,1.5310688078079973e-17,3.6492722376183627e-16
D5,0.000977906806427323,1.4273144759263743e-11,1.10871861259701e-05,0.0015744016143094976,0.00843854935085357,1.8524324838795764e-60,0.0014089594357116887,0.0036081990747111447,0.0005244345401837413,4.409671823424375e-13,9.842457309845955e-06,0.003086160452005181,1.770156198885327e-37,1.3504807460636157e-64,1.2056327160493826e-05,1.441678353215823e-23,0.004515038578850012,3.264606150875949e-21,0.00411264352300947,2.4076658628543945e-35,2.4892061111773865e-61,0.0015295758909994886
C5,0.2615801699867437,0.3593142605969536,0.5421444868415426,0.4842653965074115,0.37354930646232076,2.448453213089929e-10,0.48957008554664333,0.3194996797069507,0.6218744954296969,0.2602617074484477,0.1536789686842921,0.3593273068323941,0.4775363209041259,0.007266935660837986,0.38081721086380493,0.9201151529947917,0.4330710408302062,0.9286774376659499,0.3382697270633524,0.011294462460683156,4.7383405762277436e-14,0.1332133923335107
B4,0.009499700504301108,0.07394435918750689,0.051554457732756985,0.03242071180631388,0.020867194064082446,2.552782687909102e-20,0.03198098334485622,0.06121220808044152,0.0439879828507663,0.005208527731281977,0.0016669713490319602,0.04751707767024303,0.0068055848849008175,0.6414832266763524,0.02692067019628943,2.8778195104721223e-14,0.05536635774320876,0.07114374490289871,0.09839784450381298,0.1506288416864991,1.0446030260614631e-06,0.03771936617118937
E5,0.08675618688891804,0.08453218666626666,0.04245970885506779,0.035258186507969025,0.02255352194412317,0.8750000000023468,0.06240112175585374,0.09102219979979437,0.052680940095037376,0.01097606558606563,0.19108754474918327,0.06808503986173647,0.0052780392970650115,0.16071430775775647,0.052338013179519804,6.127357951678893e-05,0.04494479257078269,3.4924596548080444e-10,0.24949945332679355,0.3525348793461285,1.4222353551248365e-15,0.003680380603704474
F#5,1.7968587479021603e-27,0.0013736279103799408,1.0145471451130319e-08,5.401996528052293e-11,9.309726489145902e-05,3.7809942400703364e-51,0.0008387082969161969,0.001328285242591549,0.0007913266241626165,1.4949743440672875e-130,8.571179860768904e-20,0.0007539236812448258,9.74669937015504e-06,2.1448156622848478e-86,0.008412823434003552,7.503221761940794e-36,3.094596585485697e-06,6.877925924775653e-120,1.715309151608319e-06,1.7560729716224262e-29,5.218580082135983e-69,1.1925944421192431e-46
C#5,5.0057069789131766e-11,1.5831755698508082e-121,1.4728077134860397e-127,7.576323320700361e-25,1.608011965545217e-22,1.3538370385041729e-75,6.506733450395078e-14,0.0002285217352837024,9.578649756748274e-09,1.3607190761788202e-148,1.6676734929988196e-143,1.6810479562942974e-09,2.279515651188439e-137,1.955159272639747e-149,2.8592308150130993e-99,1.3040788215892189e-39,0.00019266803104874797,6.056024807001638e-123,2.055523732356477e-73,7.463760685976222e-149,5.0309328215703955e-73,2.6749844169792007e-15
D#5,5.226889721522783e-140,1.9598835873049353e-138,3.333352602505804e-143,3.3246553976201712e-133,6.53892587295712e-142,1.149003051357604e-74,2.4005366558075534e-136,6.24222513407368e-10,3.942123610772982e-138,3.64737401399786e-136,4.798270329953966e-141,1.151861601466357e-26,8.206540798246006e-145,2.912120865720874e-146,1.3932451347418639e-143,2.4120982494207193e-30,4.9211232476379314e-12,3.336869407451233e-120,3.51645669275865e-43,4.8126997480363006e-150,0.0,0.0
F5,0.0038106549761676776,0.0017884729964697628,0.0015364300650927275,0.0032320772246331713,0.0016256148943154733,1.1034653536172493e-24,0.00662942644857661,0.01085666072308244,0.00764316986163812,1.2291802300347365e-06,0.0003529510996022235,0.006858325764243877,0.003859269874058649,0.13489282398254385,0.010263481367293433,9.564807061648146e-32,0.006110372794532186,3.025297139054526e-111,0.002696107017092195,0.00500377681955424,0.9995752471490731,0.06549855012449854
A#4,7.786769706960002e-16,3.727860812204832e-15,1.7918335989283357e-35,0.00010659145933676747,8.103258351812575e-29,9.786884363120842e-75,6.626550618626747e-05,0.0006704957108720387,4.2451251760069004e-07,4.734966114394868e-119,2.188969455548691e-77,7.169379732870502e-05,8.729446765988371e-06,9.647167463682962e-152,1.222758009614943e-70,0.0,1.2779646862131094e-05,1.1299387449347615e-66,4.397100329651223e-37,2.9416973712014546e-116,1.9782432803666246e-67,1.2056327160493826e-05
G5,5.2100610663083156e-107,6.885466233919542e-104,3.249442432939119e-93,1.5731703913132538e-93,9.166816170684913e-102,0.0,9.181406612792315e-98,1.2197432649808332e-82,4.8745681372190536e-85,5.634994258015047e-94,1.0990368189033322e-103,6.114723745427924e-89,0.0,0.0,1.0903498140521702e-102,0.0,4.5970018920910405e-97,6.859302333049122e-118,3.702861084160968e-119,0.0,4.833558865184092e-56,4.224631727387182e-99
A5,0.005642685008842605,0.00011850344314547886,6.154806494858708e-05,0.0047482313259264,5.7406392443873675e-05,0.12499999975280715,0.005366742906309221,0.0029175026388483577,0.0010530799387516432,8.637597473582958e-13,0.011464371710643325,0.004580110592273125,8.245253465197008e-17,0.01565825140571924,4.932796454665942e-07,5.100283060066164e-35,0.004475468759543473,9.399494938954655e-124,1.2131255217486794e-05,0.019014423076923075,2.5824175221167694e-24,0.042875324978993254
