,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,2.477262776644797e-137,0.16666085379464285,5.52451586189236e-110,0.2857055841457276,6.852205553521357e-142,0.014816663678897418,1.5704487860719057e-144,2.7662174569175404e-152,2.3553320081430566e-28,1.2277938809390458e-151,2.634820776819066e-148,6.363621095259325e-148,0.0,0.0,4.652114390855013e-151,3.686653465783693e-136,0.0020491782721582235,5.795634610449096e-71,2.4512257874375943e-104,0.0,0.0,0.0
REST,0.17910812398112852,8.290057939473309e-145,0.04535682450489148,6.826043428969685e-145,0.04544930138493262,5.009553117660577e-29,0.02985074522622523,0.6842105108766086,0.4285700968362103,2.4136062596617877e-130,1.4444942685096428e-136,1.0,1.132552000524222e-136,0.0,0.014493259092125003,1.0,0.040983066268059504,9.723488405659112e-63,1.9944486188030062e-97,0.016129164313877842,1.4807375080559815e-09,2.5547759040048897e-108
D4,4.0807082963312946e-38,2.3180498258374427e-136,0.030237532686775544,0.1428527920728638,1.4222996549511798e-106,0.20740777725151877,1.5514383590823647e-92,4.315936846656303e-150,0.13333362611435623,5.623258706609125e-142,9.788142103922632e-134,5.9148294806193614e-121,8.898210591188878e-147,1.0,0.01656314703814737,0.0,0.002049179260238198,3.4177978731590043e-49,9.774958830741185e-109,7.637340908749012e-151,2.2473028037040786e-15,9.311021114664875e-144
C#4,2.803483583865447e-141,2.8284054374493337e-152,0.012958937883513615,3.7518463491640824e-147,5.298804274026931e-143,0.11110948772200653,2.9823654703868578e-154,0.21052631068439437,0.009523832107753942,1.248001128565497e-146,6.053329595938301e-124,1.3805145779208497e-150,4.403881504848814e-148,3.6738384963257517e-140,9.690219702871737e-149,0.0,1.8967873209985337e-12,8.693451915673644e-71,3.178546344382651e-113,0.0,0.0,0.0
E4,0.059701495659111314,0.6666782924107142,0.0431964756160904,2.41781915387997e-142,0.22726954424888318,0.03703710439538459,0.059701518425177014,6.606072442428337e-122,0.019047664215507885,0.23077141125193373,0.5882352936672492,6.431590264615353e-75,1.0,0.0,0.04347775155195825,0.0,0.016393426171575423,2.684087782268059e-64,7.244598534540122e-71,0.0,0.0,0.0
C4,0.13432835765907722,5.662806821923319e-148,6.568648295244027e-95,5.2563177437641686e-139,2.8959877223620774e-41,4.2112359094644336e-75,1.491182735193429e-153,8.093681564097017e-151,6.559020888916814e-110,2.6683969624336664e-150,1.2904748528133294e-112,9.201069936617977e-138,1.6018392917226395e-152,0.0,1.436506091748905e-76,0.0,3.174050575257246e-123,0.0,1.6718521200846591e-108,0.0,0.0,0.0
D#4,5.206488030216076e-112,6.427395888760014e-150,9.866565010160325e-100,0.0,1.3104967185660745e-144,2.489331672899388e-146,4.957465589395735e-119,0.0,4.285582435135446e-125,3.282555053374671e-144,1.5170710489297858e-146,4.234051893238153e-145,3.775764044774792e-152,0.0,0.002070393378810732,3.212972080493946e-136,2.3776969327178213e-128,0.0,1.9208521827555987e-111,0.0,0.0,0.0
F#4,0.17910445754873844,3.495046586994877e-148,1.4795824037247712e-104,0.2857055131878171,0.11363771466344566,0.007407420886468366,0.3880560448132869,0.052631576947475736,0.03809532841219925,7.150411385030473e-148,0.3529411765576289,2.0954526336194143e-40,6.235731528491702e-152,0.0,0.022774827663390423,2.6415763715131004e-133,0.7950826623352298,2.5211010555453565e-69,2.1677473494596513e-96,8.972888664665505e-28,0.0,4.988657184370906e-143
A4,0.014925373914777829,7.318989676229124e-148,0.012958943018262874,1.5605477809961591e-111,3.113360113493851e-139,0.05925755920776818,0.10447761541654542,0.052631601491521296,0.06666682474496435,2.022683304694158e-152,2.4267709857985248e-144,2.3290204461087174e-141,1.144170922659028e-153,0.0,0.008281573515242929,5.59823008963924e-140,3.878830115308704e-09,6.1062459364612035e-59,6.708454225887824e-108,0.11290008059251308,8.22387425648264e-18,1.0
G4,5.710747088557732e-122,3.893752203851325e-108,0.004319646613859059,0.1428527920728638,3.3079459765835455e-139,4.309548461904023e-124,0.02985074522622523,4.220225215837218e-66,0.009523832107753942,1.6685446702821633e-147,8.248242124920613e-122,4.873286394023082e-123,2.2342827965666233e-139,1.104913833481429e-141,4.1479707661402355e-127,2.79911504481962e-140,0.0020496765046135778,2.3440490013931864e-62,2.3841925011594207e-94,0.0,1.3344026738283132e-19,0.0
G#4,8.141867954325831e-147,1.5291349869907026e-152,3.7470278717246836e-21,1.8530343772786835e-132,1.700229266163644e-146,6.601008945765883e-123,3.93288871043777e-145,1.0026927574475036e-123,0.2857149633911312,0.038461897373199466,4.4545836363070526e-145,8.421641804627289e-151,0.0,1.3811422918517863e-141,0.006211182106762943,0.0,3.144792404781087e-36,2.897817305224548e-71,0.0,8.972888664665505e-28,0.0,0.0
