,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.09909884698539918,0.2129752519622153,5.899139121951218e-05,0.40909121577678237,0.11054100260803443,0.22485093624747002,0.01601180595691507,0.08245434181637623,0.1568082086108108,7.85970973116691e-05,0.001299610027855153,0.03567879679018422,0.0,0.0,0.047874016966186754,0.0,0.007891755409006994,3.779135999999999e-05,0.0,0.0,0.0,0.0
REST,0.0038030242646782918,0.03397802060240557,0.00029608060164459926,0.011057210575660566,0.002977482139883732,0.0025661396182384932,0.0007404594150341683,0.01210658886155864,0.017864879548418512,0.006470345048862628,0.7012762116991644,0.05218337754520302,0.01166379031011236,0.0,0.001541494280213903,0.0,5.5814931692307686e-05,3.779135999999999e-05,0.00011856112941176466,0.030139534883720932,0.0,0.4
D4,0.17753880044825385,0.2060421062114485,0.0010252797431080137,0.04483590245210164,0.04898342358483845,0.09961316736224023,0.0015404832567132577,8.619782217529033e-05,0.38830475004517295,0.02296776750457058,0.0010830083565459606,0.14458039202157202,0.00024911158651685374,0.009473684210526315,6.147614117647056e-05,0.0,0.0027843726572307683,7.558271999999998e-05,0.0584250624,0.0,0.0,0.0
C#4,0.0003251703596446617,5.998777350628731e-07,4.635037881533099e-05,8.039930018238023e-05,3.5804696624777935e-05,0.0006821160087384648,0.0001738645784575333,0.0007233488372093021,0.01670659742185744,0.008989324574737282,0.00043320334261838435,0.0077244369718339105,0.0006567487280898876,0.0,0.0,0.0,0.0,5.6687039999999984e-05,0.0,0.0,0.0,0.0
E4,0.09164486507923476,0.2537982263791766,0.06500394591746775,0.09916137480746083,0.009563899548707478,0.04631408028599448,0.08244526582479333,0.06468759259256555,0.14361797571581844,0.47574100068152775,0.03383197771587744,0.08729159846665124,0.985822447316854,0.0,0.010384338070588233,0.0,1.8604977230769223e-05,0.007390310399999997,0.0009517823999999998,0.0,0.0,0.0
C4,0.5986246840193613,0.06670740423766491,2.3877467874564462e-05,0.0341498429685256,0.00037714465575450364,0.5494133589759608,0.09146338400752027,0.12373183702813416,0.06604261508037539,0.0002572268639290989,0.00032490250696378824,0.48749295545774596,0.0003170511101123594,0.0,0.11611988094051831,0.0,0.002836938852251748,0.0,5.928056470588233e-05,0.0,0.0,0.0
D#4,4.675403163503722e-06,2.9993886753143656e-07,7.022784668989544e-06,0.0,6.687891238401145e-05,7.724614552000464e-06,0.0,0.020752204344939917,1.5762159227278012e-05,0.2324650175014138,0.0,1.2304378332180204e-06,0.0007473347595505615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F#4,8.10064417676623e-05,4.484086069594977e-05,0.12052836476719064,0.00497839557592262,0.04261951730338823,0.00010779348488473374,0.14597036067979624,0.0184589210899254,0.04934627138334575,0.0002268598036041358,0.09006618384401113,0.001683827134162113,0.0002264650786516853,0.0,0.00017125496470588226,0.0,0.0011535085883076922,0.00013226975999999996,0.0,0.0,0.0,0.0
A4,0.00013758251827333004,0.02479013632744253,0.3865063368308912,0.10679986079768033,0.13317421757728296,0.0280421687822491,0.4673427396728223,0.0860767689485771,0.01642551659899708,0.00010539156230428357,0.08206997214484679,0.006928627940422188,2.2646507865168536e-05,0.0,0.00047424451764705865,0.0,0.025840282158545454,0.35446963104,0.0005664587294117646,0.005023255813953487,0.0,0.0
G4,0.025854345253569822,0.19306311321760405,0.42416982481637056,0.20358908794072628,0.4943363635069465,0.045532226281325756,0.06970992610122982,0.09606866090365895,0.08578842902005446,0.2487996266084153,0.00864601671309192,0.08571967139385062,0.00024911158651685374,0.07578947368421052,0.00015369035294117634,0.003359231999999999,0.07107002287924968,0.00013226975999999996,0.00017784169411764702,0.0,0.0,0.0
G#4,9.147527928594237e-07,1.4996943376571828e-07,0.001100948474485904,4.623676125368131e-05,7.518986291203367e-05,9.4802087683642e-06,0.0015610051059692408,0.0,3.8504033095376614e-05,5.3588929985228945e-06,0.07685348189415042,4.373372522215889e-05,0.0,0.09473684210526315,0.0,0.0,9.302488615384612e-06,1.8895679999999995e-05,0.0,0.784,0.0,0.0
D5,3.9639287690575025e-06,0.00585319931134199,0.0010510867033360783,0.010197820589737325,0.013566585685336934,0.0002480582227330066,0.00037188764282460133,0.17163293367416976,3.062295348173762e-05,3.572595332348596e-06,0.0,0.01708676410616502,0.0,0.64,0.13662920471904566,0.0001799588571428571,0.04335428874551707,0.3547908576,0.005454909741176468,0.0,0.0,0.0
C5,0.0026918817807321375,5.803817086733299e-05,2.8091138675958177e-06,0.04715125287944634,0.05175894132681913,5.301894533418499e-05,0.038669012851815475,0.16683176264850624,0.04124695947915959,0.0,0.0,0.028240038100856492,0.0,0.0,0.44495112391345126,0.0010797531428571425,0.5795421004309272,0.0028938383999999994,0.00011856112941176466,0.0,0.0,0.0
B4,0.00018942565076590214,2.6994498077829294e-06,8.63802514285714e-05,0.0073337366778945135,0.06561392115899607,0.002551304109271832,0.04278011587733032,0.13039575954237573,0.008477430480893458,0.0038809797766617415,0.002815821727019498,0.03233251034585131,4.529301573033707e-05,0.15157894736842104,0.0009660536470588231,0.0010797531428571425,0.09651164995206582,0.279189352,0.0,0.0,0.0,0.0
E5,2.0327839841320527e-07,0.0026857635138593876,8.357113756097557e-05,0.007297423428699918,6.365279399960522e-06,1.7555942163637409e-06,0.04103079371813735,0.02591805785941588,0.0023153084597520284,1.786297666174298e-06,0.0005415041782729803,0.0068594320274115534,0.0,0.0,0.10982277650218017,0.0028793417142857136,0.0032370937698461525,0.00022674815999999993,0.9259501176470588,0.03516279069767442,0.0,0.0
F#5,2.0327839841320527e-07,0.0,7.022784668989544e-07,0.0,3.978299624975326e-07,7.022376865454966e-07,1.9676594858444513e-06,0.0,0.0,0.0,0.0,0.00020502780961307375,0.0,0.0,1.7564611764705876e-05,0.0,1.8604977230769223e-05,1.8895679999999995e-05,0.0,0.14567441860465113,0.0,0.0
C#5,3.049175976198079e-07,0.0,4.915949268292683e-06,4.616090999312923e-07,0.026194704134237475,2.1067130596364895e-06,0.00015544509938171156,6.70427505807814e-05,1.5480692098219477e-06,7.145190664697192e-06,0.00021660167130919218,8.419138552857416e-05,0.0,0.0,0.0002634691764705882,0.9885426194285715,0.09382250457626327,0.00041570496,0.0,0.0,0.0,0.0
D#5,1.0163919920660263e-07,0.0,0.0,0.0,0.0,7.022376865454966e-07,7.870637943377805e-06,0.0,0.0,0.0,0.0,2.5545490494296573e-05,0.0,0.0,3.073807058823528e-05,0.0028793417142857136,0.07076924241401893,0.00011337407999999997,0.0,0.0,0.0,0.0
