,D4,F4,F#4,G4,A4,REST,B4,C5,E4,C#4,G#4,C4,D#4,A#4,D5,D#5,E5,C#5,F5,F#5,G5,A5
F4,0.010524691578295896,0.2505814952812092,7.753763788455552e-153,0.5656093915622904,8.513377883994606e-135,1.6895227715148566e-131,1.5679803659370786e-107,0.03897974382063769,0.12244040346086925,3.970966026410122e-153,1.4471953226470424e-105,0.09062932425753707,0.0,0.0,5.97748017312198e-113,1.2333600666236452e-139,5.10988037762368e-145,4.004166190366202e-147,0.0,5.19770488282245e-113,0.0,0.0
REST,1.3747776085024396e-142,4.142299302290391e-151,1.1725882844588328e-126,3.9204535829120955e-83,2.000623019843026e-116,4.9236002391981473e-141,0.009344587689957228,1.8087844379332835e-148,3.3234450535758043e-93,9.362842971220445e-149,1.013609288443115e-105,1.513486676968801e-103,5.62296933252339e-25,0.0,7.512019230776048e-05,0.0,1.5002734302472313e-120,4.004166190366202e-147,7.66729126525391e-151,9.766850105396604e-113,0.0,2.4013878582001185e-94
D4,0.10524691578295894,0.022996334271115144,0.4993278503417969,0.0022624195527342628,8.451932465432616e-129,2.431139830525487e-109,0.009344587689957228,1.4416632918520278e-13,0.14287200113186932,5.0397675767255824e-151,1.2145267064535782e-107,0.06951383851285034,0.9999999998835847,0.02631578947368421,2.7690044859036404e-150,0.0,0.1162883021997822,5.992525105156155e-117,0.0,1.0,0.0,0.0
C#4,2.0812310652421986e-150,3.0307660046128173e-155,2.341763066097258e-153,9.364662495421778e-152,1.4504180819047304e-143,9.855746702344946e-142,1.3998899436860807e-07,0.00432914355940214,2.0379069562693173e-134,1.1652679472196669e-151,3.53670176919282e-106,1.7265388416112194e-110,2.2460896782806934e-26,0.0,1.685198817166224e-151,0.0,0.0,6.006249285549303e-147,0.0,0.0,0.0,0.0
E4,0.13678149630684694,0.31033348442134945,0.2503074645996094,0.08823724684566986,0.021750886165292374,2.4072084107507484e-131,0.07479418908576821,0.0302870182292087,0.1462497600520447,1.8793715227587132e-132,4.3889382165394807e-98,0.10271658767720421,1.1641532182683152e-10,0.0,1.5529814484021229e-153,1.1208896583062418e-97,0.3022487421907284,1.782408901407891e-139,0.0,0.0,0.0,0.0
C4,0.5474782141066832,0.016091573040262663,1.0753038927562125e-152,0.10635141497077083,6.661298336976019e-96,3.37515914792283e-80,0.1215139755050127,0.043286602716076567,0.4013451780659961,0.9999898274739584,3.643580119360735e-108,0.25380199996633224,1.084319155032059e-26,0.0,2.9988667889543302e-151,0.0,1.5017306226433953e-152,0.0,0.000244140625,0.0,0.0,0.0
D#4,1.6738327964915194e-153,1.5153830023064087e-155,2.9354178326821225e-143,0.0,4.0199175781296195e-155,2.6819231310332576e-143,0.0,0.0,7.963525490793803e-154,2.70747683618872e-153,0.0,0.003020767246259812,2.5558951511469956e-26,0.0,0.0,1.6794690268917722e-139,2.972107901200017e-71,6.406665904585923e-146,0.0,0.0,0.0,0.0
F#4,1.8664760679994609e-149,3.205060872334565e-20,1.3688443495124664e-136,0.0022624195527342628,3.597189625279047e-64,3.357485555615752e-116,2.1103138799237297e-90,3.8491543364292936e-128,0.0034022863035282408,5.086263020833332e-06,2.3841455781477007e-104,0.006030113923324921,1.0257814109339709e-22,0.0,9.814310324318773e-151,0.0,9.344725733146698e-150,1.4014581666281706e-146,0.0,0.0,0.0,0.0
A4,1.1124967694048843e-142,5.526697032821493e-07,0.25036468505859377,0.011312097763671314,1.067799315804165e-05,1.6132608242017614e-140,0.22421889808176348,0.051931855871777816,0.0034014553618881005,7.0117132057497e-151,4.24277343672903e-97,0.009050838187352205,7.745136821657563e-28,0.0,7.835191643302491e-102,1.3940905008378968e-142,5.109409742434826e-64,3.766140755716655e-145,7.66729126525391e-151,4.819562347646869e-106,0.0,0.0
G4,0.199968682225215,0.37929791684985814,1.8915708925201165e-146,0.06786253003446616,0.6086793987393508,0.99951171875,0.27113698386978613,0.36364979774991324,0.13605578359517267,1.0318112983368584e-145,3.7310260422253927e-106,0.1389609010269372,7.745136821657562e-26,0.21052631578947367,1.3679302915143852e-90,0.007812500000037895,1.9242394202560718e-26,4.210981662999496e-144,1.2001291100220714e-147,4.3601508761683463e-106,0.0,2.621738758627631e-96
G#4,4.6216112137124e-155,7.576915011532043e-156,2.7948201092738105e-150,1.0976105017162126e-151,1.291907352178263e-149,3.291451115358998e-143,2.1487330897178508e-145,1.276690869994973e-147,5.5982953128978796e-145,2.707476836188719e-154,4.097003423103404e-106,4.834343964308089e-27,0.0,0.2631578947368421,0.0,0.0,4.6999020976916995e-154,2.002083095183101e-147,0.0,0.0,0.0,0.0
D5,2.002698192608707e-154,3.140410892410644e-146,5.251573223649971e-149,0.0022624195527342628,3.584491998964835e-83,4.51050708401048e-143,3.99723123987264e-96,0.025974452637630985,8.594160243531986e-115,8.744087245539059e-150,0.0,0.0030235710884971454,0.0,0.0,0.16665414663461553,1.464380778191068e-144,9.194621676995034e-148,1.9485624306834104e-101,0.99951171875,0.0,0.0,0.0
C5,1.2055928678954481e-147,0.020698643466502097,1.4192503430892472e-154,0.13122471263368302,5.390773097750889e-136,1.1591269220560675e-69,0.19615655417185512,0.2554585019392675,0.0034014553618881005,0.0,1.0,0.17216438153286917,0.0,0.0,0.8332707331730766,1.549060402364989e-120,0.3720291678171867,1.0010415475915505e-146,3.586571177748652e-138,3.217223493421481e-86,0.0,0.0
B4,4.897134831326626e-100,3.715644874750498e-116,3.5948341033574405e-138,0.0067784106621391,0.36955903710219873,9.872436618110364e-141,0.09349008391690536,0.10819786020525984,0.030640691963375426,5.086263020833332e-06,3.157769436779304e-107,0.09065784675300104,1.5490273643315125e-27,0.42105263157894735,3.973600474078751e-134,9.905886073334917e-99,0.20943378779230237,1.0,7.517154661380816e-142,1.3560070139679617e-104,0.99609375,1.0
E5,7.290788032591371e-154,4.953558458030308e-152,1.1921182950465965e-150,0.01583693686910647,1.5345870603789409e-152,6.095279843257404e-144,1.1952407607270166e-16,0.06924687239147101,6.454311672764076e-65,9.024922787295731e-155,1.1906725922543592e-103,0.06041823473413856,0.0,0.0,2.0855907680720914e-95,2.343009245105709e-143,9.192981411162939e-148,2.402499714219721e-146,2.8326771834532945e-147,1.012829649496456e-64,0.0,0.0
F#5,1.7771172169877215e-145,0.0,3.548125857723118e-155,0.0,2.0099587890648098e-155,4.531700348668504e-137,3.195425027294117e-104,5.571125862430486e-41,0.0,0.0,0.0,3.5568666557021045e-63,0.0,0.0,4.030595169309104e-152,0.0,3.8986806924661626e-152,2.002083095183101e-147,0.0,4.819629589831139e-106,0.0,0.0
C#5,3.29412815096905e-118,0.0,2.4836881004061827e-154,6.774390471624388e-152,3.2675720281414584e-153,7.314335811908885e-144,1.061240229815264e-102,0.004329075439605161,0.0033880739795918366,3.6099691149182925e-154,7.630714901360343e-103,1.1702133061225147e-118,0.0,0.0,2.6593601572948155e-152,0.9921874999999621,3.4871326693335135e-16,4.656309714945409e-142,0.0,0.0,0.0,0.0
D#5,5.135123570791556e-156,0.0,0.0,0.0,0.0,2.438111937302962e-144,3.9764872938491435e-154,1.7245691770370347e-88,2.0852807941976824e-153,0.0,0.0,1.1595093696100483e-05,0.0,0.0,9.135480955411434e-150,2.343009245105709e-143,5.343631166534158e-102,1.2012498571098605e-146,0.0,0.0,0.0,0.0
F5,0.0,7.576915011532043e-156,0.0,1.5547936806878921e-155,7.592278439039103e-153,0.00048828125,2.356535687430818e-148,1.5590033586825429e-118,0.006802910723776201,0.0,0.0,2.154136143460325e-142,0.0,0.0,3.1059628968042457e-153,0.0,6.10987272699921e-153,0.0,0.000244140625,0.0,0.003515625,0.0
A#4,0.0,0.0,1.774062928861559e-154,1.5547936806878921e-155,2.210954667971291e-154,0.0,1.1929461881547431e-153,0.0,0.0,0.0,6.072633532267891e-108,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
