i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.664,-1.066,0.593,0.812,0.75,1.0,0.625,0.214,0.0,-0.0,0.0,-0.062,0.324,0.0,0.001,4,0.4,1000,50,UX
1,3.664,-0.933,0.593,0.812,0.75,1.0,0.625,0.214,0.0,-0.0,0.0,-0.062,0.324,0.0,0.001,4,0.4,1000,50,UX
2,3.899,-0.901,0.709,0.833,0.75,1.0,0.833,0.286,0.0,-0.0,0.0,-0.167,0.364,0.0,0.001,4,0.4,1000,50,UX
3,3.899,-0.84,0.738,0.833,0.75,1.0,0.833,0.286,0.0,-0.0,0.0,-0.167,0.364,0.0,0.001,4,0.4,1000,50,UX
4,3.899,-0.856,0.77,0.833,0.75,1.0,0.833,0.286,0.0,-0.0,0.0,-0.167,0.364,0.0,0.001,4,0.4,1000,50,UX
0,3.462,-1.178,0.543,0.658,0.875,0.5,0.714,0.0,0.0,-0.05,0.0,-0.092,0.686,0.17,0.001,4,0.4,1000,50,UX
1,3.462,-0.955,0.623,0.658,0.875,0.5,0.714,0.0,0.0,-0.05,0.0,-0.092,0.686,0.17,0.001,4,0.4,1000,50,UX
2,3.676,-1.057,0.687,0.792,0.625,1.0,0.7,0.143,0.0,-0.0,0.0,-0.25,0.444,0.222,0.001,4,0.4,1000,50,UX
3,3.676,-0.955,0.76,0.792,0.625,1.0,0.7,0.143,0.0,-0.0,0.0,-0.25,0.444,0.222,0.001,4,0.4,1000,50,UX
4,3.676,-0.811,0.796,0.792,0.625,1.0,0.7,0.143,0.0,-0.0,0.0,-0.25,0.444,0.222,0.001,4,0.4,1000,50,UX
5,3.776,-0.821,0.941,0.854,0.75,1.0,1.0,0.286,0.0,-0.083,0.0,-0.312,0.282,0.0,0.001,4,0.4,1000,50,UX
6,3.776,-0.802,0.89,0.854,0.75,1.0,1.0,0.286,0.0,-0.083,0.0,-0.312,0.282,0.0,0.001,4,0.4,1000,50,UX
7,3.776,-0.777,0.953,0.854,0.75,1.0,1.0,0.286,0.0,-0.083,0.0,-0.312,0.282,0.0,0.001,4,0.4,1000,50,UX
8,4.032,-0.647,0.996,0.792,0.75,1.0,0.625,0.714,-0.083,-0.0,0.0,-0.125,0.359,0.0,0.001,4,0.4,1000,50,UX
9,4.032,-0.745,1.064,0.792,0.75,1.0,0.625,0.714,-0.083,-0.0,0.0,-0.125,0.359,0.0,0.001,4,0.4,1000,50,UX
0,3.589,-1.006,0.614,0.75,0.5,1.0,0.55,0.286,0.0,-0.0,0.0,-0.25,0.486,0.267,0.001,4,0.4,1000,50,UX
1,3.676,-0.957,0.667,0.844,0.625,1.0,1.0,0.0,0.0,-0.0,0.0,-0.344,0.408,0.143,0.001,4,0.4,1000,50,UX
2,3.684,-0.963,0.725,0.686,0.625,1.0,0.75,0.286,0.0,-0.0,0.0,-0.143,0.35,0.13,0.001,4,0.4,1000,50,UX
3,3.684,-0.802,0.758,0.686,0.625,1.0,0.75,0.286,0.0,-0.0,0.0,-0.143,0.35,0.13,0.001,4,0.4,1000,50,UX
4,3.684,-0.864,0.82,0.686,0.625,1.0,0.75,0.286,0.0,-0.0,0.0,-0.143,0.35,0.13,0.001,4,0.4,1000,50,UX
5,3.814,-0.828,0.832,0.667,0.375,1.0,0.438,0.429,0.0,-0.0,0.0,0.0,0.62,0.286,0.001,4,0.4,1000,50,UX
6,3.814,-0.736,0.894,0.667,0.375,1.0,0.438,0.429,0.0,-0.0,0.0,0.0,0.62,0.286,0.001,4,0.4,1000,50,UX
7,3.814,-0.719,0.925,0.667,0.375,1.0,0.438,0.429,0.0,-0.0,0.0,0.0,0.62,0.286,0.001,4,0.4,1000,50,UX
8,3.814,-0.716,0.95,0.667,0.375,1.0,0.438,0.429,0.0,-0.0,0.0,0.0,0.62,0.286,0.001,4,0.4,1000,50,UX
9,3.814,-0.722,0.95,0.667,0.375,1.0,0.438,0.429,0.0,-0.0,0.0,0.0,0.62,0.286,0.001,4,0.4,1000,50,UX
0,3.509,-1.104,0.54,0.815,0.25,1.0,1.0,0.143,0.0,-0.0,0.0,-0.405,0.471,0.235,0.001,4,0.4,1000,50,UX
1,3.509,-0.949,0.632,0.815,0.25,1.0,1.0,0.143,0.0,-0.0,0.0,-0.405,0.471,0.235,0.001,4,0.4,1000,50,UX
2,3.509,-0.924,0.643,0.815,0.25,1.0,1.0,0.143,0.0,-0.0,0.0,-0.405,0.471,0.235,0.001,4,0.4,1000,50,UX
3,3.509,-0.836,0.714,0.815,0.25,1.0,1.0,0.143,0.0,-0.0,0.0,-0.405,0.471,0.235,0.001,4,0.4,1000,50,UX
4,3.509,-0.882,0.774,0.815,0.25,1.0,1.0,0.143,0.0,-0.0,0.0,-0.405,0.471,0.235,0.001,4,0.4,1000,50,UX
5,3.515,-0.827,0.811,0.844,0.875,1.0,0.812,0.0,-0.05,-0.05,0.0,-0.208,0.292,0.0,0.001,4,0.4,1000,50,UX
6,3.793,-0.819,0.816,0.821,0.75,1.0,0.786,0.0,-0.083,-0.0,0.0,-0.071,0.591,0.0,0.001,4,0.4,1000,50,UX
