I_CONV,i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
500,-1,3.508641756,-1.653568077,0.419446068,0.272740816,0.493371687,-0.004875,-0.719,0.212576169,0.0755,-0.007003426,-0.016865864,-0.019,-0.187280538,0.445039507,0.146983533,0,8,0,1000,50,NONE
500,-1,2.838685945,-1.554065073,0.382945001,0.237356691,0.494946441,-0.0196875,-0.7275,0.204808969,0.073033333,-0.007718856,-0.016399416,-0.018125,-0.187035449,0.44296445,0.14365803,0,8,0,1000,50,NONE
500,-1,3.099127669,-2.615493631,0.416359278,0.236889373,0.493919155,-0.0129375,-0.7015,0.205699316,0.0749,-0.007604355,-0.018099711,-0.019875,-0.184373752,0.444399515,0.141831611,0,8,0,1000,50,NONE
500,-1,2.943217927,-1.966782795,0.42545018,0.285922708,0.495265239,-0.0055625,-0.717,0.214204382,0.076133333,-0.007841354,-0.017955635,-0.01725,-0.183606598,0.445135437,0.143927876,0,8,0,1000,50,NONE
500,-1,3.179994122,-1.251739319,0.432397381,0.307579561,0.495180886,-0.0088125,-0.6995,0.208568495,0.074,-0.008332782,-0.016564364,-0.018125,-0.189378561,0.450414892,0.144946314,0,8,0,1000,50,NONE
500,-1,4.752026656,0.416074698,2.611522954,2.492612073,0.706663145,0.33625,-0.293,0.557056671,0.242966667,-0.014771682,-0.016682769,-0.001125,-0.02008586,0.448712911,0.665538872,0.5,8,0.5,1000,50,NONE
500,-1,4.547785764,0.266325411,2.391076392,2.175068227,0.697667811,0.30225,-0.302,0.537664387,0.135566667,-0.021695488,-0.01708413,-0.0015,-0.01675446,0.439823536,0.637138069,0.5,8,0.5,1000,50,NONE
500,-1,4.483890539,0.586335193,2.619089075,2.612925498,0.69670933,0.326,-0.2245,0.540085911,0.237266667,-0.009132325,-0.017480938,-0.0015,-0.015135427,0.45524184,0.631534017,0.5,8,0.5,1000,50,NONE
500,-1,4.273750059,0.253646724,2.34358568,2.092921008,0.687406472,0.297875,-0.3075,0.537187868,0.141033333,-0.030154306,-0.016786643,-0.001375,-0.016767325,0.443942969,0.608723312,0.5,8,0.5,1000,50,NONE
500,-1,4.467741926,-0.18201607,2.092518729,1.906588368,0.705008834,0.3346875,-0.581,0.560050083,0.149533333,-0.01675402,-0.017499714,-0.001125,-0.017660588,0.444379298,0.532899002,0.5,8,0.5,1000,50,NONE
500,-1,4.813420264,0.997606358,2.433245192,2.158924149,0.749140719,0.40625,-0.5755,0.618580442,0.0784,0,-0.016566313,0,-0.028583293,0.451023421,0.750500216,1,8,1,1000,50,NONE
500,-1,4.411314842,0.397537444,2.464103366,2.724559133,0.673706377,0.2911875,0.0555,0.517790626,0,0,-0.016983045,0,-0.312875412,0.441859072,0.813918248,1,8,1,1000,50,NONE
500,-1,4.697834546,1.310159349,2.940315304,3.27350384,0.75,0.415375,-0.167,0.621090268,0.133533333,0,-0.015141829,0,-0.098288069,0.457569119,0.843177481,1,8,1,1000,50,NONE
500,-1,5.240871091,1.38043685,3.111650681,3.355976993,0.751317815,0.4221875,-0.111,0.629930971,0.267266667,0,-0.016486807,0,-0.105630721,0.450727345,0.82333791,1,8,1,1000,50,NONE
500,-1,4.705873114,1.021609145,2.749677931,2.803979899,0.75081069,0.4164375,-0.213,0.628371162,0,0,-0.016975086,0,-0.099095681,0.442559243,0.840570104,1,8,1,1000,50,NONE
