I,I_CONV,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE,SEL_SIZE
500,-1,4.752026656,0.416074698,2.611522954,2.492612073,0.706663145,0.33625,-0.293,0.557056671,0.242966667,-0.014771682,-0.016682769,-0.001125,-0.02008586,0.448712911,0.665538872,0.002,8,0.5,1000,50,NONE,50
500,-1,4.547785764,0.266325411,2.391076392,2.175068227,0.697667811,0.30225,-0.302,0.537664387,0.135566667,-0.021695488,-0.01708413,-0.0015,-0.01675446,0.439823536,0.637138069,0.001,8,0.5,1000,50,NONE,50
500,-1,4.483890539,0.586335193,2.619089075,2.612925498,0.69670933,0.326,-0.2245,0.540085911,0.237266667,-0.009132325,-0.017480938,-0.0015,-0.015135427,0.45524184,0.631534017,0.001,8,0.5,1000,50,NONE,50
500,-1,4.273750059,0.253646724,2.34358568,2.092921008,0.687406472,0.297875,-0.3075,0.537187868,0.141033333,-0.030154306,-0.016786643,-0.001375,-0.016767325,0.443942969,0.608723312,0.001,8,0.5,1000,50,NONE,50
500,-1,4.467741926,-0.18201607,2.092518729,1.906588368,0.705008834,0.3346875,-0.581,0.560050083,0.149533333,-0.01675402,-0.017499714,-0.001125,-0.017660588,0.444379298,0.532899002,0.001,8,0.5,1000,50,NONE,50
500,-1,4.702039501,0.051485823,2.472559098,2.369701325,0.703570576,0.3235,-0.2755,0.549951098,0.235433333,-0.011244925,-0.016099872,-0.001125,-0.019944707,0.44468035,0.539338244,0.001,8,0.5,1000,50,NONE,150
500,-1,4.61452411,0.103399432,2.405411761,2.192785725,0.702585134,0.3194375,-0.281,0.545568519,0.1418,-0.029090787,-0.017341458,-0.001375,-0.021784796,0.44710184,0.599510809,0.001,8,0.5,1000,50,NONE,150
500,-1,4.105770904,-0.13592956,1.791061742,1.586993547,0.686721226,0.2885,-0.5475,0.521280026,0.134566667,-0.032217509,-0.015967946,-0.002375,-0.026608407,0.453041936,0.331620749,0.001,8,0.5,1000,50,NONE,150
500,-1,4.645909154,0.158242183,2.399333565,2.206941961,0.699068467,0.316875,-0.31,0.541342173,0.219866667,-0.014416401,-0.016401929,-0.000625,-0.017760662,0.446051598,0.535333652,0.001,8,0.5,1000,50,NONE,150
500,-1,4.563754017,0.31497563,2.487981197,2.352229388,0.705932592,0.332125,-0.293,0.55106587,0.2252,-0.013024554,-0.016570325,-0.0005,-0.014132964,0.448808446,0.562077133,0.001,8,0.5,1000,50,NONE,150
500,-1,3.761640112,-0.398520961,1.682239454,1.536815014,0.679541946,0.2884375,-0.2725,0.516371792,0.131066667,-0.087439664,-0.016415434,-0.001625,-0.069304142,0.450293652,0.063812137,0.001,8,0.5,1000,50,NONE,300
500,-1,4.102875229,0.043724274,2.037293242,1.987285467,0.702503128,0.3296875,-0.2325,0.550805752,0.125066667,-0.071777399,-0.016196491,-0.001375,-0.065581087,0.4524458,0.264214372,0.001,8,0.5,1000,50,NONE,300
500,-1,3.774191932,0.20781241,1.908138991,1.932813935,0.695536645,0.3115,-0.2055,0.535382664,0.132166667,-0.077713758,-0.017449521,-0.000125,-0.060448291,0.447005549,0.147784036,0.001,8,0.5,1000,50,NONE,300
500,-1,4.110159165,-0.24515056,1.66644151,1.410890189,0.686688523,0.2931875,-0.346,0.529164663,0.141166667,-0.089222218,-0.017129476,-0.001,-0.069047025,0.446669806,0.091963071,0.001,8,0.5,1000,50,NONE,300
500,-1,4.073851186,-0.097189138,1.878642348,1.693254702,0.695864079,0.323,-0.256,0.534487168,0.122433333,-0.058818543,-0.01703559,-0.00175,-0.069722907,0.446451032,0.159733776,0.001,8,0.5,1000,50,NONE,300
500,-1,3.744664809,-0.256448128,1.857063424,2.087089691,0.704651571,0.3359375,-0.1005,0.560810144,0.1013,-0.103552424,-0.017591493,-0.00025,-0.166297636,0.441995685,0.100560078,0.001,8,0.5,1000,50,NONE,500
500,-1,3.588031974,-0.075533271,1.843991117,2.094619413,0.699515356,0.3263125,-0.036,0.5426582,0.101,-0.149162056,-0.017734006,0,-0.135290349,0.446653062,0.066038409,0.001,8,0.5,1000,50,NONE,500
500,-1,3.617227256,-0.0404102,1.853521035,2.144631785,0.711854999,0.3393125,-0.1085,0.562913051,0.1038,-0.119717909,-0.016751808,0,-0.137014799,0.444865604,0.072759397,0.001,8,0.5,1000,50,NONE,500
500,-1,4.122688832,-0.235190552,1.838105696,2.080728189,0.705956139,0.327375,-0.0915,0.556454164,0.0992,-0.12034169,-0.016249072,-0.0005,-0.135394819,0.446344653,0.066761321,0.001,8,0.5,1000,50,NONE,500
500,-1,4.058181462,-0.32297152,1.918853435,2.191205157,0.712004574,0.3586875,-0.0645,0.573713917,0.097333333,-0.123370428,-0.017471353,0,-0.138115552,0.44757864,0.072992803,0.001,8,0.5,1000,50,NONE,500
